Time,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay
1729949087.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949087.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949087.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949087.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949087.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949087.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949087.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949087.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949087.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949088.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949088.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949088.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949088.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949088.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949088.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949088.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949088.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949088.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949088.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949089.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949089.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949089.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949089.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949089.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949089.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949089.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949089.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949089.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949089.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949090.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949090.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949090.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949090.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949090.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949090.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949090.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949090.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949090.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949090.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949091.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949091.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949091.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949091.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949091.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949091.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949091.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949091.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949091.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949091.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949092.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949092.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949092.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949092.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949092.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949092.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949092.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949092.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949092.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949092.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949093.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949093.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949093.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949093.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949093.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949093.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949093.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949093.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949093.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949093.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949094.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949094.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949094.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729949094.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
