Time,label
1729945880.58,0
1729945880.68,0
1729945880.78,0
1729945880.88,0
1729945880.98,0
1729945881.08,0
1729945881.18,0
1729945881.28,0
1729945881.38,0
1729945881.48,0
1729945881.58,0
1729945881.68,0
1729945881.78,0
1729945881.88,0
1729945881.98,0
1729945882.08,0
1729945882.18,0
1729945882.28,0
1729945882.38,0
1729945882.48,0
1729945882.58,0
1729945882.68,0
1729945882.78,0
1729945882.88,0
1729945882.98,0
1729945883.08,0
1729945883.18,0
1729945883.28,0
1729945883.38,0
1729945883.48,0
1729945883.58,0
1729945883.68,0
1729945883.78,0
1729945883.88,0
1729945883.98,0
1729945884.08,0
1729945884.18,0
1729945884.28,0
1729945884.38,0
1729945884.48,0
1729945884.58,0
1729945884.68,0
1729945884.78,0
1729945884.88,0
1729945884.98,0
1729945885.08,0
1729945885.18,0
1729945885.28,0
1729945885.38,0
1729945885.48,0
1729945885.58,0
1729945885.68,0
1729945885.78,0
1729945885.88,0
1729945885.98,0
1729945886.08,0
1729945886.18,0
1729945886.28,0
1729945886.38,0
1729945886.48,0
1729945886.58,0
1729945886.68,0
1729945886.78,0
1729945886.88,0
1729945886.98,0
1729945887.08,0
1729945887.18,0
1729945887.28,0
1729945887.38,0
1729945887.48,0
1729945887.58,0
1729945887.68,0
1729945887.78,0
1729945887.88,0
1729945887.98,0
1729945888.08,0
1729945888.18,0
1729945888.28,0
1729945888.38,0
1729945888.48,0
1729945888.58,0
1729945888.68,0
1729945888.78,0
1729945888.88,0
1729945888.98,0
1729945889.08,0
1729945889.18,0
1729945889.28,0
1729945889.38,0
1729945889.48,0
1729945889.58,0
1729945889.68,0
1729945889.78,0
1729945889.88,0
1729945889.98,0
1729945890.08,0
1729945890.18,0
1729945890.28,0
1729945890.38,0
1729945890.48,0
1729945890.58,0
1729945890.68,0
1729945890.78,0
1729945890.88,0
1729945890.98,0
1729945891.08,0
1729945891.18,0
1729945891.28,0
1729945891.38,0
1729945891.48,0
1729945891.58,0
1729945891.68,0
1729945891.78,0
1729945891.88,0
1729945891.98,0
1729945892.08,0
