1729950878.570493391: PING 192.168.6.14 (192.168.6.14) 56(84) bytes of data.
1729950878.573713432: 64 bytes from 192.168.6.14: icmp_seq=1 ttl=64 time=2.66 ms
1729950878.670794093: 64 bytes from 192.168.6.14: icmp_seq=2 ttl=64 time=2.84 ms
1729950878.771544836: 64 bytes from 192.168.6.14: icmp_seq=3 ttl=64 time=3.32 ms
1729950878.871153371: 64 bytes from 192.168.6.14: icmp_seq=4 ttl=64 time=2.50 ms
1729950878.973332618: 64 bytes from 192.168.6.14: icmp_seq=5 ttl=64 time=3.81 ms
1729950879.072944294: 64 bytes from 192.168.6.14: icmp_seq=6 ttl=64 time=2.40 ms
1729950879.174548040: 64 bytes from 192.168.6.14: icmp_seq=7 ttl=64 time=3.52 ms
1729950879.275782209: 64 bytes from 192.168.6.14: icmp_seq=8 ttl=64 time=3.23 ms
1729950879.375719435: 64 bytes from 192.168.6.14: icmp_seq=9 ttl=64 time=3.05 ms
1729950879.478716952: 64 bytes from 192.168.6.14: icmp_seq=10 ttl=64 time=5.43 ms
1729950879.576524383: 64 bytes from 192.168.6.14: icmp_seq=11 ttl=64 time=2.60 ms
1729950879.676748229: 64 bytes from 192.168.6.14: icmp_seq=12 ttl=64 time=2.74 ms
1729950879.777114682: 64 bytes from 192.168.6.14: icmp_seq=13 ttl=64 time=2.02 ms
1729950879.879508975: 64 bytes from 192.168.6.14: icmp_seq=14 ttl=64 time=3.42 ms
1729950879.980373770: 64 bytes from 192.168.6.14: icmp_seq=15 ttl=64 time=4.55 ms
1729950880.080333769: 64 bytes from 192.168.6.14: icmp_seq=16 ttl=64 time=3.58 ms
1729950880.179886187: 64 bytes from 192.168.6.14: icmp_seq=17 ttl=64 time=2.34 ms
1729950880.281246786: 64 bytes from 192.168.6.14: icmp_seq=18 ttl=64 time=2.48 ms
1729950880.385216733: 64 bytes from 192.168.6.14: icmp_seq=19 ttl=64 time=5.78 ms
1729950880.484356155: 64 bytes from 192.168.6.14: icmp_seq=20 ttl=64 time=3.40 ms
1729950880.585130356: 64 bytes from 192.168.6.14: icmp_seq=21 ttl=64 time=3.85 ms
1729950880.687009170: 64 bytes from 192.168.6.14: icmp_seq=22 ttl=64 time=4.67 ms
1729950880.787012358: 64 bytes from 192.168.6.14: icmp_seq=23 ttl=64 time=4.92 ms
1729950880.890796704: 64 bytes from 192.168.6.14: icmp_seq=24 ttl=64 time=8.18 ms
1729950880.988957583: 64 bytes from 192.168.6.14: icmp_seq=25 ttl=64 time=5.78 ms
1729950881.089819186: 64 bytes from 192.168.6.14: icmp_seq=26 ttl=64 time=5.09 ms
