1729950878.597944758: PING 192.168.6.21 (192.168.6.21) 56(84) bytes of data.
1729950878.600246091: 64 bytes from 192.168.6.21: icmp_seq=1 ttl=63 time=8.47 ms
1729950878.694837899: 64 bytes from 192.168.6.21: icmp_seq=2 ttl=63 time=4.67 ms
1729950878.794102700: 64 bytes from 192.168.6.21: icmp_seq=3 ttl=63 time=3.42 ms
1729950878.895635706: 64 bytes from 192.168.6.21: icmp_seq=4 ttl=63 time=4.77 ms
1729950878.997342447: 64 bytes from 192.168.6.21: icmp_seq=5 ttl=63 time=5.05 ms
1729950879.096407925: 64 bytes from 192.168.6.21: icmp_seq=6 ttl=63 time=3.88 ms
1729950879.196570432: 64 bytes from 192.168.6.21: icmp_seq=7 ttl=63 time=3.48 ms
1729950879.295660128: 64 bytes from 192.168.6.21: icmp_seq=8 ttl=63 time=2.38 ms
1729950879.398917913: 64 bytes from 192.168.6.21: icmp_seq=9 ttl=63 time=4.31 ms
1729950879.498592535: 64 bytes from 192.168.6.21: icmp_seq=10 ttl=63 time=4.11 ms
1729950879.599656523: 64 bytes from 192.168.6.21: icmp_seq=11 ttl=63 time=4.12 ms
1729950879.699806349: 64 bytes from 192.168.6.21: icmp_seq=12 ttl=63 time=3.79 ms
1729950879.800317950: 64 bytes from 192.168.6.21: icmp_seq=13 ttl=63 time=3.49 ms
1729950879.901590366: 64 bytes from 192.168.6.21: icmp_seq=14 ttl=63 time=4.70 ms
1729950880.000282676: 64 bytes from 192.168.6.21: icmp_seq=15 ttl=63 time=2.43 ms
1729950880.102302624: 64 bytes from 192.168.6.21: icmp_seq=16 ttl=63 time=3.17 ms
1729950880.201646965: 64 bytes from 192.168.6.21: icmp_seq=17 ttl=63 time=2.17 ms
1729950880.303274323: 64 bytes from 192.168.6.21: icmp_seq=18 ttl=63 time=2.50 ms
1729950880.404706756: 64 bytes from 192.168.6.21: icmp_seq=19 ttl=63 time=3.50 ms
1729950880.503395011: 64 bytes from 192.168.6.21: icmp_seq=20 ttl=63 time=1.72 ms
1729950880.604569252: 64 bytes from 192.168.6.21: icmp_seq=21 ttl=63 time=2.19 ms
1729950880.705238979: 64 bytes from 192.168.6.21: icmp_seq=22 ttl=63 time=2.12 ms
1729950880.806319937: 64 bytes from 192.168.6.21: icmp_seq=23 ttl=63 time=2.68 ms
1729950880.910954996: 64 bytes from 192.168.6.21: icmp_seq=24 ttl=63 time=7.01 ms
1729950881.007395629: 64 bytes from 192.168.6.21: icmp_seq=25 ttl=63 time=2.80 ms
1729950881.107709811: 64 bytes from 192.168.6.21: icmp_seq=26 ttl=63 time=2.39 ms
1729950881.208419911: 64 bytes from 192.168.6.21: icmp_seq=27 ttl=63 time=2.59 ms
1729950881.312700958: 64 bytes from 192.168.6.21: icmp_seq=28 ttl=63 time=5.93 ms
1729950881.416912601: 64 bytes from 192.168.6.21: icmp_seq=29 ttl=63 time=10.2 ms
1729950881.514989593: 64 bytes from 192.168.6.21: icmp_seq=30 ttl=63 time=7.56 ms
1729950881.613242893: 64 bytes from 192.168.6.21: icmp_seq=31 ttl=63 time=5.20 ms
1729950881.713369589: 64 bytes from 192.168.6.21: icmp_seq=32 ttl=63 time=4.85 ms
