Time,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay
1729950879.56,19.2,0.632,0.0,1.43,38.4,1.082,0.0,4.12,19.2,0.884,0.0,2.6,19.2,1.577,0.0,7.39
1729950879.66,20.8,0.719,0.0,3.83,41.6,1.148,0.0,3.79,20.8,1.04,0.0,2.74,20.8,1.623,0.0,11.4
1729950879.76,20.8,0.721,0.0,1.73,38.4,1.168,0.0,3.49,19.2,1.121,0.0,2.02,19.2,1.275,0.0,10.5
1729950879.86,19.2,0.897,0.0,0.737,41.6,1.119,0.0,4.7,20.8,0.961,0.0,3.42,20.8,1.256,0.0,12.7
1729950879.96,20.8,0.65,0.0,1.15,38.4,0.964,0.0,2.43,19.2,0.884,0.0,4.55,20.8,1.456,0.0,12.0
1729950880.06,19.2,0.595,0.0,1.78,41.6,1.111,0.0,3.17,20.8,0.701,0.0,3.58,19.2,1.446,0.0,13.8
1729950880.16,20.8,0.705,0.0,1.22,40.0,1.13,0.0,2.17,19.2,1.037,0.0,2.34,20.8,1.568,0.0,13.9
1729950880.26,19.2,0.755,0.0,1.7,40.0,1.15,0.0,2.5,20.8,1.036,0.0,2.48,20.8,1.304,0.0,14.0
1729950880.36,19.2,0.766,0.0,0.772,40.0,1.02,0.0,3.5,19.2,0.817,0.0,5.78,19.2,1.264,0.0,1.9
1729950880.46,20.8,0.592,0.0,1.21,40.0,0.851,0.0,1.72,19.2,0.692,0.0,3.4,20.8,1.112,0.0,2.56
1729950880.56,20.8,0.576,0.0,1.125,40.0,1.111,0.0,2.19,20.8,0.616,0.0,3.85,19.2,1.344,0.0,11.4
1729950880.66,19.2,0.717,0.0,1.04,40.0,1.09,0.0,2.12,19.2,0.536,0.0,4.67,20.8,1.117,0.0,2.96
1729950880.76,20.8,0.745,0.0,1.48,36.8,1.089,0.0,2.68,20.8,0.656,0.0,4.92,19.2,1.09,0.0,2.76
1729950880.86,19.2,0.662,0.0,0.794,41.6,1.022,0.0,2.74,20.8,0.64,0.0,5.35,20.8,1.239,0.0,1.46
1729950880.96,20.8,0.71,0.0,0.812,40.0,1.009,0.0,2.8,19.2,0.769,0.0,5.78,19.2,1.387,0.0,2.64
1729950881.06,19.2,0.666,0.0,0.831,40.0,1.051,0.0,2.39,20.8,0.61,0.0,5.09,20.8,1.214,0.0,5.7
1729950881.16,20.8,0.854,0.0,1.22,38.4,1.148,0.0,2.59,19.2,0.618,0.0,6.65,19.2,1.275,0.0,4.055
1729950881.26,19.2,0.92,0.0,1.88,40.0,1.191,0.0,5.93,20.8,0.686,0.0,7.455,20.8,1.328,0.0,2.41
1729950881.36,20.8,0.86,0.0,1.24,40.0,1.223,0.0,8.065,19.2,0.785,0.0,8.26,19.2,1.528,0.0,2.13
1729950881.46,19.2,0.869,0.0,1.43,40.0,1.18,0.0,10.2,20.8,0.898,0.0,9.88,20.8,1.596,0.0,4.31
1729950881.56,19.2,0.674,0.0,4.66,40.0,1.049,0.0,7.56,19.2,0.706,0.0,1.97,19.2,1.492,0.0,4.06
1729950881.66,20.8,0.994,0.0,1.12,40.0,0.759,0.0,4.85,20.8,0.613,0.0,0.851,20.8,1.22,0.0,4.615
1729950881.76,20.8,0.92,0.0,1.07,40.0,0.805,0.0,7.265,19.2,0.857,0.0,2.49,19.2,1.501,0.0,5.17
1729950881.86,19.2,0.826,0.0,0.809,41.7,0.759,0.0,9.68,20.8,0.784,0.0,3.24,20.8,1.3,0.0,3.52
1729950881.96,19.2,0.672,0.0,0.879,40.0,0.947,0.0,8.63,19.2,0.86,0.0,3.99,19.2,1.494,0.0,4.68
1729950882.06,20.8,0.676,0.0,1.4,41.6,0.801,0.0,9.06,20.8,0.688,0.0,3.825,20.8,1.434,0.0,3.74
1729950882.16,20.8,0.902,0.0,2.39,40.0,0.854,0.0,8.61,19.2,0.665,0.0,3.66,19.2,1.26,0.0,3.97
1729950882.26,19.2,1.077,0.0,1.51,40.0,0.913,0.0,11.7,20.8,0.774,0.0,3.02,20.8,1.37,0.0,4.2
1729950882.36,19.2,0.953,0.0,2.1,40.0,0.982,0.0,11.4,19.2,0.866,0.0,3.09,19.2,1.616,0.0,4.45
1729950882.46,20.8,0.851,0.0,1.41,40.0,0.999,0.0,13.8,20.8,0.883,0.0,2.8,20.8,1.708,0.0,3.71
1729950882.56,19.2,0.741,0.0,1.38,40.0,0.799,0.0,14.1,19.2,0.828,0.0,2.49,19.2,1.711,0.0,4.48
1729950882.66,20.8,1.01,0.0,1.53,39.7,0.797,0.0,13.5,20.8,0.717,0.0,3.39,20.8,1.54,0.0,3.39
1729950882.76,19.2,1.077,0.0,0.863,38.7,0.813,0.0,15.5,19.2,0.925,0.0,2.82,19.2,1.801,0.0,4.19
1729950882.86,20.8,0.951,0.0,1.32,41.6,0.983,0.0,10.4,20.8,0.964,0.0,1.94,20.8,1.844,0.0,3.06
1729950882.96,19.2,0.736,0.0,2.57,38.5,0.913,0.0,1.45,19.2,0.911,0.0,2.46,19.2,1.555,0.0,2.78
1729950883.06,20.8,0.652,0.0,1.47,40.0,0.873,0.0,3.52,20.8,0.724,0.0,1.47,20.8,1.536,0.0,3.6
1729950883.16,19.2,0.796,0.0,2.17,41.6,0.798,0.0,3.42,19.2,0.705,0.0,2.47,19.2,1.511,0.0,1.86
1729950883.26,19.2,0.715,0.0,2.75,40.0,0.843,0.0,2.88,20.8,0.906,0.0,2.22,20.8,1.736,0.0,3.62
1729950883.36,20.8,0.73,0.0,4.44,40.0,1.072,0.0,3.23,19.2,1.033,0.0,2.22,19.2,1.793,0.0,4.48
1729950883.46,20.8,0.742,0.0,1.88,40.0,0.978,0.0,1.64,20.8,1.073,0.0,2.23,19.2,1.592,0.0,5.75
1729950883.56,20.8,0.568,0.0,1.95,38.4,0.908,0.0,2.58,19.2,0.748,0.0,1.1,20.8,1.438,0.0,3.2
1729950883.66,19.2,0.51,0.0,2.82,40.0,0.916,0.0,2.34,20.8,0.618,0.0,1.55,19.2,1.299,0.0,3.31
1729950883.76,19.2,0.775,0.0,2.73,41.5,0.923,0.0,2.2,19.2,0.866,0.0,1.55,20.8,1.357,0.0,4.06
1729950883.86,20.8,0.783,0.0,3.09,40.1,1.096,0.0,3.33,20.8,1.046,0.0,2.7,19.2,1.694,0.0,1.91
1729950883.96,20.8,0.697,0.0,2.51,39.9,0.933,0.0,1.88,19.2,1.083,0.0,2.78,19.2,1.379,0.0,7.4
1729950884.06,19.2,0.633,0.0,1.28,40.0,1.033,0.0,2.34,20.8,0.935,0.0,1.55,20.8,1.279,0.0,2.88
1729950884.16,20.8,0.656,0.0,2.96,40.0,1.083,0.0,1.52,19.2,0.843,0.0,2.63,19.2,1.292,0.0,2.56
1729950884.26,19.2,0.832,0.0,3.54,40.0,1.092,0.0,3.11,20.8,1.156,0.0,2.67,20.8,1.417,0.0,3.22
1729950884.36,19.2,0.941,0.0,2.73,40.0,1.406,0.0,3.19,19.2,1.142,0.0,3.85,20.8,1.426,0.0,5.5
1729950884.46,20.8,0.856,0.0,3.42,40.0,1.059,0.0,2.85,20.8,1.065,0.0,2.95,20.8,1.507,0.0,3.38
1729950884.56,20.8,0.736,0.0,2.07,40.0,1.025,0.0,3.56,19.2,0.828,0.0,2.93,19.2,1.432,0.0,3.05
1729950884.66,19.2,0.656,0.0,3.94,40.0,1.182,0.0,1.95,19.2,0.748,0.0,4.65,20.8,1.523,0.0,2.79
1729950884.76,19.2,0.808,0.0,3.14,40.0,1.189,0.0,3.2,20.8,0.964,0.0,3.46,19.2,1.463,0.0,4.57
1729950884.86,20.8,1.069,0.0,3.21,38.4,1.431,0.0,1.92,19.2,0.845,0.0,3.83,19.2,1.721,0.0,5.82
1729950884.96,20.8,0.876,0.0,5.33,41.6,1.248,0.0,2.98,20.8,0.928,0.0,3.4,20.8,1.798,0.0,5.3
1729950885.06,19.2,0.694,0.0,2.78,40.0,1.096,0.0,3.06,20.8,0.823,0.0,2.47,20.8,1.52,0.0,10.8
1729950885.16,20.8,0.544,0.0,2.4,38.4,1.042,0.0,2.24,19.2,0.777,0.0,3.74,19.2,1.527,0.0,5.12
1729950885.26,19.2,0.818,0.0,4.42,41.6,1.149,0.0,3.12,20.8,0.728,0.0,2.7,20.8,1.427,0.0,2.5
1729950885.36,20.8,0.885,0.0,4.15,38.4,1.204,0.0,1.83,19.2,1.005,0.0,3.35,19.2,1.647,0.0,8.16
1729950885.46,19.2,0.764,0.0,4.31,40.0,1.149,0.0,5.28,20.8,0.778,0.0,2.49,20.8,1.593,0.0,6.63
1729950885.56,20.8,0.744,0.0,4.73,40.0,0.922,0.0,2.13,19.2,0.743,0.0,2.23,19.2,1.512,0.0,9.83
1729950885.66,19.2,0.627,0.0,4.93,38.4,1.032,0.0,2.55,20.8,0.629,0.0,2.95,20.8,1.277,0.0,9.71
1729950885.76,20.8,0.839,0.0,7.3,40.0,1.137,0.0,2.51,19.2,0.663,0.0,2.64,19.2,1.213,0.0,9.69
1729950885.86,19.2,0.973,0.0,7.26,40.0,1.424,0.0,5.96,20.8,0.971,0.0,3.07,19.2,1.353,0.0,12.6
1729950885.96,20.8,0.852,0.0,7.8,40.0,0.667,0.0,2.11,19.2,1.0,0.0,2.67,20.8,1.822,0.0,12.2
1729950886.06,19.2,0.817,0.0,7.91,40.0,0.569,0.0,1.89,20.8,0.803,0.0,3.94,20.8,1.507,0.0,15.9
1729950886.16,19.2,0.659,0.0,8.54,41.6,0.57,0.0,2.38,19.2,0.732,0.0,3.99,19.2,1.398,0.0,15.9
1729950886.26,20.8,0.934,0.0,8.94,40.0,0.659,0.0,2.72,20.8,0.587,0.0,4.18,20.8,1.375,0.0,13.4
1729950886.36,19.2,1.069,0.0,1.71,40.0,0.975,0.0,2.81,19.2,0.858,0.0,3.41,19.2,1.474,0.0,7.9
1729950886.46,20.8,0.918,0.0,2.01,41.6,0.708,0.0,2.09,20.8,0.927,0.0,3.44,19.2,1.806,0.0,1.63
1729950886.56,19.2,0.73,0.0,2.18,40.0,0.589,0.0,1.69,19.2,0.829,0.0,5.02,20.8,1.658,0.0,2.34
