Time,Bitrate,Jitter,Datagrams,Delay
1729951379.72,20.8,0.681,0.0,4.18
1729951379.82,19.2,0.984,0.0,5.91
1729951379.92,20.8,1.093,0.0,5.42
1729951380.02,20.8,1.156,0.0,2.28
1729951380.12,19.2,1.082,0.0,3.1
1729951380.22,19.2,1.272,0.0,2.03
1729951380.32,20.8,1.178,0.0,8.47
1729951380.42,20.8,1.406,0.0,1.81
1729951380.52,19.2,1.338,0.0,1.8
1729951380.62,20.8,1.633,0.0,1.96
1729951380.72,19.2,1.392,0.0,2.78
1729951380.82,19.2,1.422,0.0,3.93
1729951380.92,20.8,1.475,0.0,1.88
1729951381.02,20.8,1.615,0.0,2.46
1729951381.12,19.2,1.586,0.0,4.13
1729951381.22,20.8,1.289,0.0,2.8
1729951381.32,19.2,1.272,0.0,4.19
1729951381.42,20.8,1.478,0.0,2.65
1729951381.52,19.2,1.838,0.0,3.78
1729951381.62,20.8,1.801,0.0,4.28
1729951381.72,19.2,1.687,0.0,2.63
1729951381.82,20.8,1.513,0.0,4.26
1729951381.92,19.2,1.853,0.0,2.32
1729951382.02,20.8,1.775,0.0,3.89
1729951382.12,19.2,1.691,0.0,2.76
1729951382.22,20.8,1.671,0.0,3.1
1729951382.32,19.2,1.620,0.0,3.46
1729951382.42,19.2,1.687,0.0,3.05
1729951382.52,19.2,1.757,0.0,3.65
1729951382.62,20.8,1.741,0.0,NA
1729951382.72,19.2,1.747,0.0,3.6
1729951382.82,20.8,1.505,0.0,4.39
1729951382.92,19.2,1.577,0.0,2.9
1729951383.02,19.2,1.155,0.0,4.17
1729951383.12,20.8,1.179,0.0,NA
1729951383.22,20.8,1.236,0.0,6.26
1729951383.32,20.8,0.981,0.0,3.21
1729951383.42,19.2,0.979,0.0,NA
1729951383.52,20.8,1.214,0.0,4.79
1729951383.62,20.8,1.115,0.0,7.46
1729951383.72,19.2,1.304,0.0,7.9
1729951383.82,20.8,1.062,0.0,7.76
1729951383.92,19.2,1.011,0.0,9.1
1729951384.02,20.8,1.212,0.0,11.6
1729951384.12,19.2,1.195,0.0,12.6
1729951384.22,20.8,1.521,0.0,12.5
1729951384.32,19.2,1.317,0.0,12.9
1729951384.42,19.2,1.434,0.0,14.0
1729951384.52,20.8,1.547,0.0,16.4
1729951384.62,20.8,1.484,0.0,15.0
1729951384.72,19.2,1.409,0.0,11.9
1729951384.82,19.2,1.222,0.0,9.29
1729951384.92,20.8,1.110,0.0,2.81
1729951385.02,20.8,1.191,0.0,4.1
1729951385.12,19.2,1.426,0.0,2.17
1729951385.22,19.2,1.561,0.0,3.12
1729951385.32,20.8,1.520,0.0,3.4
1729951385.42,19.2,1.801,0.0,3.24
1729951385.52,20.8,1.722,0.0,3.42
1729951385.62,19.2,1.674,0.0,2.01
1729951385.72,20.8,1.631,0.0,4.07
