Time,Bitrate,Jitter,Datagrams
1729951379.74,20.8,0.588,0.0
1729951379.84,19.2,0.645,0.0
1729951379.94,20.8,0.701,0.0
1729951380.04,20.8,0.616,0.0
1729951380.14,19.2,0.560,0.0
1729951380.24,20.8,0.788,0.0
1729951380.34,19.2,0.763,0.0
1729951380.44,20.8,0.834,0.0
1729951380.54,19.2,0.779,0.0
1729951380.64,20.7,0.826,0.0
1729951380.74,19.3,0.663,0.0
1729951380.84,20.8,0.844,0.0
1729951380.94,19.1,0.740,0.0
1729951381.04,20.9,0.853,0.0
1729951381.14,19.2,0.758,0.0
1729951381.24,20.8,0.797,0.0
1729951381.34,19.2,0.889,0.0
1729951381.44,20.8,0.858,0.0
1729951381.54,19.2,0.885,0.0
1729951381.64,20.8,0.729,0.0
1729951381.74,19.2,0.902,0.0
1729951381.84,20.8,0.919,0.0
1729951381.94,19.2,0.988,0.0
1729951382.04,20.8,0.915,0.0
1729951382.14,19.2,0.729,0.0
1729951382.24,20.8,0.637,0.0
1729951382.34,19.2,0.989,0.0
1729951382.44,20.8,0.950,0.0
1729951382.54,19.2,0.824,0.0
1729951382.64,20.8,0.938,0.0
1729951382.74,19.2,0.991,0.0
1729951382.84,20.8,1.010,0.0
1729951382.94,19.2,1.074,0.0
1729951383.04,20.8,0.798,0.0
1729951383.14,19.2,0.840,0.0
1729951383.24,20.8,0.758,0.0
1729951383.34,19.2,0.915,0.0
1729951383.44,20.8,0.922,0.0
1729951383.54,19.2,0.855,0.0
1729951383.64,20.8,0.807,0.0
1729951383.74,19.2,0.990,0.0
1729951383.84,20.8,1.021,0.0
1729951383.94,19.2,0.929,0.0
1729951384.04,20.8,0.955,0.0
1729951384.14,19.2,0.688,0.0
1729951384.24,20.8,0.776,0.0
1729951384.34,19.2,0.676,0.0
1729951384.44,20.8,0.752,0.0
1729951384.54,19.2,0.807,0.0
1729951384.64,20.8,0.778,0.0
1729951384.74,19.2,0.680,0.0
1729951384.84,20.8,0.510,0.0
1729951384.94,19.2,0.786,0.0
1729951385.04,20.8,0.722,0.0
1729951385.14,19.2,0.745,0.0
1729951385.24,20.8,0.693,0.0
1729951385.34,19.2,0.796,0.0
1729951385.44,20.8,0.829,0.0
1729951385.54,19.2,0.896,0.0
1729951385.64,20.8,0.736,0.0
1729951385.74,19.2,0.890,0.0
1729951385.84,20.8,0.676,0.0
1729951385.94,19.2,0.856,0.0
1729951386.04,20.8,0.803,0.0
1729951386.14,19.2,0.841,0.0
1729951386.24,20.8,0.890,0.0
1729951386.34,19.2,0.695,0.0
1729951386.44,20.8,0.844,0.0
1729951386.54,19.2,0.920,0.0
1729951386.64,20.8,0.882,0.0
1729951386.74,19.2,0.999,0.0
1729951386.84,20.8,0.781,0.0
1729951386.94,19.2,0.987,0.0
1729951387.04,20.8,1.016,0.0
1729951387.14,19.2,0.936,0.0
1729951387.24,20.8,1.064,0.0
1729951387.34,19.2,0.795,0.0
1729951387.44,20.8,1.131,0.0
1729951387.54,19.2,1.045,0.0
1729951387.64,20.8,1.082,0.0
1729951387.74,19.2,0.987,0.0
1729951387.84,20.8,0.844,0.0
1729951387.94,19.2,1.149,0.0
1729951388.04,20.8,1.138,0.0
1729951388.14,19.2,0.937,0.0
1729951388.24,20.8,0.749,0.0
1729951388.34,19.2,0.666,0.0
1729951388.44,19.2,0.778,0.0
1729951388.54,20.8,0.798,0.0
1729951388.64,20.8,0.781,0.0
1729951388.74,19.2,0.670,0.0
1729951388.84,20.8,0.653,0.0
1729951388.94,19.2,0.632,0.0
1729951389.04,20.8,0.802,0.0
1729951389.14,19.2,0.748,0.0
1729951389.24,20.8,0.623,0.0
1729951389.34,19.2,0.618,0.0
1729951389.44,20.8,0.658,0.0
1729951389.54,19.2,0.786,0.0
