Time,Bitrate,Jitter,Datagrams,Delay
1729951380.77,19.3,0.663,0.0,3.58
1729951380.87,20.8,0.844,0.0,2.71
1729951380.97,19.1,0.74,0.0,3.63
1729951381.07,20.9,0.853,0.0,3.43
1729951381.17,19.2,0.758,0.0,2.95
1729951381.27,20.8,0.797,0.0,4.41
1729951381.37,19.2,0.889,0.0,2.65
1729951381.47,20.8,0.858,0.0,4.27
1729951381.57,19.2,0.885,0.0,3.54
1729951381.67,20.8,0.729,0.0,3.77
1729951381.77,19.2,0.902,0.0,4.33
1729951381.87,20.8,0.919,0.0,2.91
1729951381.97,19.2,0.988,0.0,4.19
1729951382.07,20.8,0.915,0.0,2.81
1729951382.17,19.2,0.729,0.0,3.22
1729951382.27,20.8,0.637,0.0,3.33
1729951382.37,19.2,0.989,0.0,3.56
1729951382.47,20.8,0.95,0.0,3.79
1729951382.57,19.2,0.824,0.0,2.78
1729951382.67,20.8,0.938,0.0,2.52
1729951382.77,19.2,0.991,0.0,4.43
1729951382.87,20.8,1.01,0.0,3.85
1729951382.97,19.2,1.074,0.0,3.27
1729951383.07,20.8,0.798,0.0,1.57
1729951383.17,19.2,0.84,0.0,3.08
1729951383.27,20.8,0.758,0.0,3.925
1729951383.37,19.2,0.915,0.0,4.77
1729951383.47,20.8,0.922,0.0,2.32
1729951383.57,19.2,0.855,0.0,2.91
1729951383.67,20.8,0.807,0.0,1.77
1729951383.77,19.2,0.99,0.0,3.0
1729951383.87,20.8,1.021,0.0,4.74
1729951383.97,19.2,0.929,0.0,2.39
1729951384.07,20.8,0.955,0.0,3.15
1729951384.17,19.2,0.688,0.0,2.45
1729951384.27,20.8,0.776,0.0,5.05
1729951384.37,19.2,0.676,0.0,2.6
1729951384.47,20.8,0.752,0.0,3.43
1729951384.57,19.2,0.807,0.0,7.27
1729951384.67,20.8,0.778,0.0,4.26
1729951384.77,19.2,0.68,0.0,6.46
1729951384.87,20.8,0.51,0.0,3.47
1729951384.97,19.2,0.786,0.0,4.04
1729951385.07,20.8,0.722,0.0,7.73
1729951385.17,19.2,0.745,0.0,6.02
1729951385.27,20.8,0.693,0.0,8.6
1729951385.37,19.2,0.796,0.0,7.18
1729951385.47,20.8,0.829,0.0,7.53
1729951385.57,19.2,0.896,0.0,10.6
1729951385.67,20.8,0.736,0.0,8.45
1729951385.77,19.2,0.89,0.0,7.93
1729951385.87,20.8,0.676,0.0,8.83
1729951385.97,19.2,0.856,0.0,8.86
1729951386.07,20.8,0.803,0.0,7.97
1729951386.17,19.2,0.841,0.0,1.93
1729951386.27,20.8,0.89,0.0,1.31
1729951386.37,19.2,0.695,0.0,1.97
1729951386.47,20.8,0.844,0.0,1.28
1729951386.57,19.2,0.92,0.0,4.01
1729951386.67,20.8,0.882,0.0,2.62
1729951386.77,19.2,0.999,0.0,1.85
1729951386.87,20.8,0.781,0.0,2.92
1729951386.97,19.2,0.987,0.0,2.81
1729951387.07,20.8,1.016,0.0,2.18
1729951387.17,19.2,0.936,0.0,2.51
1729951387.27,20.8,1.064,0.0,2.42
1729951387.37,19.2,0.795,0.0,2.6
1729951387.47,20.8,1.131,0.0,2.6
1729951387.57,19.2,1.045,0.0,1.95
1729951387.67,20.8,1.082,0.0,2.08
1729951387.77,19.2,0.987,0.0,2.46
1729951387.87,20.8,0.844,0.0,2.14
1729951387.97,19.2,1.149,0.0,2.19
1729951388.07,20.8,1.138,0.0,2.6
1729951388.17,19.2,0.937,0.0,1.77
1729951388.27,20.8,0.749,0.0,1.46
1729951388.37,19.2,0.666,0.0,1.47
1729951388.47,19.2,0.778,0.0,1.31
1729951388.57,20.8,0.798,0.0,0.881
1729951388.67,20.8,0.781,0.0,0.911
1729951388.77,19.2,0.67,0.0,0.989
1729951388.87,20.8,0.653,0.0,0.786
1729951388.97,19.2,0.632,0.0,1.9
1729951389.07,20.8,0.802,0.0,2.0
1729951389.17,19.2,0.748,0.0,1.55
1729951389.27,20.8,0.623,0.0,3.29
1729951389.37,19.2,0.618,0.0,1.09
1729951389.47,20.8,0.658,0.0,2.82
1729951389.57,19.2,0.786,0.0,1.87
1729951389.67,20.8,0.771,0.0,2.03
1729951389.77,19.2,0.864,0.0,2.92
1729951389.87,20.8,0.705,0.0,3.38
1729951389.97,19.2,0.699,0.0,2.68
1729951390.07,20.8,0.874,0.0,1.47
1729951390.17,19.2,0.803,0.0,3.97
1729951390.27,20.8,0.785,0.0,2.98
1729951390.37,19.2,0.674,0.0,3.31
1729951390.47,20.8,0.787,0.0,3.28
1729951390.57,19.2,0.88,0.0,3.22
1729951390.67,20.8,0.894,0.0,4.16
1729951390.77,19.2,0.951,0.0,5.6
1729951390.87,20.8,0.75,0.0,5.3
1729951390.97,19.2,0.735,0.0,5.06
1729951391.07,20.8,0.972,0.0,5.15
1729951391.17,19.2,0.968,0.0,6.31
1729951391.27,20.8,0.874,0.0,7.59
1729951391.37,19.2,0.795,0.0,7.57
1729951391.47,20.8,1.045,0.0,6.6
1729951391.57,19.2,1.03,0.0,7.25
1729951391.67,20.8,1.086,0.0,7.54
1729951391.77,19.2,0.899,0.0,6.31
1729951391.87,20.8,0.984,0.0,7.1
1729951391.97,19.2,0.938,0.0,10.4
1729951392.07,20.8,0.983,0.0,9.44
1729951392.17,19.2,1.048,0.0,1.23
1729951392.27,20.8,0.923,0.0,1.09
1729951392.37,19.2,0.767,0.0,1.36
1729951392.47,19.2,0.612,0.0,1.48
1729951392.57,20.8,0.932,0.0,1.22
1729951392.67,19.2,0.703,0.0,1.67
1729951392.77,20.8,0.714,0.0,2.06
1729951392.87,20.8,0.813,0.0,1.98
1729951392.97,19.2,0.691,0.0,5.35
1729951393.07,20.8,0.727,0.0,2.57
1729951393.17,19.2,0.788,0.0,3.62
1729951393.27,20.8,0.805,0.0,2.52
1729951393.37,19.2,1.079,0.0,2.36
1729951393.47,20.8,0.872,0.0,5.84
1729951393.57,19.2,0.833,0.0,2.11
1729951393.67,20.8,0.892,0.0,2.48
1729951393.77,19.2,1.069,0.0,2.31
1729951393.87,20.8,0.868,0.0,4.19
1729951393.97,19.2,0.839,0.0,2.62
1729951394.07,20.8,0.654,0.0,2.35
1729951394.17,19.2,0.787,0.0,2.14
1729951394.27,20.8,0.91,0.0,1.65
1729951394.37,19.2,0.761,0.0,3.72
1729951394.47,20.8,0.581,0.0,1.58
1729951394.57,19.2,0.569,0.0,1.79
1729951394.67,20.8,0.786,0.0,1.56
1729951394.77,19.2,0.959,0.0,1.92
1729951394.87,20.8,1.115,0.0,3.04
1729951394.97,19.2,0.931,0.0,5.16
1729951395.07,20.8,0.625,0.0,2.07
1729951395.17,19.1,0.842,0.0,2.65
1729951395.27,20.9,0.905,0.0,1.82
1729951395.37,19.2,0.81,0.0,2.76
1729951395.47,20.8,0.901,0.0,4.86
1729951395.57,19.2,0.822,0.0,2.0
1729951395.67,20.8,1.109,0.0,2.88
1729951395.77,19.2,1.069,0.0,2.19
1729951395.87,20.8,1.165,0.0,4.86
1729951395.97,19.2,1.04,0.0,5.46
1729951396.07,20.8,0.762,0.0,2.43
1729951396.17,19.2,1.022,0.0,3.01
1729951396.27,19.2,0.864,0.0,2.63
1729951396.37,20.8,0.878,0.0,4.57
1729951396.47,20.8,0.899,0.0,6.51
1729951396.57,19.2,0.81,0.0,4.26
1729951396.67,20.8,1.097,0.0,5.35
1729951396.77,19.2,1.095,0.0,4.91
1729951396.87,19.2,0.883,0.0,5.837
1729951396.97,20.8,0.694,0.0,6.763
1729951397.07,20.8,0.554,0.0,7.69
1729951397.17,19.2,0.569,0.0,6.89
1729951397.27,20.8,0.721,0.0,6.09
1729951397.37,19.2,0.856,0.0,6.61
1729951397.47,20.8,0.718,0.0,7.51
1729951397.57,19.2,0.571,0.0,7.55
1729951397.67,20.8,0.614,0.0,6.94
1729951397.77,19.2,0.773,0.0,7.17
1729951397.87,20.8,0.795,0.0,7.75
1729951397.97,19.2,0.891,0.0,8.61
1729951398.07,20.8,0.662,0.0,9.26
1729951398.17,19.2,0.669,0.0,7.11
1729951398.27,20.8,0.8,0.0,1.52
1729951398.37,19.2,0.857,0.0,2.02
1729951398.47,20.8,0.775,0.0,1.88
1729951398.57,19.2,0.679,0.0,1.23
1729951398.67,20.8,0.686,0.0,2.13
1729951398.77,19.2,0.803,0.0,1.27
1729951398.87,20.8,0.873,0.0,2.68
1729951398.97,19.2,0.747,0.0,1.48
1729951399.07,20.8,0.676,0.0,2.15
1729951399.17,19.2,0.611,0.0,1.83
1729951399.27,20.8,0.807,0.0,2.04
1729951399.37,19.2,0.825,0.0,2.54
1729951399.47,20.8,0.702,0.0,1.53
1729951399.57,19.2,0.666,0.0,2.39
1729951399.67,20.8,0.664,0.0,0.977
1729951399.77,19.2,1.056,0.0,2.2
1729951399.87,20.8,0.957,0.0,1.12
1729951399.97,19.2,0.847,0.0,1.47
1729951400.07,20.9,0.759,0.0,1.91
1729951400.17,19.2,0.794,0.0,1.16
1729951400.27,20.8,0.986,0.0,1.64
1729951400.37,19.2,0.962,0.0,0.957
1729951400.47,20.8,0.933,0.0,2.2
1729951400.57,19.2,0.941,0.0,1.05
1729951400.67,20.8,0.823,0.0,2.04
1729951400.77,19.2,0.951,0.0,1.27
1729951400.87,20.8,1.023,0.0,1.99
1729951400.97,19.2,0.799,0.0,1.89
1729951401.07,19.2,0.734,0.0,1.58
1729951401.17,20.8,0.592,0.0,2.65
1729951401.27,19.2,0.627,0.0,1.32
1729951401.37,20.8,0.827,0.0,2.19
1729951401.47,20.8,0.794,0.0,1.52
1729951401.57,19.2,0.788,0.0,1.4
1729951401.67,20.8,0.602,0.0,5.74
1729951401.77,19.2,0.535,0.0,1.31
1729951401.87,20.8,0.667,0.0,2.44
1729951401.97,19.2,0.697,0.0,2.25
1729951402.07,20.8,0.613,0.0,3.44
1729951402.17,19.2,0.673,0.0,3.85
1729951402.27,20.8,0.622,0.0,2.93
1729951402.37,19.2,0.733,0.0,4.61
1729951402.47,20.8,0.862,0.0,4.81
1729951402.57,19.2,0.747,0.0,5.94
1729951402.67,20.8,0.709,0.0,5.6
1729951402.77,19.2,0.665,0.0,5.01
1729951402.87,20.8,0.82,0.0,6.36
1729951402.97,19.2,0.843,0.0,7.53
1729951403.07,20.8,0.812,0.0,8.45
1729951403.17,19.2,0.761,0.0,8.36
1729951403.27,20.8,0.76,0.0,8.34
1729951403.37,19.2,0.993,0.0,7.76
1729951403.47,20.8,0.943,0.0,7.1
1729951403.57,19.2,0.867,0.0,8.44
1729951403.67,20.8,0.74,0.0,9.16
1729951403.77,19.2,0.833,0.0,9.64
1729951403.87,20.8,0.929,0.0,6.9
1729951403.97,19.2,1.093,0.0,0.924
1729951404.07,20.8,0.898,0.0,1.05
1729951404.17,19.2,0.83,0.0,1.22
1729951404.27,20.8,0.695,0.0,1.26
1729951404.37,19.2,0.906,0.0,0.796
1729951404.47,20.8,1.033,0.0,2.07
1729951404.57,19.2,0.879,0.0,1.72
1729951404.67,20.8,0.758,0.0,1.91
1729951404.77,19.2,0.749,0.0,1.5
1729951404.87,20.8,1.057,0.0,4.07
1729951404.97,19.2,1.125,0.0,1.96
1729951405.07,20.8,1.001,0.0,2.17
1729951405.17,19.2,0.754,0.0,1.91
1729951405.27,20.8,0.887,0.0,1.56
1729951405.37,19.2,1.026,0.0,4.37
1729951405.47,19.2,1.013,0.0,1.57
1729951405.57,20.8,0.821,0.0,2.72
1729951405.67,20.8,0.76,0.0,1.7
1729951405.77,19.2,0.794,0.0,1.62
1729951405.87,20.8,0.87,0.0,3.94
1729951405.97,19.2,0.944,0.0,3.91
1729951406.07,20.8,0.78,0.0,2.88
1729951406.17,19.2,0.893,0.0,2.26
1729951406.27,20.8,0.859,0.0,4.02
1729951406.37,19.2,0.743,0.0,3.02
1729951406.47,20.8,0.845,0.0,4.28
1729951406.57,19.2,0.785,0.0,3.08
1729951406.67,20.8,0.87,0.0,1.95
1729951406.77,19.2,0.782,0.0,3.33
1729951406.87,20.8,0.632,0.0,1.73
1729951406.97,19.2,0.903,0.0,1.57
1729951407.07,20.8,0.769,0.0,2.67
1729951407.17,19.2,0.832,0.0,1.85
1729951407.27,20.8,0.96,0.0,3.43
1729951407.37,19.2,0.741,0.0,3.78
1729951407.47,20.8,0.952,0.0,2.46
1729951407.57,19.2,0.928,0.0,3.59
1729951407.67,20.8,0.736,0.0,3.26
1729951407.77,19.2,0.781,0.0,3.64
1729951407.87,20.8,0.646,0.0,2.88
1729951407.97,19.2,0.812,0.0,2.76
1729951408.07,20.8,0.893,0.0,4.84
1729951408.17,19.2,0.85,0.0,7.93
1729951408.27,20.8,0.921,0.0,7.47
1729951408.37,19.2,0.626,0.0,4.99
1729951408.47,20.8,0.96,0.0,4.09
1729951408.57,19.2,0.946,0.0,6.29
1729951408.67,20.8,0.914,0.0,4.86
1729951408.77,19.2,0.762,0.0,8.25
1729951408.87,20.8,0.861,0.0,5.83
1729951408.97,19.2,0.896,0.0,7.51
1729951409.07,19.2,1.032,0.0,7.8
1729951409.17,20.8,1.012,0.0,8.51
1729951409.27,20.8,0.858,0.0,7.94
1729951409.37,19.2,0.936,0.0,7.14
1729951409.47,19.2,0.999,0.0,7.85
1729951409.57,20.8,1.028,0.0,8.05
1729951409.67,19.2,0.722,0.0,8.24
1729951409.77,20.8,0.814,0.0,8.56
1729951409.87,20.8,0.703,0.0,9.41
1729951409.97,19.2,0.612,0.0,9.92
1729951410.07,20.8,0.844,0.0,1.7
1729951410.17,19.2,0.877,0.0,2.9
1729951410.27,20.8,0.836,0.0,2.12
1729951410.37,19.2,0.657,0.0,2.71
1729951410.47,20.8,0.55,0.0,3.03
1729951410.57,19.2,0.902,0.0,2.15
1729951410.67,20.8,0.782,0.0,3.18
1729951410.77,19.2,0.956,0.0,2.29
1729951410.87,20.8,0.704,0.0,3.86
1729951410.97,19.2,0.665,0.0,3.23
1729951411.07,20.8,0.795,0.0,3.26
1729951411.17,19.2,0.881,0.0,3.69
1729951411.27,20.8,0.874,0.0,2.59
1729951411.37,19.2,0.723,0.0,2.46
1729951411.47,20.8,0.702,0.0,2.33
1729951411.57,19.2,0.836,0.0,3.24
1729951411.67,20.8,1.002,0.0,2.91
1729951411.77,19.2,0.907,0.0,2.45
1729951411.87,20.8,0.711,0.0,2.605
1729951411.97,19.2,0.602,0.0,2.76
1729951412.07,20.8,1.085,0.0,2.97
1729951412.17,19.2,0.966,0.0,2.77
1729951412.27,20.8,0.874,0.0,2.7
1729951412.37,19.2,0.703,0.0,2.33
1729951412.47,20.8,0.653,0.0,1.96
1729951412.57,19.2,1.078,0.0,3.24
1729951412.67,20.8,1.011,0.0,2.24
1729951412.77,19.2,0.887,0.0,2.53
1729951412.87,20.8,0.677,0.0,2.82
1729951412.97,19.2,0.672,0.0,2.85
1729951413.07,20.8,0.886,0.0,2.41
1729951413.17,19.2,0.925,0.0,5.26
1729951413.27,20.8,0.893,0.0,2.85
1729951413.37,19.2,0.785,0.0,2.78
1729951413.47,20.8,0.868,0.0,3.13
1729951413.57,19.2,1.213,0.0,2.99
1729951413.67,20.8,1.155,0.0,7.95
1729951413.77,19.2,0.889,0.0,3.3
1729951413.87,20.8,0.805,0.0,4.66
1729951413.97,19.2,0.889,0.0,3.58
1729951414.07,19.2,0.662,0.0,6.09
1729951414.17,20.8,0.799,0.0,4.44
1729951414.27,20.8,0.704,0.0,4.28
1729951414.37,19.2,0.708,0.0,6.94
1729951414.47,20.8,0.874,0.0,5.87
1729951414.57,19.2,0.716,0.0,10.2
1729951414.67,20.8,0.774,0.0,5.65
1729951414.77,19.2,0.875,0.0,6.42
1729951414.87,20.8,0.819,0.0,7.5
1729951414.97,19.2,1.141,0.0,7.08
1729951415.07,20.8,0.821,0.0,13.9
1729951415.17,19.2,0.891,0.0,7.37
1729951415.27,20.8,0.859,0.0,7.01
1729951415.37,19.2,0.875,0.0,7.79
1729951415.47,20.8,0.934,0.0,9.82
1729951415.57,19.2,0.831,0.0,7.97
1729951415.67,20.8,0.938,0.0,8.74
1729951415.77,19.2,1.004,0.0,9.96
1729951415.87,20.8,1.018,0.0,11.0
1729951415.97,19.2,0.889,0.0,8.0
1729951416.07,20.8,0.886,0.0,4.71
1729951416.17,19.2,0.913,0.0,3.08
1729951416.27,20.8,0.895,0.0,4.25
1729951416.37,19.2,0.745,0.0,3.75
1729951416.47,20.8,0.674,0.0,3.62
1729951416.57,19.2,0.765,0.0,5.08
1729951416.67,20.8,0.953,0.0,3.58
1729951416.77,19.2,1.037,0.0,4.8
1729951416.87,20.8,0.892,0.0,4.96
1729951416.97,19.2,0.966,0.0,4.62
1729951417.07,20.8,0.971,0.0,6.06
1729951417.17,19.2,1.232,0.0,3.61
1729951417.27,20.8,1.253,0.0,3.72
1729951417.37,19.2,0.961,0.0,5.1
1729951417.47,20.8,1.212,0.0,4.29
1729951417.57,19.2,0.952,0.0,5.38
1729951417.67,20.8,1.199,0.0,3.72
1729951417.77,19.2,1.186,0.0,3.69
1729951417.87,20.8,0.919,0.0,4.64
1729951417.97,19.2,0.799,0.0,3.76
1729951418.07,20.8,0.647,0.0,3.1
1729951418.17,19.2,0.896,0.0,3.54
1729951418.27,19.2,1.02,0.0,3.63
1729951418.37,20.8,1.036,0.0,4.35
1729951418.47,20.8,0.959,0.0,3.93
1729951418.57,19.2,0.744,0.0,2.67
1729951418.67,20.8,0.726,0.0,3.48
1729951418.77,19.2,1.065,0.0,3.12
1729951418.87,20.8,1.129,0.0,5.23
1729951418.97,19.2,0.904,0.0,3.4
1729951419.07,20.8,0.699,0.0,2.37
1729951419.17,19.2,0.757,0.0,4.1
1729951419.27,20.8,0.854,0.0,1.7
1729951419.37,19.2,0.895,0.0,4.2
1729951419.47,20.8,0.955,0.0,2.58
1729951419.57,19.2,0.726,0.0,3.02
1729951419.67,20.8,0.692,0.0,1.72
1729951419.77,19.2,0.867,0.0,1.92
1729951419.87,20.8,0.919,0.0,5.81
1729951419.97,19.2,0.831,0.0,4.43
1729951420.07,20.8,0.679,0.0,3.22
1729951420.17,19.2,0.696,0.0,3.4
1729951420.27,20.8,0.752,0.0,4.2
1729951420.37,19.2,0.883,0.0,7.89
1729951420.47,20.8,0.827,0.0,6.26
1729951420.57,19.2,0.725,0.0,6.41
1729951420.67,20.8,0.782,0.0,6.59
1729951420.77,19.2,0.92,0.0,6.83
1729951420.87,20.8,0.976,0.0,8.6
1729951420.97,19.2,0.918,0.0,8.32
1729951421.07,20.8,0.775,0.0,8.58
1729951421.17,19.2,0.75,0.0,7.64
1729951421.27,20.8,0.935,0.0,6.42
1729951421.37,19.2,1.007,0.0,6.97
1729951421.47,20.8,0.928,0.0,8.05
1729951421.57,19.2,0.856,0.0,8.83
1729951421.67,20.8,0.994,0.0,8.9
1729951421.77,19.2,1.111,0.0,9.63
1729951421.87,20.8,1.185,0.0,6.62
1729951421.97,19.2,1.036,0.0,1.37
1729951422.07,20.8,0.852,0.0,1.29
1729951422.17,19.2,0.72,0.0,1.4
1729951422.27,20.8,0.922,0.0,2.25
1729951422.37,19.2,0.871,0.0,1.0
1729951422.47,19.2,0.695,0.0,2.26
1729951422.57,20.8,0.682,0.0,1.58
1729951422.67,20.8,0.69,0.0,2.55
1729951422.77,19.2,0.521,0.0,1.57
1729951422.87,20.8,0.666,0.0,1.44
1729951422.97,19.2,0.672,0.0,2.6
1729951423.07,20.8,0.75,0.0,1.77
1729951423.17,19.2,0.657,0.0,2.63
1729951423.27,20.8,0.564,0.0,2.12
1729951423.37,19.2,0.829,0.0,1.85
1729951423.47,20.8,0.76,0.0,2.87
1729951423.57,19.2,0.763,0.0,1.16
1729951423.67,20.8,0.575,0.0,2.42
1729951423.77,19.2,0.589,0.0,1.57
1729951423.87,20.8,0.718,0.0,2.15
1729951423.97,19.2,0.825,0.0,2.07
1729951424.07,20.8,0.926,0.0,1.34
1729951424.17,19.2,0.69,0.0,2.21
1729951424.27,20.8,0.534,0.0,1.49
1729951424.37,19.2,0.852,0.0,2.19
1729951424.47,20.8,1.017,0.0,1.36
1729951424.57,19.2,1.13,0.0,2.39
1729951424.67,20.8,0.945,0.0,2.27
1729951424.77,19.2,0.816,0.0,1.91
1729951424.87,20.8,0.983,0.0,2.94
1729951424.97,19.2,1.074,0.0,1.88
1729951425.07,20.8,0.985,0.0,2.29
1729951425.17,19.2,0.849,0.0,2.06
1729951425.27,20.8,0.748,0.0,2.4
1729951425.37,19.2,0.952,0.0,2.16
1729951425.47,20.8,0.967,0.0,1.77
1729951425.57,19.2,1.156,0.0,4.98
1729951425.67,20.8,0.944,0.0,1.42
1729951425.77,19.2,0.757,0.0,1.74
1729951425.87,20.8,1.114,0.0,2.26
1729951425.97,19.2,1.271,0.0,4.08
1729951426.07,20.8,0.974,0.0,3.67
1729951426.17,19.2,0.748,0.0,4.09
1729951426.27,20.8,0.697,0.0,5.22
1729951426.37,19.2,0.936,0.0,5.03
1729951426.47,19.2,0.986,0.0,8.61
1729951426.57,20.8,0.831,0.0,7.08
1729951426.67,19.2,0.641,0.0,7.13
1729951426.77,20.8,0.564,0.0,7.29
1729951426.87,19.2,0.634,0.0,8.945
1729951426.97,20.8,0.848,0.0,10.6
1729951427.07,20.8,0.736,0.0,9.2
1729951427.17,19.2,0.694,0.0,8.39
1729951427.27,20.8,0.695,0.0,10.7
1729951427.37,19.2,0.657,0.0,11.133
1729951427.47,20.8,0.737,0.0,11.567
1729951427.57,19.2,0.746,0.0,12.0
1729951427.67,20.8,0.638,0.0,4.13
1729951427.77,19.2,0.619,0.0,2.98
1729951427.87,20.8,0.527,0.0,3.07
1729951427.97,19.2,0.678,0.0,3.16
1729951428.07,20.8,0.682,0.0,2.72
1729951428.17,19.2,0.596,0.0,3.55
1729951428.27,20.8,0.523,0.0,4.885
1729951428.37,19.2,0.499,0.0,6.22
1729951428.47,20.8,0.839,0.0,3.2
1729951428.57,19.2,0.853,0.0,2.41
1729951428.67,20.8,0.818,0.0,3.03
1729951428.77,19.2,0.881,0.0,3.38
1729951428.87,20.8,0.783,0.0,3.73
1729951428.97,19.2,0.935,0.0,3.0
1729951429.07,20.8,0.988,0.0,2.875
1729951429.17,19.2,0.942,0.0,2.75
1729951429.27,20.8,0.859,0.0,1.99
1729951429.37,19.2,0.902,0.0,4.59
1729951429.47,20.8,1.097,0.0,2.63
1729951429.57,19.2,1.061,0.0,2.58
1729951429.67,20.8,1.001,0.0,3.18
1729951429.77,19.2,1.021,0.0,5.09
1729951429.87,20.8,0.954,0.0,3.48
1729951429.97,19.2,1.258,0.0,3.65
1729951430.07,20.8,1.152,0.0,3.08
1729951430.17,19.2,1.051,0.0,4.01
1729951430.27,20.8,0.997,0.0,4.22
1729951430.37,19.2,1.01,0.0,3.59
1729951430.47,20.8,1.15,0.0,3.94
1729951430.57,19.2,1.194,0.0,4.22
1729951430.67,20.8,1.245,0.0,4.12
1729951430.77,19.2,1.022,0.0,5.47
1729951430.87,20.8,0.821,0.0,4.73
1729951430.97,19.2,0.929,0.0,4.51
1729951431.07,19.2,0.912,0.0,4.97
1729951431.17,20.8,0.891,0.0,3.82
1729951431.27,20.8,0.889,0.0,5.21
1729951431.37,19.2,0.768,0.0,5.38
1729951431.47,20.8,0.729,0.0,3.06
1729951431.57,19.2,1.003,0.0,3.35
1729951431.67,20.8,0.908,0.0,2.96
1729951431.77,19.2,0.835,0.0,6.31
1729951431.87,20.8,0.658,0.0,2.83
1729951431.97,19.2,0.581,0.0,3.6
1729951432.07,20.8,0.742,0.0,3.79
1729951432.17,19.2,0.855,0.0,8.19
1729951432.27,20.8,0.773,0.0,7.81
1729951432.37,19.2,0.734,0.0,7.01
1729951432.47,20.8,0.65,0.0,7.1
1729951432.57,19.2,0.755,0.0,7.36
1729951432.67,20.8,0.808,0.0,10.3
1729951432.77,19.2,0.859,0.0,10.1
1729951432.87,20.8,0.975,0.0,10.9
1729951432.97,19.2,0.9,0.0,9.56
1729951433.07,20.8,1.033,0.0,9.73
1729951433.17,19.2,1.012,0.0,12.5
1729951433.27,20.8,0.867,0.0,11.4
1729951433.37,19.2,0.964,0.0,7.6
1729951433.47,20.8,0.873,0.0,9.05
1729951433.57,19.2,1.047,0.0,4.26
1729951433.67,20.8,0.966,0.0,5.24
1729951433.77,19.2,0.96,0.0,4.55
1729951433.87,20.8,0.929,0.0,4.78
1729951433.97,19.2,0.96,0.0,5.21
1729951434.07,20.8,0.947,0.0,4.77
1729951434.17,19.2,1.05,0.0,4.81
1729951434.27,20.8,0.902,0.0,4.22
1729951434.37,19.2,0.86,0.0,4.34
1729951434.47,20.8,0.793,0.0,4.15
1729951434.57,19.2,0.965,0.0,4.34
1729951434.67,20.8,1.168,0.0,5.05
1729951434.77,19.2,1.137,0.0,4.24
1729951434.87,20.8,1.302,0.0,4.27
1729951434.97,19.2,1.007,0.0,3.63
1729951435.07,20.8,1.261,0.0,4.07
1729951435.17,19.2,1.195,0.0,3.11
1729951435.27,19.2,1.094,0.0,4.05
1729951435.37,20.8,1.126,0.0,3.76
1729951435.47,20.8,0.937,0.0,4.18
1729951435.57,19.2,0.858,0.0,5.52
1729951435.67,20.8,1.035,0.0,3.53
1729951435.77,19.2,1.068,0.0,6.83
1729951435.87,20.8,1.015,0.0,4.47
1729951435.97,19.2,0.907,0.0,4.75
1729951436.07,20.8,0.805,0.0,6.75
1729951436.17,19.2,1.151,0.0,4.75
1729951436.27,20.8,1.106,0.0,8.23
1729951436.37,19.2,1.298,0.0,5.09
1729951436.47,20.8,1.065,0.0,7.37
1729951436.57,19.2,1.0,0.0,5.37
1729951436.67,20.8,1.18,0.0,5.22
1729951436.77,19.2,1.175,0.0,7.44
1729951436.87,20.8,1.355,0.0,4.9
1729951436.97,19.2,1.16,0.0,7.43
1729951437.07,20.8,0.898,0.0,5.19
1729951437.17,19.2,1.202,0.0,4.62
1729951437.27,20.8,1.215,0.0,6.61
