Time,Bitrate,Jitter,Datagrams
1729950878.56,41.5,0.839,0.0
1729950878.66,40.0,1.019,0.0
1729950878.76,40.0,0.972,0.0
1729950878.86,40.0,1.000,0.0
1729950878.96,40.0,0.951,0.0
1729950879.06,40.0,1.172,0.0
1729950879.16,40.0,1.003,0.0
1729950879.26,40.0,1.086,0.0
1729950879.36,40.0,1.202,0.0
1729950879.46,40.1,1.012,0.0
1729950879.56,38.4,1.082,0.0
1729950879.66,41.6,1.148,0.0
1729950879.76,38.4,1.168,0.0
1729950879.86,41.6,1.119,0.0
1729950879.96,38.4,0.964,0.0
1729950880.06,41.6,1.111,0.0
1729950880.16,40.0,1.130,0.0
1729950880.26,40.0,1.150,0.0
1729950880.36,40.0,1.020,0.0
1729950880.46,40.0,0.851,0.0
1729950880.56,40.0,1.111,0.0
1729950880.66,40.0,1.090,0.0
1729950880.76,36.8,1.089,0.0
1729950880.86,41.6,1.022,0.0
1729950880.96,40.0,1.009,0.0
1729950881.06,40.0,1.051,0.0
1729950881.16,38.4,1.148,0.0
1729950881.26,40.0,1.191,0.0
1729950881.36,40.0,1.223,0.0
1729950881.46,40.0,1.180,0.0
1729950881.56,40.0,1.049,0.0
1729950881.66,40.0,0.759,0.0
1729950881.76,40.0,0.805,0.0
1729950881.86,41.7,0.759,0.0
1729950881.96,40.0,0.947,0.0
1729950882.06,41.6,0.801,0.0
1729950882.16,40.0,0.854,0.0
1729950882.26,40.0,0.913,0.0
1729950882.36,40.0,0.982,0.0
1729950882.46,40.0,0.999,0.0
1729950882.56,40.0,0.799,0.0
1729950882.66,39.7,0.797,0.0
1729950882.76,38.7,0.813,0.0
1729950882.86,41.6,0.983,0.0
1729950882.96,38.5,0.913,0.0
1729950883.06,40.0,0.873,0.0
1729950883.16,41.6,0.798,0.0
1729950883.26,40.0,0.843,0.0
1729950883.36,40.0,1.072,0.0
1729950883.46,40.0,0.978,0.0
1729950883.56,38.4,0.908,0.0
1729950883.66,40.0,0.916,0.0
1729950883.76,41.5,0.923,0.0
1729950883.86,40.1,1.096,0.0
1729950883.96,39.9,0.933,0.0
1729950884.06,40.0,1.033,0.0
1729950884.16,40.0,1.083,0.0
1729950884.26,40.0,1.092,0.0
1729950884.36,40.0,1.406,0.0
1729950884.46,40.0,1.059,0.0
1729950884.56,40.0,1.025,0.0
1729950884.66,40.0,1.182,0.0
1729950884.76,40.0,1.189,0.0
1729950884.86,38.4,1.431,0.0
1729950884.96,41.6,1.248,0.0
1729950885.06,40.0,1.096,0.0
1729950885.16,38.4,1.042,0.0
1729950885.26,41.6,1.149,0.0
1729950885.36,38.4,1.204,0.0
1729950885.46,40.0,1.149,0.0
1729950885.56,40.0,0.922,0.0
1729950885.66,38.4,1.032,0.0
1729950885.76,40.0,1.137,0.0
1729950885.86,40.0,1.424,0.0
1729950885.96,40.0,0.667,0.0
1729950886.06,40.0,0.569,0.0
1729950886.16,41.6,0.570,0.0
1729950886.26,40.0,0.659,0.0
1729950886.36,40.0,0.975,0.0
1729950886.46,41.6,0.708,0.0
1729950886.56,40.0,0.589,0.0
1729950886.66,40.0,0.769,0.0
1729950886.76,40.0,0.666,0.0
1729950886.86,40.0,0.724,0.0
1729950886.96,40.0,0.662,0.0
1729950887.06,40.0,0.617,0.0
1729950887.16,40.1,0.970,0.0
1729950887.26,40.0,0.730,0.0
1729950887.36,40.0,0.757,0.0
1729950887.46,40.0,0.777,0.0
1729950887.56,40.1,0.835,0.0
1729950887.66,40.0,0.879,0.0
1729950887.76,40.0,0.863,0.0
1729950887.86,40.0,0.702,0.0
1729950887.96,40.0,0.931,0.0
1729950888.06,40.0,0.754,0.0
1729950888.16,40.0,0.906,0.0
1729950888.26,40.0,0.900,0.0
1729950888.36,40.0,0.972,0.0
1729950888.46,40.0,1.056,0.0
1729950888.56,40.0,1.151,0.0
1729950888.66,40.0,0.861,0.0
1729950888.76,40.0,0.945,0.0
1729950888.86,40.0,0.959,0.0
1729950888.96,38.4,1.260,0.0
1729950889.06,41.6,1.330,0.0
1729950889.16,40.0,1.204,0.0
1729950889.26,40.0,1.327,0.0
1729950889.36,38.4,1.423,0.0
1729950889.46,41.6,1.240,0.0
1729950889.56,38.4,1.394,0.0
1729950889.66,41.6,1.066,0.0
1729950889.76,38.4,1.451,0.0
1729950889.86,40.0,1.377,0.0
1729950889.96,40.0,1.447,0.0
1729950890.06,38.4,1.408,0.0
