Time,Delay
1729951379.778,9.54
1729951379.868,1.63
1729951379.97,2.45
1729951380.071,2.49
1729951380.171,1.77
1729951380.272,2.63
1729951380.372,1.6
1729951380.475,2.77
1729951380.574,2.08
1729951380.674,2.0
1729951380.776,3.58
1729951380.876,2.71
1729951380.979,3.63
1729951381.079,3.43
1729951381.18,2.95
1729951381.282,4.41
1729951381.38,2.65
1729951381.483,4.27
1729951381.583,3.54
1729951381.683,3.77
1729951381.785,4.33
1729951381.885,2.91
1729951381.988,4.19
1729951382.086,2.81
1729951382.188,3.22
1729951382.288,3.33
1729951382.389,2.66
1729951382.49,3.79
1729951382.59,2.78
1729951382.691,2.52
1729951382.794,4.43
1729951382.892,1.94
1729951382.994,3.27
1729951383.093,1.57
1729951383.195,3.08
1729951383.296,4.77
1729951383.396,2.32
1729951383.496,2.91
1729951383.596,1.77
1729951383.699,3.0
1729951383.801,4.74
1729951383.9,2.39
1729951384.001,3.15
1729951384.1,2.45
1729951384.204,5.05
1729951384.303,2.6
1729951384.403,3.43
1729951384.508,7.27
1729951384.606,4.26
1729951384.709,6.46
1729951384.807,3.47
1729951384.907,4.04
1729951385.012,7.73
1729951385.11,6.02
1729951385.213,8.6
1729951385.313,7.18
1729951385.413,7.53
1729951385.517,10.6
1729951385.616,8.45
1729951385.716,7.93
1729951385.816,8.83
1729951385.918,8.86
1729951386.018,7.97
1729951386.113,1.93
1729951386.212,1.31
1729951386.314,1.97
1729951386.414,1.28
1729951386.517,4.01
1729951386.616,2.62
1729951386.716,1.85
1729951386.818,2.92
1729951386.919,2.81
1729951387.021,2.18
1729951387.12,2.51
1729951387.222,2.42
1729951387.323,2.6
1729951387.423,2.6
1729951387.524,1.95
1729951387.625,2.08
1729951387.725,2.46
1729951387.826,2.14
1729951387.927,2.19
1729951388.028,2.6
1729951388.127,1.77
1729951388.228,1.46
1729951388.33,1.47
1729951388.43,1.31
1729951388.53,0.881
1729951388.632,0.911
1729951388.732,0.989
1729951388.832,0.786
1729951388.937,1.9
1729951389.038,2.0
1729951389.138,1.55
1729951389.24,3.29
1729951389.339,1.09
1729951389.44,2.82
1729951389.541,1.87
1729951389.642,2.03
1729951389.743,2.92
1729951389.844,3.38
1729951389.944,2.68
1729951390.044,1.47
1729951390.147,3.97
1729951390.246,2.98
1729951390.347,3.31
1729951390.447,3.28
1729951390.548,3.22
1729951390.649,4.16
1729951390.751,5.6
1729951390.852,5.3
1729951390.952,5.06
1729951391.052,5.15
1729951391.154,6.31
1729951391.255,7.59
1729951391.357,7.57
1729951391.456,6.6
1729951391.557,7.25
1729951391.658,7.54
1729951391.758,6.31
1729951391.859,7.1
1729951391.962,10.4
1729951392.063,9.44
1729951392.155,1.23
1729951392.256,1.09
1729951392.356,1.36
1729951392.457,1.48
1729951392.558,1.22
1729951392.659,1.67
1729951392.76,2.06
1729951392.859,1.98
1729951392.963,5.35
1729951393.061,2.57
1729951393.163,3.62
1729951393.263,2.52
1729951393.364,2.36
1729951393.468,5.84
1729951393.565,2.11
1729951393.666,2.48
1729951393.767,2.31
1729951393.869,4.19
1729951393.968,2.62
1729951394.068,2.35
1729951394.168,2.14
1729951394.268,1.65
1729951394.372,3.72
1729951394.47,1.58
1729951394.572,1.79
1729951394.673,1.56
1729951394.774,1.92
1729951394.875,3.04
1729951394.978,5.16
1729951395.076,2.07
1729951395.176,2.65
1729951395.276,1.82
1729951395.378,2.76
1729951395.481,4.86
1729951395.579,2.0
1729951395.68,2.88
1729951395.781,2.19
1729951395.884,4.86
1729951395.986,5.46
1729951396.083,2.43
1729951396.185,3.01
1729951396.285,2.63
1729951396.391,7.61
1729951396.491,6.51
1729951396.589,4.26
1729951396.691,5.35
1729951396.791,4.91
1729951396.894,7.79
1729951396.996,7.69
1729951397.093,4.65
1729951397.196,6.09
1729951397.296,6.61
1729951397.398,7.51
1729951397.498,7.55
1729951397.599,6.94
1729951397.699,7.17
1729951397.801,7.75
1729951397.902,8.61
1729951398.004,9.26
1729951398.101,7.11
1729951398.197,1.52
1729951398.298,2.02
1729951398.398,1.88
1729951398.498,1.23
1729951398.599,2.13
1729951398.7,1.27
1729951398.801,2.68
1729951398.901,1.48
1729951399.002,2.15
1729951399.101,1.83
1729951399.203,2.04
1729951399.303,2.54
1729951399.403,1.53
1729951399.504,2.39
1729951399.604,0.977
1729951399.706,2.2
1729951399.805,1.12
1729951399.906,1.47
1729951400.007,1.91
1729951400.106,1.16
1729951400.207,1.64
1729951400.307,0.957
1729951400.409,2.2
1729951400.508,1.05
1729951400.609,2.04
1729951400.709,1.27
1729951400.81,1.99
1729951400.91,1.89
1729951401.011,1.58
1729951401.112,2.65
1729951401.211,1.32
1729951401.313,2.19
1729951401.413,1.52
1729951401.514,1.4
1729951401.618,5.74
1729951401.715,1.31
1729951401.817,2.44
1729951401.917,2.25
1729951402.019,3.44
1729951402.12,3.85
1729951402.22,2.93
1729951402.322,4.61
1729951402.423,4.81
1729951402.525,5.94
1729951402.625,5.6
1729951402.726,5.01
1729951402.827,6.36
1729951402.929,7.53
1729951403.032,8.45
1729951403.132,8.36
1729951403.232,8.34
1729951403.332,7.76
1729951403.433,7.1
1729951403.535,8.44
1729951403.636,9.16
1729951403.738,9.64
1729951403.835,6.9
1729951403.931,0.924
1729951404.031,1.05
1729951404.132,1.22
1729951404.232,1.26
1729951404.332,0.796
1729951404.437,2.07
1729951404.538,1.72
1729951404.638,1.91
1729951404.739,1.5
1729951404.842,4.07
1729951404.94,1.96
1729951405.04,2.17
1729951405.141,1.91
1729951405.242,1.56
1729951405.346,4.37
1729951405.444,1.57
1729951405.545,2.72
1729951405.646,1.7
1729951405.746,1.62
1729951405.85,3.94
1729951405.949,3.91
1729951406.05,2.88
1729951406.15,2.26
1729951406.253,4.02
1729951406.351,3.02
1729951406.453,4.28
1729951406.552,3.08
1729951406.652,1.95
1729951406.754,3.33
1729951406.852,1.73
1729951406.953,1.57
1729951407.055,2.67
1729951407.156,1.85
1729951407.258,3.43
1729951407.359,3.78
1729951407.459,2.46
1729951407.56,3.59
1729951407.661,3.26
1729951407.762,3.64
1729951407.862,2.88
1729951407.963,2.76
1729951408.066,4.84
1729951408.17,7.93
1729951408.27,7.47
1729951408.368,4.99
1729951408.467,4.09
1729951408.57,6.29
1729951408.669,4.86
1729951408.773,8.25
1729951408.872,5.83
1729951408.975,7.51
1729951409.075,7.8
