Time,Delay
1729950878.6,8.47
1729950878.695,4.67
1729950878.794,3.42
1729950878.896,4.77
1729950878.997,5.05
1729950879.096,3.88
1729950879.197,3.48
1729950879.296,2.38
1729950879.399,4.31
1729950879.499,4.11
1729950879.6,4.12
1729950879.7,3.79
1729950879.8,3.49
1729950879.902,4.7
1729950880.0,2.43
1729950880.102,3.17
1729950880.202,2.17
1729950880.303,2.5
1729950880.405,3.5
1729950880.503,1.72
1729950880.605,2.19
1729950880.705,2.12
1729950880.806,2.68
1729950880.911,7.01
1729950881.007,2.8
1729950881.108,2.39
1729950881.208,2.59
1729950881.313,5.93
1729950881.417,10.2
1729950881.515,7.56
1729950881.613,5.2
1729950881.713,4.85
1729950881.82,9.68
1729950881.919,8.63
1729950882.02,9.06
1729950882.12,8.61
1729950882.224,11.7
1729950882.325,11.4
1729950882.428,13.8
1729950882.529,14.1
1729950882.629,13.5
1729950882.731,15.5
1729950882.828,10.4
1729950882.92,1.45
1729950883.023,3.52
1729950883.123,3.42
1729950883.224,2.88
1729950883.325,3.23
1729950883.424,1.64
1729950883.525,2.58
1729950883.626,2.34
1729950883.726,2.2
1729950883.827,3.33
1729950883.926,1.88
1729950884.028,2.34
1729950884.128,1.52
1729950884.23,3.11
1729950884.331,3.19
1729950884.432,2.85
1729950884.533,3.56
1729950884.633,1.95
1729950884.734,3.2
1729950884.833,1.92
1729950884.935,2.98
1729950885.035,3.06
1729950885.135,2.24
1729950885.237,3.12
1729950885.336,1.83
1729950885.44,5.28
1729950885.538,2.13
1729950885.638,2.55
1729950885.74,2.51
1729950885.844,5.96
1729950885.94,2.11
1729950886.041,1.89
1729950886.142,2.38
1729950886.242,2.72
1729950886.344,2.81
1729950886.444,2.09
1729950886.544,1.69
1729950886.646,2.88
1729950886.747,2.99
1729950886.848,4.32
1729950886.947,2.83
1729950887.048,2.01
1729950887.15,3.47
1729950887.256,9.14
1729950887.353,5.82
1729950887.458,9.44
1729950887.558,8.52
1729950887.658,7.3
1729950887.756,5.19
1729950887.863,10.9
1729950887.962,9.58
1729950888.062,8.83
1729950888.162,8.9
1729950888.262,9.39
1729950888.368,14.5
1729950888.466,10.4
1729950888.569,12.9
1729950888.67,13.4
1729950888.766,9.54
1729950888.874,15.4
1729950888.96,1.63
1729950889.061,2.34
1729950889.161,2.15
1729950889.262,2.45
1729950889.368,6.22
1729950889.464,1.71
1729950889.566,2.54
1729950889.666,2.21
1729950889.767,2.42
1729950889.872,7.31
1729950889.967,1.54
1729950890.07,2.52
1729950890.171,3.15
1729950890.271,3.01
1729950890.373,4.35
1729950890.472,2.38
1729950890.574,3.59
1729950890.673,1.58
1729950890.777,5.3
1729950890.876,3.01
1729950890.975,1.91
1729950891.077,3.16
1729950891.176,1.84
1729950891.279,4.17
1729950891.378,2.26
1729950891.478,2.51
1729950891.58,2.77
1729950891.679,1.46
1729950891.784,4.95
1729950891.88,1.58
1729950891.982,2.47
1729950892.084,3.3
1729950892.184,3.36
1729950892.287,5.64
1729950892.384,1.71
1729950892.486,2.36
1729950892.587,2.71
1729950892.695,8.81
1729950892.795,7.86
1729950892.89,2.89
1729950892.993,5.51
1729950893.096,7.56
1729950893.212,22.6
1729950893.302,11.4
1729950893.401,10.6
1729950893.502,11.0
1729950893.6,8.24
1729950893.708,15.6
1729950893.801,7.19
1729950893.899,5.5
1729950894.015,20.1
1729950894.103,9.42
1729950894.21,15.6
1729950894.305,10.1
1729950894.407,10.6
1729950894.507,10.4
1729950894.615,17.6
1729950894.714,14.9
1729950894.809,9.88
1729950894.902,2.47
1729950895.003,2.95
1729950895.102,2.59
1729950895.207,5.96
1729950895.303,2.16
1729950895.403,2.18
1729950895.507,5.33
1729950895.608,5.06
1729950895.704,1.78
1729950895.806,2.54
1729950895.907,2.85
1729950896.017,10.8
1729950896.108,2.16
1729950896.219,11.7
1729950896.312,3.13
1729950896.413,4.14
1729950896.521,11.2
1729950896.613,3.32
1729950896.713,2.44
1729950896.815,3.44
1729950896.914,2.68
1729950897.025,12.0
1729950897.116,2.86
1729950897.216,1.89
1729950897.319,3.6
1729950897.42,4.68
1729950897.52,3.83
1729950897.619,2.07
1729950897.719,1.52
1729950897.824,4.83
1729950897.922,2.15
1729950898.025,4.13
1729950898.124,3.32
1729950898.223,2.04
1729950898.33,7.98
1729950898.425,3.38
1729950898.53,8.07
1729950898.627,4.33
1729950898.729,5.21
1729950898.835,12.0
1729950898.932,8.1
1729950899.036,11.7
1729950899.135,10.3
1729950899.238,12.9
1729950899.342,15.8
1729950899.44,14.1
1729950899.543,15.9
1729950899.639,10.7
1729950899.739,10.0
1729950899.84,11.5
1729950899.938,8.23
1729950900.042,11.0
1729950900.141,10.3
1729950900.243,12.3
1729950900.346,13.6
1729950900.446,13.3
1729950900.548,14.1
1729950900.641,8.02
1729950900.738,3.67
1729950900.839,4.08
1729950900.939,3.58
1729950901.041,4.91
1729950901.139,3.07
1729950901.24,3.54
1729950901.341,3.55
1729950901.441,2.74
1729950901.544,4.44
1729950901.643,2.98
1729950901.744,4.11
1729950901.844,3.65
1729950901.945,3.27
1729950902.047,5.35
1729950902.148,5.06
1729950902.247,4.95
1729950902.349,6.11
1729950902.448,5.0
1729950902.549,5.76
1729950902.649,3.86
1729950902.752,5.26
1729950902.85,3.36
1729950902.953,5.8
1729950903.052,4.03
1729950903.154,4.74
1729950903.255,4.84
1729950903.354,4.22
1729950903.456,5.27
1729950903.555,3.77
1729950903.657,4.6
1729950903.758,4.29
1729950903.859,5.59
1729950903.96,4.9
1729950904.059,3.17
1729950904.162,5.7
1729950904.262,4.99
1729950904.371,13.4
1729950904.466,8.26
1729950904.568,9.51
1729950904.671,11.7
1729950904.77,9.19
1729950904.876,15.0
1729950904.973,12.5
1729950905.075,13.1
1729950905.178,14.5
1729950905.282,18.8
1729950905.38,15.7
1729950905.48,13.8
1729950905.579,12.2
1729950905.68,12.1
1729950905.781,13.1
1729950905.88,12.0
1729950905.98,11.7
1729950906.081,11.6
1729950906.183,12.0
1729950906.285,13.9
1729950906.386,14.3
1729950906.482,10.8
1729950906.585,12.2
1729950906.684,10.5
1729950906.786,12.0
1729950906.879,5.03
1729950906.979,4.99
1729950907.08,5.42
1729950907.181,6.26
1729950907.285,9.14
1729950907.383,7.12
1729950907.483,6.25
1729950907.584,7.27
1729950907.685,8.05
1729950907.789,10.9
1729950907.884,6.31
1729950907.986,7.14
1729950908.088,8.95
1729950908.189,9.28
1729950908.293,12.6
1729950908.387,6.65
1729950908.489,7.07
1729950908.59,7.56
1729950908.695,12.2
1729950908.792,8.24
1729950908.891,7.28
1729950908.993,8.23
1729950909.094,9.26
1729950909.194,9.01
1729950909.295,8.99
1729950909.395,9.22
1729950909.497,10.4
1729950909.599,11.9
1729950909.698,9.47
1729950909.801,12.1
1729950909.898,9.21
1729950910.0,10.2
1729950910.105,14.6
1729950910.204,12.9
1729950910.308,15.3
1729950910.405,12.9
1729950910.508,15.2
1729950910.611,17.2
1729950910.711,16.8
1729950910.814,18.7
1729950910.912,16.1
1729950911.015,18.1
1729950911.118,21.2
1729950911.219,22.0
1729950911.324,26.6
1729950911.418,20.9
1729950911.517,19.0
1729950911.617,19.1
1729950911.717,18.0
1729950911.817,18.1
1729950911.916,16.2
1729950912.017,16.3
1729950912.118,17.7
1729950912.224,21.6
1729950912.319,16.5
1729950912.418,14.0
1729950912.515,11.0
1729950912.616,11.9
1729950912.719,14.7
1729950912.818,12.0
1729950912.918,11.9
1729950913.018,10.7
1729950913.119,10.9
1729950913.226,17.8
1729950913.321,11.5
1729950913.422,11.8
1729950913.521,9.89
1729950913.624,11.9
1729950913.73,17.5
1729950913.825,11.3
1729950913.924,9.69
1729950914.026,10.5
1729950914.126,9.75
1729950914.235,17.6
1729950914.328,10.5
1729950914.428,9.58
1729950914.53,10.7
1729950914.63,10.1
1729950914.737,16.7
1729950914.834,12.3
1729950914.934,11.6
1729950915.034,10.8
1729950915.134,10.1
1729950915.24,15.7
1729950915.337,11.5
1729950915.436,9.96
1729950915.538,10.2
1729950915.638,9.94
1729950915.746,17.1
1729950915.839,9.98
1729950915.939,10.6
1729950916.042,11.6
1729950916.145,13.8
1729950916.25,17.4
1729950916.348,15.1
1729950916.448,14.0
1729950916.549,15.2
1729950916.656,21.2
1729950916.753,18.4
1729950916.855,19.6
1729950916.954,17.3
1729950917.056,18.6
1729950917.162,25.0
1729950917.265,26.9
1729950917.359,21.6
1729950917.458,18.6
1729950917.56,19.5
1729950917.658,16.9
1729950917.762,20.6
1729950917.859,16.6
1729950917.957,15.1
1729950918.06,17.1
1729950918.16,16.3
1729950918.26,16.1
1729950918.359,14.2
1729950918.459,14.6
1729950918.563,18.1
