1729950878.241053873: PING 192.168.6.21 (192.168.6.21) 56(84) bytes of data.
1729950878.245441584: 64 bytes from 192.168.6.21: icmp_seq=1 ttl=64 time=31.5 ms
1729950878.310483066: 64 bytes from 192.168.6.21: icmp_seq=2 ttl=64 time=0.803 ms
1729950878.421549228: 64 bytes from 192.168.6.21: icmp_seq=3 ttl=64 time=6.13 ms
1729950878.518518672: 64 bytes from 192.168.6.21: icmp_seq=4 ttl=64 time=2.94 ms
1729950878.618187099: 64 bytes from 192.168.6.21: icmp_seq=5 ttl=64 time=1.59 ms
1729950878.717252210: 64 bytes from 192.168.6.21: icmp_seq=6 ttl=64 time=1.23 ms
1729950878.818564519: 64 bytes from 192.168.6.21: icmp_seq=7 ttl=64 time=1.60 ms
1729950878.918806644: 64 bytes from 192.168.6.21: icmp_seq=8 ttl=64 time=1.48 ms
1729950879.018781554: 64 bytes from 192.168.6.21: icmp_seq=9 ttl=64 time=0.949 ms
1729950879.119098974: 64 bytes from 192.168.6.21: icmp_seq=10 ttl=64 time=0.833 ms
1729950879.223826700: 64 bytes from 192.168.6.21: icmp_seq=11 ttl=64 time=0.772 ms
1729950879.327435416: 64 bytes from 192.168.6.21: icmp_seq=12 ttl=64 time=0.966 ms
1729950879.428298268: 64 bytes from 192.168.6.21: icmp_seq=13 ttl=64 time=1.34 ms
1729950879.528490126: 64 bytes from 192.168.6.21: icmp_seq=14 ttl=64 time=0.923 ms
1729950879.632269071: 64 bytes from 192.168.6.21: icmp_seq=15 ttl=64 time=1.20 ms
1729950879.732847995: 64 bytes from 192.168.6.21: icmp_seq=16 ttl=64 time=1.44 ms
1729950879.833151552: 64 bytes from 192.168.6.21: icmp_seq=17 ttl=64 time=1.18 ms
1729950879.932971831: 64 bytes from 192.168.6.21: icmp_seq=18 ttl=64 time=1.15 ms
1729950880.034586951: 64 bytes from 192.168.6.21: icmp_seq=19 ttl=64 time=1.66 ms
1729950880.134739978: 64 bytes from 192.168.6.21: icmp_seq=20 ttl=64 time=1.18 ms
1729950880.238246319: 64 bytes from 192.168.6.21: icmp_seq=21 ttl=64 time=3.99 ms
1729950880.335516177: 64 bytes from 192.168.6.21: icmp_seq=22 ttl=64 time=0.885 ms
