['time', 'x', 'y', 'z']
['1728989150.77', '7000.5', '9000.0', '0.0']
['1728989152.77', '7007.16666667', '9006.66666667', '0.0']
['1728989154.78', '7013.83333333', '9013.33333333', '0.0']
['1728989156.78', '7020.5', '9020.0', '0.0']
['1728989158.78', '7027.16666667', '9026.66666667', '0.0']
['1728989160.78', '7033.83333333', '9033.33333333', '0.0']
['1728989162.78', '7040.5', '9040.0', '0.0']
['1728989164.78', '7047.16666667', '9046.66666667', '0.0']
['1728989166.78', '7053.83333333', '9053.33333333', '0.0']
['1728989168.78', '7060.5', '9060.0', '0.0']
['1728989170.78', '7067.16666667', '9066.66666667', '0.0']
['1728989172.79', '7073.83333333', '9073.33333333', '0.0']
['1728989174.79', '7080.5', '9080.0', '0.0']
['1728989176.79', '7087.16666667', '9086.66666667', '0.0']
['1728989178.79', '7093.83333333', '9093.33333333', '0.0']
['1728989180.79', '7100.5', '9100.0', '0.0']
['1728989182.79', '7107.16666667', '9106.66666667', '0.0']
['1728989184.8', '7113.83333333', '9113.33333333', '0.0']
['1728989186.8', '7120.5', '9120.0', '0.0']
['1728989188.8', '7127.16666667', '9126.66666667', '0.0']
['1728989190.8', '7133.83333333', '9133.33333333', '0.0']
['1728989192.8', '7140.5', '9140.0', '0.0']
['1728989194.8', '7147.16666667', '9146.66666667', '0.0']
['1728989196.81', '7153.83333333', '9153.33333333', '0.0']
['1728989198.81', '7160.5', '9160.0', '0.0']
['1728989200.81', '7167.16666667', '9166.66666667', '0.0']
['1728989202.82', '7173.83333333', '9173.33333333', '0.0']
['1728989204.82', '7180.5', '9180.0', '0.0']
['1728989206.82', '7187.16666667', '9186.66666667', '0.0']
['1728989208.82', '7193.83333333', '9193.33333333', '0.0']
['1728989210.82', '7200.5', '9200.0', '0.0']
['1728989212.82', '7207.16666667', '9206.66666667', '0.0']
['1728989214.82', '7213.83333333', '9213.33333333', '0.0']
['1728989216.82', '7220.5', '9220.0', '0.0']
['1728989218.83', '7227.16666667', '9226.66666667', '0.0']
['1728989220.83', '7233.83333333', '9233.33333333', '0.0']
['1728989222.83', '7240.5', '9240.0', '0.0']
['1728989224.83', '7247.16666667', '9246.66666667', '0.0']
['1728989226.83', '7253.83333333', '9253.33333333', '0.0']
['1728989228.83', '7260.5', '9260.0', '0.0']
['1728989230.83', '7267.16666667', '9266.66666667', '0.0']
['1728989232.84', '7273.83333333', '9273.33333333', '0.0']
['1728989234.84', '7280.5', '9280.0', '0.0']
['1728989236.84', '7287.16666667', '9286.66666667', '0.0']
['1728989238.84', '7293.83333333', '9293.33333333', '0.0']
['1728989240.84', '7300.5', '9300.0', '0.0']
['1728989242.85', '7307.16666667', '9306.66666667', '0.0']
['1728989244.85', '7313.83333333', '9313.33333333', '0.0']
['1728989246.85', '7320.5', '9320.0', '0.0']
['1728989248.85', '7327.16666667', '9326.66666667', '0.0']
['1728989250.85', '7333.83333333', '9333.33333333', '0.0']
['1728989252.86', '7340.5', '9340.0', '0.0']
['1728989254.86', '7347.16666667', '9346.66666667', '0.0']
['1728989256.86', '7353.83333333', '9353.33333333', '0.0']
['1728989258.87', '7360.5', '9360.0', '0.0']
['1728989260.87', '7367.16666667', '9366.66666667', '0.0']
['1728989262.87', '7373.83333333', '9373.33333333', '0.0']
['1728989264.87', '7380.5', '9380.0', '0.0']
['1728989266.87', '7387.16666667', '9386.66666667', '0.0']
['1728989268.87', '7393.83333333', '9393.33333333', '0.0']
['1728989270.87', '7400.5', '9400.0', '0.0']
['1728989272.88', '7407.16666667', '9406.66666667', '0.0']
['1728989274.88', '7413.83333333', '9413.33333333', '0.0']
['1728989276.88', '7420.5', '9420.0', '0.0']
['1728989278.88', '7427.16666667', '9426.66666667', '0.0']
['1728989280.88', '7433.83333333', '9433.33333333', '0.0']
['1728989282.88', '7440.5', '9440.0', '0.0']
['1728989284.89', '7447.16666667', '9446.66666667', '0.0']
['1728989286.89', '7453.83333333', '9453.33333333', '0.0']
['1728989288.89', '7460.5', '9460.0', '0.0']
['1728989290.89', '7467.16666667', '9466.66666667', '0.0']
['1728989292.89', '7473.83333333', '9473.33333333', '0.0']
['1728989294.9', '7480.5', '9480.0', '0.0']
['1728989296.9', '7487.16666667', '9486.66666667', '0.0']
['1728989298.9', '7493.83333333', '9493.33333333', '0.0']
['1728989300.9', '7500.5', '9500.0', '0.0']
['1728989302.9', '7507.16666667', '9506.66666667', '0.0']
['1728989304.91', '7513.83333333', '9513.33333333', '0.0']
['1728989306.91', '7520.5', '9520.0', '0.0']
['1728989308.91', '7527.16666667', '9526.66666667', '0.0']
['1728989310.91', '7533.83333333', '9533.33333333', '0.0']
['1728989312.92', '7540.5', '9540.0', '0.0']
['1728989314.92', '7547.16666667', '9546.66666667', '0.0']
['1728989316.92', '7553.83333333', '9553.33333333', '0.0']
['1728989318.92', '7560.5', '9560.0', '0.0']
['1728989320.92', '7567.16666667', '9566.66666667', '0.0']
['1728989322.92', '7573.83333333', '9573.33333333', '0.0']
['1728989324.92', '7580.5', '9580.0', '0.0']
['1728989326.93', '7587.16666667', '9586.66666667', '0.0']
['1728989328.93', '7593.83333333', '9593.33333333', '0.0']
['1728989330.93', '7600.5', '9600.0', '0.0']
['1728989332.93', '7607.16666667', '9606.66666667', '0.0']
['1728989334.93', '7613.83333333', '9613.33333333', '0.0']
['1728989336.93', '7620.5', '9620.0', '0.0']
['1728989338.93', '7627.16666667', '9626.66666667', '0.0']
['1728989340.93', '7633.83333333', '9633.33333333', '0.0']
['1728989342.94', '7640.5', '9640.0', '0.0']
['1728989344.94', '7647.16666667', '9646.66666667', '0.0']
['1728989346.94', '7653.83333333', '9653.33333333', '0.0']
['1728989348.94', '7660.5', '9660.0', '0.0']
['1728989350.94', '7667.16666667', '9666.66666667', '0.0']
['1728989352.94', '7673.83333333', '9673.33333333', '0.0']
['1728989354.95', '7680.5', '9680.0', '0.0']
['1728989356.95', '7687.16666667', '9686.66666667', '0.0']
['1728989358.95', '7693.83333333', '9693.33333333', '0.0']
['1728989360.95', '7700.5', '9700.0', '0.0']
['1728989362.96', '7707.16666667', '9706.66666667', '0.0']
['1728989364.96', '7713.83333333', '9713.33333333', '0.0']
['1728989366.96', '7720.5', '9720.0', '0.0']
['1728989368.96', '7727.16666667', '9726.66666667', '0.0']
['1728989370.96', '7733.83333333', '9733.33333333', '0.0']
['1728989372.96', '7740.5', '9740.0', '0.0']
['1728989374.96', '7747.16666667', '9746.66666667', '0.0']
['1728989376.96', '7753.83333333', '9753.33333333', '0.0']
['1728989378.97', '7760.5', '9760.0', '0.0']
