Time,F1S1Bitrate,F1S1Jitter,F1S1Datagrams,F1S1Delay,F1F4Bitrate,F1F4Jitter,F1F4Datagrams,F1F4Delay,F1F2Bitrate,F1F2Jitter,F1F2Datagrams,F1F2Delay,F1C1Bitrate,F1C1Jitter,F1C1Datagrams,F1C1Delay
1729950879.56,41.6,0.949,0.0,0.923,20.8,1.075,0.0,2.44,19.2,0.734,0.0,5.78,8.0,1.153,0.0,2.02
1729950879.66,38.4,0.816,0.0,1.2,20.8,0.876,0.0,2.52,19.2,0.795,0.0,2.83,6.4,1.273,0.0,2.14
1729950879.76,40.0,0.746,0.0,1.44,19.2,0.805,0.0,1.74,20.8,0.866,0.0,3.68,8.0,1.524,0.0,0.906
1729950879.86,40.0,0.731,0.0,1.18,20.8,0.876,0.0,1.46,20.8,0.92,0.0,2.75,8.0,1.526,0.0,1.13
1729950879.96,40.0,0.844,0.0,1.15,19.2,0.87,0.0,1.18,19.2,0.809,0.0,2.99,8.0,1.249,0.0,1.01
1729950880.06,40.0,0.876,0.0,1.66,19.2,0.978,0.0,1.8,19.2,0.742,0.0,4.32,7.99,1.129,0.0,0.948
1729950880.16,40.0,0.826,0.0,1.18,20.8,0.829,0.0,2.17,19.2,0.893,0.0,3.0,8.0,1.005,0.0,0.885
1729950880.26,38.4,0.425,0.0,3.99,20.8,0.713,0.0,1.84,19.2,0.869,0.0,3.05,8.0,0.988,0.0,0.947
1729950880.36,41.7,0.502,0.0,0.885,19.2,0.591,0.0,1.56,20.8,0.769,0.0,3.39,8.0,0.964,0.0,1.35
1729950880.46,40.0,0.417,0.0,1.28,19.2,0.586,0.0,1.28,19.2,0.645,0.0,5.51,8.0,1.026,0.0,0.869
1729950880.56,41.6,0.46,0.0,1.88,20.8,0.761,0.0,1.0,20.8,0.671,0.0,3.72,8.0,1.129,0.0,0.95
1729950880.66,40.0,0.381,0.0,1.26,20.8,0.683,0.0,2.2,19.2,0.838,0.0,4.41,9.6,1.297,0.0,1.03
1729950880.76,40.0,0.446,0.0,1.78,19.2,0.67,0.0,1.92,20.8,0.813,0.0,4.88,8.0,1.315,0.0,1.44
1729950880.86,38.4,0.626,0.0,1.86,19.2,0.605,0.0,1.89,19.2,0.768,0.0,4.75,6.39,1.343,0.0,0.789
1729950880.96,41.6,0.374,0.0,0.752,20.8,0.629,0.0,3.61,20.8,0.76,0.0,8.37,9.61,1.202,0.0,0.747
1729950881.06,38.4,0.454,0.0,1.64,19.2,0.78,0.0,1.01,19.2,0.716,0.0,6.25,8.0,1.203,0.0,2.74
1729950881.16,40.0,0.454,0.0,0.906,20.8,0.791,0.0,1.6,20.8,0.863,0.0,6.26,6.4,1.35,0.0,0.852
1729950881.26,38.4,0.554,0.0,1.59,20.8,0.846,0.0,1.46,19.2,0.968,0.0,7.4,8.0,1.39,0.0,1.94
1729950881.36,40.0,0.718,0.0,0.761,19.2,0.784,0.0,3.39,20.8,0.986,0.0,8.24,8.0,1.489,0.0,1.1
