Time,F1F4Bitrate,F1F4Jitter,F1F4Datagrams,F1F4Delay,F1S1Bitrate,F1S1Jitter,F1S1Datagrams,F1S1Delay,F1F2Bitrate,F1F2Jitter,F1F2Datagrams,F1F2Delay,F1C1Bitrate,F1C1Jitter,F1C1Datagrams,F1C1Delay
1729951380.77,20.8,1.008,0.0,3.25,40.0,0.613,0.0,1.2,19.2,1.114,0.0,1.59,7.99,1.073,0.0,6.19
1729951380.87,19.2,0.976,0.0,1.85,40.0,0.521,0.0,1.15,20.8,1.054,0.0,1.02,8.0,1.146,0.0,3.65
1729951380.97,20.8,0.881,0.0,0.721,40.0,0.578,0.0,1.21,19.2,0.938,0.0,0.746,8.01,1.142,0.0,4.68
1729951381.07,19.2,0.937,0.0,0.876,38.4,0.562,0.0,1.25,20.8,0.905,0.0,1.16,7.99,1.278,0.0,5.63
1729951381.17,19.2,1.083,0.0,1.03,41.6,0.615,0.0,1.7,19.2,1.013,0.0,0.841,8.01,1.319,0.0,4.92
1729951381.27,20.8,1.146,0.0,1.43,40.0,0.854,0.0,2.01,19.2,0.909,0.0,0.969,7.99,1.436,0.0,6.55
1729951381.37,19.2,1.041,0.0,1.39,40.0,0.615,0.0,1.8,20.7,0.811,0.0,1.37,8.0,1.508,0.0,5.68
1729951381.47,20.8,0.95,0.0,1.1,40.0,0.678,0.0,1.59,20.8,0.804,0.0,1.17,8.0,1.293,0.0,7.21
1729951381.57,19.2,0.884,0.0,1.66,38.4,0.602,0.0,2.15,19.2,0.779,0.0,0.986,7.98,1.322,0.0,8.56
1729951381.67,20.8,1.127,0.0,0.991,41.6,0.662,0.0,3.06,20.8,0.665,0.0,2.03,8.02,1.122,0.0,9.38
1729951381.77,19.2,1.066,0.0,1.85,38.4,0.713,0.0,1.64,19.2,0.78,0.0,0.984,8.0,1.351,0.0,1.45
1729951381.87,20.8,1.05,0.0,1.36,40.0,0.603,0.0,2.245,20.8,0.84,0.0,2.72,8.0,1.34,0.0,1.02
1729951381.97,19.2,0.941,0.0,1.15,40.0,0.787,0.0,2.85,19.2,0.854,0.0,2.44,8.0,1.559,0.0,1.25
1729951382.07,20.8,0.924,0.0,1.57,40.0,0.557,0.0,1.72,20.8,0.754,0.0,7.07,8.0,1.641,0.0,1.01
1729951382.17,19.2,0.992,0.0,0.936,41.6,0.739,0.0,2.9,19.2,0.71,0.0,3.79,8.01,1.891,0.0,1.02
1729951382.27,19.2,0.741,0.0,1.69,38.4,0.646,0.0,1.48,20.8,0.797,0.0,3.28,8.0,1.578,0.0,1.08
