Time,Bitrate,Jitter,Datagrams,Delay
1729950879.56,8.0,1.153,0.0,2.02
1729950879.66,6.4,1.273,0.0,2.14
1729950879.76,8.0,1.524,0.0,0.906
1729950879.86,8.0,1.526,0.0,1.13
1729950879.96,8.0,1.249,0.0,1.01
1729950880.06,7.99,1.129,0.0,NA
1729950880.16,8.0,1.005,0.0,0.885
1729950880.26,8.0,0.988,0.0,0.947
1729950880.36,8.0,0.964,0.0,1.35
1729950880.46,8.0,1.026,0.0,0.869
1729950880.56,8.0,1.129,0.0,NA
1729950880.66,9.6,1.297,0.0,1.03
1729950880.76,8.0,1.315,0.0,1.44
1729950880.86,6.39,1.343,0.0,0.789
1729950880.96,9.61,1.202,0.0,0.747
1729950881.06,8.0,1.203,0.0,2.74
1729950881.16,6.4,1.35,0.0,0.852
1729950881.26,8.0,1.39,0.0,1.94
1729950881.36,8.0,1.489,0.0,1.1
1729950881.46,8.0,1.642,0.0,2.23
1729950881.56,7.99,1.3,0.0,1.97
1729950881.66,8.0,1.185,0.0,1.57
1729950881.76,8.0,1.052,0.0,2.21
1729950881.86,8.0,1.07,0.0,1.6
1729950881.96,8.0,1.0,0.0,2.65
1729950882.06,9.6,0.976,0.0,2.15
1729950882.16,6.4,1.123,0.0,2.6
1729950882.26,7.99,1.414,0.0,2.33
1729950882.36,8.01,1.62,0.0,1.91
1729950882.46,9.6,1.35,0.0,2.38
1729950882.56,6.4,1.33,0.0,1.76
1729950882.66,9.6,1.257,0.0,2.59
1729950882.76,6.4,1.346,0.0,2.12
1729950882.86,9.6,1.265,0.0,1.76
1729950882.96,6.4,1.331,0.0,1.83
1729950883.06,9.6,1.401,0.0,1.05
1729950883.16,8.0,1.727,0.0,1.5
1729950883.26,6.4,1.456,0.0,1.89
1729950883.36,8.0,1.379,0.0,3.6
1729950883.46,9.6,1.287,0.0,1.25
1729950883.56,6.4,1.124,0.0,1.49
1729950883.66,9.6,1.109,0.0,1.79
1729950883.76,6.4,1.172,0.0,2.06
1729950883.86,9.6,1.438,0.0,3.57
1729950883.96,6.4,1.427,0.0,2.39
1729950884.06,9.6,1.379,0.0,1.26
1729950884.16,6.4,1.233,0.0,1.52
1729950884.26,8.0,1.07,0.0,2.15
1729950884.36,8.0,1.056,0.0,2.11
1729950884.46,8.0,1.06,0.0,1.45
1729950884.56,8.0,0.947,0.0,2.37
1729950884.66,8.0,0.999,0.0,2.24
1729950884.76,8.0,1.124,0.0,3.2
1729950884.86,8.0,1.529,0.0,1.94
1729950884.96,8.0,1.683,0.0,5.46
1729950885.06,9.6,1.254,0.0,2.3
1729950885.16,6.4,1.164,0.0,2.24
1729950885.26,8.0,1.1,0.0,4.18
1729950885.36,9.6,0.994,0.0,2.52
1729950885.46,8.0,1.129,0.0,5.04
1729950885.56,6.4,1.128,0.0,4.68
1729950885.66,9.6,1.291,0.0,4.82
1729950885.76,6.4,1.535,0.0,6.28
1729950885.86,9.6,1.557,0.0,6.54
1729950885.96,8.0,1.431,0.0,8.59
1729950886.06,8.0,1.349,0.0,8.76
1729950886.16,6.4,1.318,0.0,9.09
1729950886.26,9.6,1.286,0.0,1.73
1729950886.36,6.4,1.439,0.0,1.23
1729950886.46,9.6,1.499,0.0,2.14
1729950886.56,6.4,1.749,0.0,2.09
1729950886.66,9.6,1.378,0.0,1.96
1729950886.76,6.4,1.339,0.0,2.52
1729950886.86,9.6,1.267,0.0,1.33
1729950886.96,6.4,1.358,0.0,2.35
1729950887.06,9.6,1.373,0.0,0.845
1729950887.16,6.4,1.68,0.0,0.949
1729950887.26,8.0,1.676,0.0,1.79
1729950887.36,8.0,1.817,0.0,1.19
1729950887.46,9.6,1.958,0.0,2.42
1729950887.56,6.4,1.625,0.0,1.6
1729950887.66,8.0,1.486,0.0,1.46
1729950887.76,8.0,1.293,0.0,2.35
1729950887.86,8.0,1.268,0.0,1.28
1729950887.96,8.0,1.216,0.0,2.79
1729950888.06,8.0,1.263,0.0,1.98
1729950888.16,8.0,1.471,0.0,2.4
1729950888.26,8.0,1.64,0.0,1.25
1729950888.36,8.0,1.604,0.0,1.89
1729950888.46,8.0,1.372,0.0,1.76
1729950888.56,8.0,1.301,0.0,1.34
1729950888.66,8.0,1.228,0.0,2.07
1729950888.76,8.0,1.132,0.0,1.36
1729950888.86,8.0,1.145,0.0,1.4
1729950888.96,8.0,1.202,0.0,1.02
1729950889.06,8.0,1.326,0.0,0.746
1729950889.16,8.0,1.493,0.0,1.05
1729950889.26,9.6,1.319,0.0,1.55
1729950889.36,6.4,1.424,0.0,1.56
1729950889.46,9.6,1.262,0.0,1.79
1729950889.56,6.4,1.262,0.0,1.21
1729950889.66,8.0,1.274,0.0,0.721
1729950889.76,8.0,1.373,0.0,0.998
1729950889.86,9.6,1.564,0.0,1.43
1729950889.96,6.4,1.873,0.0,1.08
1729950890.06,8.0,2.109,0.0,2.5
1729950890.16,8.0,1.799,0.0,1.6
1729950890.26,9.6,1.675,0.0,0.741
1729950890.36,6.4,1.501,0.0,1.32
1729950890.46,9.6,1.59,0.0,1.07
1729950890.56,6.4,1.556,0.0,0.935
1729950890.66,9.6,1.624,0.0,0.843
1729950890.76,8.0,1.644,0.0,1.09
1729950890.86,8.0,1.916,0.0,0.801
1729950890.96,6.4,1.521,0.0,0.792
1729950891.06,8.0,1.135,0.0,NA
1729950891.16,8.0,1.003,0.0,NA
1729950891.26,8.0,0.908,0.0,2.69
1729950891.36,8.0,0.981,0.0,2.84
1729950891.46,8.0,1.14,0.0,3.69
1729950891.56,8.0,1.265,0.0,4.77
1729950891.66,8.0,1.64,0.0,3.42
1729950891.76,8.0,1.342,0.0,4.39
1729950891.86,8.0,1.203,0.0,4.22
1729950891.96,8.0,1.15,0.0,4.12
1729950892.06,8.0,1.111,0.0,6.06
1729950892.16,8.0,1.119,0.0,5.66
1729950892.26,8.0,1.059,0.0,4.7
1729950892.36,8.0,1.061,0.0,4.28
1729950892.46,8.0,1.256,0.0,4.12
1729950892.56,8.0,1.542,0.0,5.1
1729950892.66,8.0,1.418,0.0,6.46
1729950892.76,8.0,1.413,0.0,6.38
1729950892.86,8.0,1.565,0.0,5.35
1729950892.96,8.0,1.543,0.0,6.78
1729950893.06,8.0,1.827,0.0,8.76
1729950893.16,8.0,1.85,0.0,11.4
1729950893.26,8.0,1.888,0.0,10.5
1729950893.36,8.0,1.939,0.0,11.2
1729950893.46,8.0,2.018,0.0,12.2
1729950893.56,8.0,1.972,0.0,3.12
1729950893.66,8.0,1.65,0.0,9.82
1729950893.76,8.0,1.366,0.0,4.99
1729950893.86,9.6,1.559,0.0,3.54
1729950893.96,6.4,1.543,0.0,4.63
1729950894.06,9.6,1.64,0.0,3.68
1729950894.16,6.4,1.706,0.0,7.0
1729950894.26,8.0,1.781,0.0,3.19
1729950894.36,6.4,1.503,0.0,2.08
1729950894.46,9.6,1.366,0.0,2.23
1729950894.56,6.4,1.405,0.0,2.81
1729950894.66,9.6,1.195,0.0,3.56
