Time,Delay
1729951379.366,3.19
1729951379.497,11.8
1729951379.568,7.43
1729951379.663,1.64
1729951379.764,2.08
1729951379.864,1.05
1729951379.965,1.15
1729951380.065,1.0
1729951380.167,1.7
1729951380.267,1.02
1729951380.368,1.23
1729951380.468,1.24
1729951380.568,1.0
1729951380.668,0.861
1729951380.772,1.2
1729951380.873,1.15
1729951380.974,1.21
1729951381.074,1.25
1729951381.175,1.7
1729951381.276,2.01
1729951381.377,1.41
1729951381.478,1.59
1729951381.58,2.15
1729951381.681,3.06
1729951381.78,1.64
1729951381.882,2.56
1729951381.983,2.85
1729951382.082,1.72
1729951382.184,2.9
1729951382.283,1.48
1729951382.385,2.21
1729951382.486,2.01
1729951382.585,1.18
1729951382.686,1.31
1729951382.787,1.62
1729951382.888,2.35
1729951382.99,2.21
1729951383.089,1.8
1729951383.19,2.3
1729951383.291,1.62
1729951383.392,3.26
1729951383.492,1.83
1729951383.592,1.89
1729951383.693,1.72
1729951383.797,4.56
1729951383.896,2.89
1729951383.995,1.82
1729951384.098,2.73
1729951384.201,4.39
1729951384.299,2.41
1729951384.401,4.28
1729951384.501,3.64
1729951384.604,4.9
1729951384.705,6.19
1729951384.804,4.17
1729951384.905,4.46
1729951385.005,4.43
1729951385.106,6.49
1729951385.211,10.1
1729951385.308,7.53
1729951385.411,8.47
1729951385.513,11.0
1729951385.614,10.6
1729951385.711,6.96
1729951385.808,3.33
1729951385.906,2.04
1729951386.008,3.27
1729951386.107,1.86
1729951386.21,2.82
1729951386.311,2.81
1729951386.41,1.51
1729951386.514,4.68
1729951386.613,1.99
1729951386.714,3.06
1729951386.814,2.25
1729951386.914,2.91
1729951387.013,1.67
1729951387.114,1.18
1729951387.215,1.94
1729951387.314,0.924
1729951387.414,1.55
1729951387.515,1.14
1729951387.615,0.876
1729951387.722,3.4
1729951387.823,3.25
1729951387.923,2.94
1729951388.023,3.31
1729951388.123,1.91
1729951388.224,3.24
1729951388.324,1.77
1729951388.426,2.75
1729951388.526,2.15
1729951388.626,1.72
1729951388.728,2.63
1729951388.827,1.32
1729951388.929,2.54
1729951389.029,1.47
1729951389.13,1.62
1729951389.232,2.86
1729951389.331,1.0
1729951389.433,2.51
1729951389.532,1.76
1729951389.635,2.55
1729951389.735,2.23
1729951389.837,2.97
1729951389.936,2.62
1729951390.036,1.02
1729951390.14,4.61
1729951390.24,4.83
1729951390.341,3.5
1729951390.442,4.29
1729951390.541,3.05
1729951390.643,4.43
1729951390.745,6.09
1729951390.844,5.6
1729951390.945,5.24
1729951391.045,5.28
1729951391.147,7.02
1729951391.25,9.21
1729951391.35,8.46
1729951391.451,8.89
1729951391.552,10.2
1729951391.65,7.59
1729951391.746,2.18
1729951391.846,2.36
1729951391.947,2.03
1729951392.047,2.05
1729951392.146,0.756
1729951392.248,0.962
1729951392.348,1.2
1729951392.448,0.953
1729951392.549,0.931
1729951392.649,0.732
1729951392.751,0.914
1729951392.852,0.804
1729951392.958,2.91
1729951393.057,2.87
1729951393.16,3.68
1729951393.259,2.11
1729951393.362,4.05
1729951393.459,1.9
1729951393.562,3.38
1729951393.662,3.12
1729951393.762,3.0
1729951393.864,4.23
1729951393.962,1.74
1729951394.065,3.43
1729951394.164,1.69
1729951394.266,2.37
1729951394.368,3.96
1729951394.465,1.66
1729951394.567,2.13
1729951394.667,1.38
1729951394.768,1.93
1729951394.869,2.42
1729951394.969,2.25
1729951395.069,1.65
1729951395.17,1.48
1729951395.272,3.05
1729951395.37,1.31
1729951395.472,2.06
1729951395.571,1.63
1729951395.672,1.42
1729951395.774,2.06
1729951395.876,3.35
1729951395.977,4.22
1729951396.075,1.31
1729951396.176,1.61
1729951396.276,1.66
1729951396.384,7.38
1729951396.484,6.83
1729951396.581,3.42
1729951396.683,4.61
1729951396.785,5.41
1729951396.888,7.83
1729951396.989,7.97
1729951397.086,4.76
1729951397.189,6.26
1729951397.29,7.1
1729951397.39,7.79
1729951397.491,7.78
1729951397.594,8.41
1729951397.695,8.97
1729951397.788,1.42
1729951397.889,1.94
1729951397.989,1.37
1729951398.089,0.778
1729951398.193,1.64
1729951398.294,1.87
1729951398.394,1.42
1729951398.495,1.69
1729951398.596,0.993
1729951398.697,2.09
1729951398.796,1.42
1729951398.898,1.64
1729951398.999,2.21
1729951399.099,1.24
1729951399.2,2.55
1729951399.3,1.72
1729951399.402,1.96
1729951399.502,2.24
1729951399.602,1.37
1729951399.703,2.34
1729951399.803,1.1
1729951399.904,2.29
1729951400.004,1.36
1729951400.105,1.88
1729951400.205,1.38
1729951400.306,1.25
1729951400.407,1.95
1729951400.507,1.21
1729951400.608,2.44
1729951400.707,1.09
1729951400.808,1.77
1729951400.91,1.5
1729951401.009,1.44
1729951401.111,2.41
1729951401.21,1.14
1729951401.311,2.0
1729951401.411,1.32
1729951401.513,1.87
1729951401.617,5.0
1729951401.713,1.78
1729951401.815,2.43
1729951401.915,1.47
1729951402.018,3.6
1729951402.118,3.25
1729951402.218,3.34
1729951402.319,3.78
1729951402.421,4.63
1729951402.523,6.16
1729951402.622,4.79
1729951402.725,5.41
1729951402.826,5.66
