1729950878.325322412: PING 192.168.6.31 (192.168.6.31) 56(84) bytes of data.
1729950878.328346835: 64 bytes from 192.168.6.31: icmp_seq=1 ttl=63 time=3.48 ms
1729950878.425936496: 64 bytes from 192.168.6.31: icmp_seq=2 ttl=63 time=2.43 ms
1729950878.532833384: 64 bytes from 192.168.6.31: icmp_seq=3 ttl=63 time=9.19 ms
1729950878.634707685: 64 bytes from 192.168.6.31: icmp_seq=4 ttl=63 time=10.8 ms
1729950878.740957057: 64 bytes from 192.168.6.31: icmp_seq=5 ttl=63 time=16.6 ms
1729950878.841689248: 64 bytes from 192.168.6.31: icmp_seq=6 ttl=63 time=16.2 ms
1729950878.932288627: 64 bytes from 192.168.6.31: icmp_seq=7 ttl=63 time=6.89 ms
1729950879.029490320: 64 bytes from 192.168.6.31: icmp_seq=8 ttl=63 time=2.47 ms
1729950879.129420846: 64 bytes from 192.168.6.31: icmp_seq=9 ttl=63 time=2.12 ms
1729950879.230144289: 64 bytes from 192.168.6.31: icmp_seq=10 ttl=63 time=2.88 ms
1729950879.331918416: 64 bytes from 192.168.6.31: icmp_seq=11 ttl=63 time=3.25 ms
1729950879.431489858: 64 bytes from 192.168.6.31: icmp_seq=12 ttl=63 time=2.38 ms
1729950879.533469627: 64 bytes from 192.168.6.31: icmp_seq=13 ttl=63 time=3.78 ms
1729950879.633159661: 64 bytes from 192.168.6.31: icmp_seq=14 ttl=63 time=2.60 ms
1729950879.738680361: 64 bytes from 192.168.6.31: icmp_seq=15 ttl=63 time=7.26 ms
1729950879.835947308: 64 bytes from 192.168.6.31: icmp_seq=16 ttl=63 time=3.74 ms
1729950879.935417970: 64 bytes from 192.168.6.31: icmp_seq=17 ttl=63 time=2.72 ms
1729950880.037485560: 64 bytes from 192.168.6.31: icmp_seq=18 ttl=63 time=4.32 ms
1729950880.136069539: 64 bytes from 192.168.6.31: icmp_seq=19 ttl=63 time=2.63 ms
1729950880.241877792: 64 bytes from 192.168.6.31: icmp_seq=20 ttl=63 time=6.83 ms
1729950880.339697170: 64 bytes from 192.168.6.31: icmp_seq=21 ttl=63 time=3.83 ms
1729950880.439499124: 64 bytes from 192.168.6.31: icmp_seq=22 ttl=63 time=2.49 ms
1729950880.540847875: 64 bytes from 192.168.6.31: icmp_seq=23 ttl=63 time=3.15 ms
1729950880.639880859: 64 bytes from 192.168.6.31: icmp_seq=24 ttl=63 time=1.71 ms
1729950880.742077749: 64 bytes from 192.168.6.31: icmp_seq=25 ttl=63 time=2.33 ms
1729950880.843452896: 64 bytes from 192.168.6.31: icmp_seq=26 ttl=63 time=2.81 ms
1729950880.944063620: 64 bytes from 192.168.6.31: icmp_seq=27 ttl=63 time=2.16 ms
1729950881.047208943: 64 bytes from 192.168.6.31: icmp_seq=28 ttl=63 time=5.81 ms
1729950881.143822081: 64 bytes from 192.168.6.31: icmp_seq=29 ttl=63 time=1.49 ms
1729950881.246261854: 64 bytes from 192.168.6.31: icmp_seq=30 ttl=63 time=2.46 ms
1729950881.346877549: 64 bytes from 192.168.6.31: icmp_seq=31 ttl=63 time=2.71 ms
1729950881.447581352: 64 bytes from 192.168.6.31: icmp_seq=32 ttl=63 time=1.98 ms
1729950881.550420886: 64 bytes from 192.168.6.31: icmp_seq=33 ttl=63 time=4.64 ms
1729950881.648285443: 64 bytes from 192.168.6.31: icmp_seq=34 ttl=63 time=1.61 ms
1729950881.750121277: 64 bytes from 192.168.6.31: icmp_seq=35 ttl=63 time=2.39 ms
1729950881.851021521: 64 bytes from 192.168.6.31: icmp_seq=36 ttl=63 time=3.06 ms
1729950881.951225887: 64 bytes from 192.168.6.31: icmp_seq=37 ttl=63 time=2.90 ms
1729950882.052166022: 64 bytes from 192.168.6.31: icmp_seq=38 ttl=63 time=3.47 ms
1729950882.151255466: 64 bytes from 192.168.6.31: icmp_seq=39 ttl=63 time=2.36 ms
1729950882.253659529: 64 bytes from 192.168.6.31: icmp_seq=40 ttl=63 time=3.67 ms
1729950882.352221868: 64 bytes from 192.168.6.31: icmp_seq=41 ttl=63 time=1.63 ms
1729950882.455179837: 64 bytes from 192.168.6.31: icmp_seq=42 ttl=63 time=2.53 ms
1729950882.555280513: 64 bytes from 192.168.6.31: icmp_seq=43 ttl=63 time=2.88 ms
1729950882.654387974: 64 bytes from 192.168.6.31: icmp_seq=44 ttl=63 time=1.82 ms
1729950882.757207698: 64 bytes from 192.168.6.31: icmp_seq=45 ttl=63 time=3.30 ms
1729950882.856733611: 64 bytes from 192.168.6.31: icmp_seq=46 ttl=63 time=1.93 ms
1729950882.958144882: 64 bytes from 192.168.6.31: icmp_seq=47 ttl=63 time=3.18 ms
1729950883.060921866: 64 bytes from 192.168.6.31: icmp_seq=48 ttl=63 time=4.32 ms
1729950883.158643135: 64 bytes from 192.168.6.31: icmp_seq=49 ttl=63 time=2.48 ms
1729950883.259538204: 64 bytes from 192.168.6.31: icmp_seq=50 ttl=63 time=2.44 ms
1729950883.359870494: 64 bytes from 192.168.6.31: icmp_seq=51 ttl=63 time=1.59 ms
1729950883.461780611: 64 bytes from 192.168.6.31: icmp_seq=52 ttl=63 time=2.88 ms
1729950883.567353431: 64 bytes from 192.168.6.31: icmp_seq=53 ttl=63 time=7.52 ms
1729950883.663435054: 64 bytes from 192.168.6.31: icmp_seq=54 ttl=63 time=2.46 ms
1729950883.763471703: 64 bytes from 192.168.6.31: icmp_seq=55 ttl=63 time=2.32 ms
1729950883.862783378: 64 bytes from 192.168.6.31: icmp_seq=56 ttl=63 time=1.64 ms
1729950883.970103237: 64 bytes from 192.168.6.31: icmp_seq=57 ttl=63 time=6.77 ms
1729950884.067680372: 64 bytes from 192.168.6.31: icmp_seq=58 ttl=63 time=4.47 ms
1729950884.167269363: 64 bytes from 192.168.6.31: icmp_seq=59 ttl=63 time=3.00 ms
1729950884.268716003: 64 bytes from 192.168.6.31: icmp_seq=60 ttl=63 time=4.40 ms
1729950884.369882279: 64 bytes from 192.168.6.31: icmp_seq=61 ttl=63 time=4.91 ms
1729950884.478651620: 64 bytes from 192.168.6.31: icmp_seq=62 ttl=63 time=13.1 ms
1729950884.575596093: 64 bytes from 192.168.6.31: icmp_seq=63 ttl=63 time=9.45 ms
1729950884.676074530: 64 bytes from 192.168.6.31: icmp_seq=64 ttl=63 time=8.93 ms
1729950884.779249131: 64 bytes from 192.168.6.31: icmp_seq=65 ttl=63 time=11.8 ms
1729950884.881414998: 64 bytes from 192.168.6.31: icmp_seq=66 ttl=63 time=13.1 ms
1729950884.986982810: 64 bytes from 192.168.6.31: icmp_seq=67 ttl=63 time=18.3 ms
1729950885.077559799: 64 bytes from 192.168.6.31: icmp_seq=68 ttl=63 time=7.99 ms
1729950885.172779499: 64 bytes from 192.168.6.31: icmp_seq=69 ttl=63 time=3.73 ms
1729950885.272425013: 64 bytes from 192.168.6.31: icmp_seq=70 ttl=63 time=1.64 ms
1729950885.374970475: 64 bytes from 192.168.6.31: icmp_seq=71 ttl=63 time=4.16 ms
1729950885.476992409: 64 bytes from 192.168.6.31: icmp_seq=72 ttl=63 time=5.13 ms
1729950885.574426063: 64 bytes from 192.168.6.31: icmp_seq=73 ttl=63 time=2.58 ms
1729950885.675565146: 64 bytes from 192.168.6.31: icmp_seq=74 ttl=63 time=2.62 ms
1729950885.774824674: 64 bytes from 192.168.6.31: icmp_seq=75 ttl=63 time=1.48 ms
1729950885.877331969: 64 bytes from 192.168.6.31: icmp_seq=76 ttl=63 time=2.69 ms
1729950885.978899342: 64 bytes from 192.168.6.31: icmp_seq=77 ttl=63 time=3.95 ms
1729950886.078618829: 64 bytes from 192.168.6.31: icmp_seq=78 ttl=63 time=3.48 ms
1729950886.178499634: 64 bytes from 192.168.6.31: icmp_seq=79 ttl=63 time=2.74 ms
1729950886.279207099: 64 bytes from 192.168.6.31: icmp_seq=80 ttl=63 time=2.16 ms
