Time,F2F4Bitrate,F2F4Jitter,F2F4Datagrams,F2F4Delay,F2S1Bitrate,F2S1Jitter,F2S1Datagrams,F2S1Delay,F2C1Bitrate,F2C1Jitter,F2C1Datagrams,F2C1Delay,F2F1Bitrate,F2F1Jitter,F2F1Datagrams,F2F1Delay
1729951380.77,20.8,1.209,0.0,3.55,38.4,1.363,0.0,3.52,8.0,2.275,0.0,3.14,20.8,1.284,0.0,1.79
1729951380.87,19.2,1.225,0.0,3.89,38.4,1.246,0.0,4.11,8.0,2.402,0.0,4.75,19.2,1.048,0.0,1.28
1729951380.97,20.8,1.537,0.0,5.2,41.6,1.315,0.0,2.0,6.4,2.673,0.0,3.2,20.8,0.97,0.0,2.4
1729951381.07,19.2,1.447,0.0,3.78,38.4,1.187,0.0,3.43,9.6,2.748,0.0,2.965,19.2,1.116,0.0,1.27
1729951381.17,20.8,1.163,0.0,4.92,40.0,1.265,0.0,2.03,8.0,2.56,0.0,2.73,19.2,0.973,0.0,2.9
1729951381.27,20.8,1.252,0.0,4.79,40.0,1.202,0.0,5.12,6.4,2.2,0.0,5.19,20.8,0.991,0.0,1.54
1729951381.37,19.2,1.347,0.0,5.22,40.0,0.926,0.0,2.55,9.6,2.507,0.0,1.56,20.8,0.907,0.0,2.59
1729951381.47,20.8,1.651,0.0,6.43,41.6,0.947,0.0,5.67,6.41,2.455,0.0,2.71,20.8,0.781,0.0,5.13
1729951381.57,19.2,1.613,0.0,4.56,40.0,1.06,0.0,8.49,9.59,2.553,0.0,2.39,19.2,0.828,0.0,4.505
1729951381.67,20.8,1.504,0.0,6.55,41.6,1.051,0.0,8.75,6.4,2.418,0.0,2.07,20.8,0.88,0.0,3.88
1729951381.77,19.2,1.433,0.0,5.97,40.0,0.805,0.0,7.52,8.0,2.602,0.0,3.17,19.2,0.869,0.0,5.06
1729951381.87,20.8,1.529,0.0,4.82,40.0,0.876,0.0,9.38,7.99,2.704,0.0,1.56,20.8,0.95,0.0,5.49
1729951381.97,19.2,1.566,0.0,6.06,40.0,0.858,0.0,9.77,8.01,2.459,0.0,2.83,19.2,0.851,0.0,6.285
