Time,Bitrate,Jitter,Datagrams
1729950878.29,9.59,0.158,0.0
1729950878.39,6.39,0.780,0.0
1729950878.49,8.00,1.012,0.0
1729950878.59,8.00,1.144,0.0
1729950878.69,8.00,1.637,0.0
1729950878.79,8.00,1.895,0.0
1729950878.89,8.00,2.230,0.0
1729950878.99,8.00,2.469,0.0
1729950879.09,8.00,2.292,0.0
1729950879.19,8.00,2.010,0.0
1729950879.29,9.60,1.624,0.0
1729950879.39,6.40,1.674,0.0
1729950879.49,9.60,1.504,0.0
1729950879.59,8.00,1.583,0.0
1729950879.69,8.00,1.834,0.0
1729950879.79,8.00,2.219,0.0
1729950879.89,8.00,1.913,0.0
1729950879.99,8.00,1.704,0.0
1729950880.09,8.00,1.519,0.0
1729950880.19,8.00,1.462,0.0
1729950880.29,8.00,1.535,0.0
1729950880.39,8.00,1.577,0.0
1729950880.49,8.00,1.797,0.0
1729950880.59,8.01,1.982,0.0
1729950880.69,7.99,2.031,0.0
1729950880.79,8.00,2.342,0.0
1729950880.89,8.01,2.231,0.0
1729950880.99,6.40,2.188,0.0
1729950881.09,9.59,2.229,0.0
1729950881.19,6.40,2.409,0.0
1729950881.29,9.60,2.698,0.0
1729950881.39,8.00,2.939,0.0
1729950881.49,8.00,3.068,0.0
1729950881.59,8.00,2.362,0.0
1729950881.69,8.00,1.962,0.0
1729950881.79,8.00,1.824,0.0
1729950881.89,8.00,1.803,0.0
1729950881.99,8.00,1.840,0.0
1729950882.09,6.40,1.673,0.0
1729950882.19,8.00,1.895,0.0
1729950882.29,8.00,2.269,0.0
1729950882.39,8.00,2.073,0.0
1729950882.49,8.01,1.872,0.0
1729950882.59,7.99,1.705,0.0
1729950882.69,8.00,1.688,0.0
1729950882.79,8.00,1.750,0.0
1729950882.89,8.00,1.867,0.0
1729950882.99,8.00,1.982,0.0
1729950883.09,8.00,2.085,0.0
1729950883.19,8.00,2.345,0.0
1729950883.29,9.60,2.223,0.0
1729950883.39,8.00,1.721,0.0
1729950883.49,8.00,1.966,0.0
1729950883.59,6.40,1.753,0.0
1729950883.69,8.00,1.566,0.0
1729950883.79,8.00,1.811,0.0
1729950883.89,9.60,1.911,0.0
1729950883.99,8.00,2.153,0.0
1729950884.09,8.00,2.428,0.0
1729950884.19,6.40,2.100,0.0
1729950884.29,8.00,1.742,0.0
1729950884.39,9.60,1.962,0.0
1729950884.49,8.00,1.933,0.0
1729950884.59,8.00,1.803,0.0
1729950884.69,8.00,1.834,0.0
1729950884.79,8.00,2.064,0.0
1729950884.89,8.00,2.833,0.0
1729950884.99,8.00,2.152,0.0
1729950885.09,8.00,1.650,0.0
1729950885.19,8.00,1.575,0.0
1729950885.29,8.00,1.394,0.0
1729950885.39,8.00,1.496,0.0
1729950885.49,8.00,1.730,0.0
1729950885.59,8.00,1.949,0.0
1729950885.69,8.00,2.315,0.0
1729950885.79,6.40,2.103,0.0
1729950885.89,8.00,2.075,0.0
1729950885.99,8.00,2.049,0.0
1729950886.09,8.00,2.049,0.0
1729950886.19,9.60,2.248,0.0
1729950886.29,6.40,2.194,0.0
1729950886.39,8.00,2.388,0.0
1729950886.49,8.00,2.637,0.0
1729950886.59,8.00,2.845,0.0
1729950886.69,8.00,2.625,0.0
1729950886.79,8.00,2.221,0.0
1729950886.89,8.01,2.148,0.0
1729950886.99,8.00,2.073,0.0
1729950887.09,7.99,2.097,0.0
1729950887.19,8.00,2.636,0.0
1729950887.29,8.00,2.588,0.0
1729950887.39,8.00,2.662,0.0
1729950887.49,8.00,2.936,0.0
1729950887.59,8.00,2.566,0.0
1729950887.69,9.61,2.207,0.0
1729950887.79,7.99,2.197,0.0
1729950887.89,8.00,2.056,0.0
1729950887.99,6.40,2.129,0.0
1729950888.09,8.00,2.143,0.0
1729950888.19,8.00,2.309,0.0
1729950888.29,8.01,2.533,0.0
1729950888.39,8.00,2.090,0.0
1729950888.49,9.60,1.914,0.0
1729950888.59,6.40,1.861,0.0
1729950888.69,9.60,1.661,0.0
1729950888.79,8.00,1.788,0.0
1729950888.89,8.00,1.813,0.0
1729950888.99,6.40,2.217,0.0
1729950889.09,9.59,2.328,0.0
1729950889.19,8.00,2.658,0.0
1729950889.29,8.00,2.513,0.0
1729950889.39,8.00,2.624,0.0
1729950889.49,6.40,2.540,0.0
1729950889.59,9.60,2.556,0.0
1729950889.69,8.01,2.459,0.0
1729950889.79,7.99,2.675,0.0
1729950889.89,8.00,3.014,0.0
1729950889.99,6.40,3.591,0.0
1729950890.09,9.60,3.189,0.0
1729950890.19,8.00,2.694,0.0
1729950890.29,8.01,2.541,0.0
1729950890.39,7.99,2.391,0.0
1729950890.49,6.40,2.438,0.0
1729950890.59,8.00,2.680,0.0
1729950890.69,9.60,2.934,0.0
1729950890.79,8.00,3.166,0.0
1729950890.89,8.00,2.982,0.0
1729950890.99,8.00,2.236,0.0
1729950891.09,6.40,1.777,0.0
1729950891.19,8.01,1.617,0.0
