Time,Bitrate,Jitter,Datagrams,Delay
1729951380.77,8.0,2.275,0.0,3.14
1729951380.87,8.0,2.402,0.0,4.75
1729951380.97,6.4,2.673,0.0,3.2
1729951381.07,9.6,2.748,0.0,2.965
1729951381.17,8.0,2.56,0.0,2.73
1729951381.27,6.4,2.2,0.0,5.19
1729951381.37,9.6,2.507,0.0,1.56
1729951381.47,6.41,2.455,0.0,2.71
1729951381.57,9.59,2.553,0.0,2.39
1729951381.67,6.4,2.418,0.0,2.07
1729951381.77,8.0,2.602,0.0,3.17
1729951381.87,7.99,2.704,0.0,1.56
1729951381.97,8.01,2.459,0.0,2.83
1729951382.07,7.99,2.35,0.0,4.1
1729951382.17,8.01,2.084,0.0,3.725
1729951382.27,8.0,1.769,0.0,3.35
1729951382.37,8.0,2.051,0.0,2.03
1729951382.47,8.0,2.119,0.0,6.29
1729951382.57,8.0,2.489,0.0,2.52
1729951382.67,7.99,2.714,0.0,6.88
1729951382.77,9.6,2.751,0.0,3.73
1729951382.87,6.4,2.398,0.0,7.49
1729951382.97,9.6,1.823,0.0,4.44
1729951383.07,6.41,2.069,0.0,5.29
1729951383.17,7.99,1.901,0.0,10.8
1729951383.27,9.6,1.81,0.0,6.44
1729951383.37,8.0,1.844,0.0,7.03
1729951383.47,8.01,1.969,0.0,8.58
1729951383.57,7.99,2.194,0.0,10.3
1729951383.67,6.4,2.476,0.0,11.3
1729951383.77,9.62,2.029,0.0,10.4
1729951383.87,7.99,1.988,0.0,12.2
1729951383.97,7.99,2.058,0.0,14.8
1729951384.07,6.4,2.228,0.0,10.1
1729951384.17,9.6,2.288,0.0,2.58
1729951384.27,6.4,2.536,0.0,1.96
1729951384.37,9.6,2.758,0.0,1.73
1729951384.47,6.41,3.224,0.0,2.75
1729951384.57,8.0,2.967,0.0,1.85
1729951384.67,8.0,2.592,0.0,2.03
1729951384.77,8.0,2.123,0.0,1.87
1729951384.87,9.61,1.975,0.0,1.68
1729951384.97,6.4,2.092,0.0,3.55
1729951385.07,9.6,2.52,0.0,1.9
1729951385.17,8.0,2.631,0.0,2.65
1729951385.27,8.0,2.841,0.0,3.07
1729951385.37,6.4,2.819,0.0,2.15
1729951385.47,9.61,2.916,0.0,3.62
1729951385.57,8.01,2.713,0.0,2.25
1729951385.67,7.99,2.47,0.0,4.52
1729951385.77,8.01,2.574,0.0,2.67
1729951385.87,6.4,2.529,0.0,3.7
1729951385.97,7.99,2.527,0.0,4.36
1729951386.07,8.0,2.715,0.0,2.65
1729951386.17,8.01,2.712,0.0,3.83
1729951386.27,7.99,2.313,0.0,3.06
1729951386.37,8.0,2.151,0.0,3.01
1729951386.47,8.0,2.07,0.0,3.67
1729951386.57,8.0,2.02,0.0,2.56
1729951386.67,8.0,1.932,0.0,4.49
1729951386.77,8.0,2.101,0.0,1.94
1729951386.87,8.0,2.061,0.0,3.98
1729951386.97,8.0,2.443,0.0,2.38
1729951387.07,9.6,2.56,0.0,3.19
1729951387.17,6.4,2.607,0.0,3.86
1729951387.27,8.0,2.554,0.0,2.04
1729951387.37,9.61,2.307,0.0,3.23
1729951387.47,6.4,2.316,0.0,2.08
1729951387.57,9.6,2.383,0.0,3.27
1729951387.67,6.39,2.709,0.0,2.07
1729951387.77,8.01,2.782,0.0,2.75
1729951387.87,7.99,2.896,0.0,2.81
1729951387.97,8.0,2.24,0.0,2.71
1729951388.07,9.6,1.732,0.0,4.09
1729951388.17,8.0,1.807,0.0,2.88
1729951388.27,8.0,1.679,0.0,3.46
1729951388.37,8.0,1.759,0.0,3.31
1729951388.47,8.0,1.932,0.0,2.64
1729951388.57,8.0,2.172,0.0,3.57
1729951388.67,8.0,2.406,0.0,2.63
1729951388.77,8.0,2.38,0.0,4.59
1729951388.87,6.4,1.949,0.0,4.93
1729951388.97,9.6,1.511,0.0,3.81
1729951389.07,6.4,1.493,0.0,4.32
1729951389.17,9.59,1.484,0.0,8.35
1729951389.27,6.4,1.505,0.0,8.76
1729951389.37,8.01,1.675,0.0,12.6
1729951389.47,7.99,1.955,0.0,11.0
1729951389.57,8.0,2.451,0.0,12.5
1729951389.67,8.01,2.457,0.0,14.9
1729951389.77,9.59,2.531,0.0,19.2
1729951389.87,6.4,2.232,0.0,13.3
1729951389.97,8.01,2.327,0.0,3.27
1729951390.07,7.99,2.486,0.0,1.88
1729951390.17,8.0,2.497,0.0,4.19
1729951390.27,8.0,2.549,0.0,4.84
1729951390.37,7.99,2.709,0.0,2.32
1729951390.47,8.0,2.493,0.0,3.41
1729951390.57,8.0,2.351,0.0,2.06
1729951390.67,8.0,2.141,0.0,4.13
1729951390.77,8.0,2.173,0.0,2.16
1729951390.87,8.0,2.004,0.0,2.86
1729951390.97,8.0,1.907,0.0,2.15
1729951391.07,8.0,1.971,0.0,1.74
1729951391.17,8.0,2.281,0.0,3.06
1729951391.27,8.0,2.448,0.0,1.95
1729951391.37,9.6,2.8,0.0,3.97
1729951391.47,6.4,2.716,0.0,1.7
1729951391.57,9.59,2.513,0.0,2.98
1729951391.67,8.0,2.441,0.0,2.7
1729951391.77,8.0,2.45,0.0,2.92
1729951391.87,6.4,3.032,0.0,3.33
1729951391.97,9.6,2.839,0.0,3.99
1729951392.07,6.4,3.043,0.0,3.27
1729951392.17,9.6,2.988,0.0,1.85
1729951392.27,6.4,2.614,0.0,3.51
1729951392.37,7.99,2.263,0.0,5.49
1729951392.47,8.01,2.242,0.0,2.28
1729951392.57,7.99,2.219,0.0,2.97
1729951392.67,8.0,2.154,0.0,1.91
1729951392.77,9.6,2.029,0.0,3.16
1729951392.87,6.4,2.253,0.0,4.46
1729951392.97,9.6,2.344,0.0,2.91
1729951393.07,6.4,2.312,0.0,2.82
1729951393.17,9.6,1.97,0.0,1.9
1729951393.27,6.4,2.204,0.0,3.44
1729951393.37,9.61,1.885,0.0,3.8
1729951393.47,8.0,2.126,0.0,1.67
1729951393.57,6.41,2.424,0.0,2.42
1729951393.67,9.6,2.673,0.0,2.06
1729951393.77,8.0,2.8,0.0,3.96
1729951393.87,6.4,2.944,0.0,2.38
1729951393.97,9.59,2.18,0.0,3.13
1729951394.07,8.01,1.847,0.0,1.99
1729951394.17,8.0,2.094,0.0,2.56
1729951394.27,8.0,1.939,0.0,4.63
1729951394.37,8.0,1.941,0.0,2.25
1729951394.47,6.4,1.812,0.0,3.84
1729951394.57,9.59,2.242,0.0,2.4
1729951394.67,6.41,2.262,0.0,3.65
1729951394.77,8.0,2.198,0.0,4.33
1729951394.87,8.0,2.205,0.0,9.15
1729951394.97,8.0,1.872,0.0,5.72
1729951395.07,8.0,1.521,0.0,5.88
1729951395.17,8.0,1.838,0.0,9.3
1729951395.27,8.01,1.754,0.0,11.3
1729951395.37,7.99,2.247,0.0,13.2
1729951395.47,8.0,2.266,0.0,15.4
1729951395.57,9.61,2.758,0.0,15.533
1729951395.67,8.0,2.587,0.0,15.667
1729951395.77,6.4,2.533,0.0,15.8
1729951395.87,9.6,2.408,0.0,3.78
1729951395.97,8.0,2.245,0.0,2.22
1729951396.07,8.0,2.218,0.0,2.79
1729951396.17,8.0,2.172,0.0,3.36
1729951396.27,8.0,2.292,0.0,2.48
1729951396.37,6.4,2.617,0.0,3.74
1729951396.47,9.6,2.516,0.0,2.85
1729951396.57,8.0,2.229,0.0,3.14
1729951396.67,8.0,2.097,0.0,3.43
1729951396.77,8.0,2.289,0.0,1.96
1729951396.87,8.0,2.473,0.0,3.56
1729951396.97,8.0,2.317,0.0,1.76
1729951397.07,8.01,2.282,0.0,2.223
1729951397.17,7.99,2.456,0.0,2.687
1729951397.27,6.4,2.914,0.0,3.15
1729951397.37,9.6,2.794,0.0,3.06
1729951397.47,8.0,2.755,0.0,1.76
1729951397.57,8.0,2.602,0.0,2.13
1729951397.67,8.0,2.753,0.0,2.5
1729951397.77,6.4,2.863,0.0,2.46
1729951397.87,8.0,2.812,0.0,2.57
