Time,Bitrate,Jitter,Datagrams,Delay
1729951379.5,7.98,0.113,0.0,3.26
1729951379.6,8.01,0.324,0.0,3.48
1729951379.7,7.99,0.719,0.0,2.12
1729951379.8,8.00,0.996,0.0,3.76
1729951379.9,8.00,1.480,0.0,8.04
1729951380.0,9.60,1.595,0.0,2.76
1729951380.1,8.00,1.840,0.0,3.29
1729951380.2,6.40,2.280,0.0,2.12
1729951380.3,8.00,2.033,0.0,5.6
1729951380.4,8.01,2.171,0.0,2.14
1729951380.5,8.00,2.003,0.0,2.31
1729951380.6,8.00,2.210,0.0,NA
1729951380.7,9.60,2.271,0.0,5.07
1729951380.8,8.00,2.275,0.0,3.14
1729951380.9,8.00,2.402,0.0,4.75
1729951381.0,6.40,2.673,0.0,3.2
1729951381.1,9.60,2.748,0.0,NA
1729951381.2,8.00,2.560,0.0,2.73
1729951381.3,6.40,2.200,0.0,5.19
1729951381.4,9.60,2.507,0.0,1.56
1729951381.5,6.41,2.455,0.0,2.71
1729951381.6,9.59,2.553,0.0,NA
1729951381.7,6.40,2.418,0.0,2.07
1729951381.8,8.00,2.602,0.0,3.17
1729951381.9,7.99,2.704,0.0,1.56
1729951382.0,8.01,2.459,0.0,NA
1729951382.1,7.99,2.350,0.0,4.1
1729951382.2,8.01,2.084,0.0,NA
1729951382.3,8.00,1.769,0.0,3.35
1729951382.4,8.00,2.051,0.0,2.03
1729951382.5,8.00,2.119,0.0,6.29
1729951382.6,8.00,2.489,0.0,2.52
1729951382.7,7.99,2.714,0.0,6.88
1729951382.8,9.60,2.751,0.0,3.73
1729951382.9,6.40,2.398,0.0,7.49
1729951383.0,9.60,1.823,0.0,4.44
1729951383.1,6.41,2.069,0.0,5.29
1729951383.2,7.99,1.901,0.0,10.8
1729951383.3,9.60,1.810,0.0,6.44
1729951383.4,8.00,1.844,0.0,7.03
1729951383.5,8.01,1.969,0.0,8.58
1729951383.6,7.99,2.194,0.0,10.3
1729951383.7,6.40,2.476,0.0,11.3
1729951383.8,9.62,2.029,0.0,10.4
1729951383.9,7.99,1.988,0.0,12.2
1729951384.0,7.99,2.058,0.0,14.8
1729951384.1,6.40,2.228,0.0,10.1
1729951384.2,9.60,2.288,0.0,2.58
1729951384.3,6.40,2.536,0.0,1.96
1729951384.4,9.60,2.758,0.0,1.73
1729951384.5,6.41,3.224,0.0,2.75
1729951384.6,8.00,2.967,0.0,1.85
1729951384.7,8.00,2.592,0.0,2.03
1729951384.8,8.00,2.123,0.0,1.87
1729951384.9,9.61,1.975,0.0,1.68
1729951385.0,6.40,2.092,0.0,3.55
1729951385.1,9.60,2.520,0.0,1.9
1729951385.2,8.00,2.631,0.0,2.65
1729951385.3,8.00,2.841,0.0,3.07
1729951385.4,6.40,2.819,0.0,2.15
1729951385.5,9.61,2.916,0.0,3.62
1729951385.6,8.01,2.713,0.0,2.25
1729951385.7,7.99,2.470,0.0,4.52
1729951385.8,8.01,2.574,0.0,2.67
1729951385.9,6.40,2.529,0.0,3.7
1729951386.0,7.99,2.527,0.0,4.36
1729951386.1,8.00,2.715,0.0,2.65
1729951386.2,8.01,2.712,0.0,3.83
1729951386.3,7.99,2.313,0.0,3.06
1729951386.4,8.00,2.151,0.0,3.01
1729951386.5,8.00,2.070,0.0,3.67
1729951386.6,8.00,2.020,0.0,2.56
1729951386.7,8.00,1.932,0.0,4.49
1729951386.8,8.00,2.101,0.0,1.94
1729951386.9,8.00,2.061,0.0,3.98
1729951387.0,8.00,2.443,0.0,2.38
1729951387.1,9.60,2.560,0.0,3.19
1729951387.2,6.40,2.607,0.0,3.86
1729951387.3,8.00,2.554,0.0,2.04
1729951387.4,9.61,2.307,0.0,3.23
1729951387.5,6.40,2.316,0.0,2.08
1729951387.6,9.60,2.383,0.0,3.27
1729951387.7,6.39,2.709,0.0,2.07
1729951387.8,8.01,2.782,0.0,2.75
