Time,Bitrate,Jitter,Datagrams,Delay
1729951380.77,38.4,1.363,0.0,3.52
1729951380.87,38.4,1.246,0.0,4.11
1729951380.97,41.6,1.315,0.0,2.0
1729951381.07,38.4,1.187,0.0,3.43
1729951381.17,40.0,1.265,0.0,2.03
1729951381.27,40.0,1.202,0.0,5.12
1729951381.37,40.0,0.926,0.0,2.55
1729951381.47,41.6,0.947,0.0,5.67
1729951381.57,40.0,1.06,0.0,8.49
1729951381.67,41.6,1.051,0.0,8.75
1729951381.77,40.0,0.805,0.0,7.52
1729951381.87,40.0,0.876,0.0,9.38
1729951381.97,40.0,0.858,0.0,9.77
1729951382.07,40.0,1.107,0.0,12.6
1729951382.17,40.0,1.109,0.0,10.7
1729951382.27,40.0,0.757,0.0,10.2
1729951382.37,40.0,1.106,0.0,10.3
1729951382.47,40.0,0.858,0.0,16.8
1729951382.57,38.4,1.187,0.0,15.6
1729951382.67,41.6,1.24,0.0,13.2
1729951382.77,40.0,1.048,0.0,9.07
1729951382.87,40.0,1.138,0.0,1.82
1729951382.97,40.0,0.889,0.0,2.57
1729951383.07,40.0,1.124,0.0,3.66
1729951383.17,38.4,1.171,0.0,2.45
1729951383.27,41.6,1.185,0.0,4.09
1729951383.37,40.0,1.004,0.0,2.56
1729951383.47,40.0,0.992,0.0,2.82
1729951383.57,38.4,1.371,0.0,4.12
1729951383.67,41.6,1.255,0.0,2.2
1729951383.77,38.4,1.279,0.0,2.89
1729951383.87,41.6,1.181,0.0,2.74
1729951383.97,38.4,1.441,0.0,2.92
1729951384.07,41.6,1.304,0.0,3.16
1729951384.17,40.0,1.074,0.0,2.41
1729951384.27,38.4,1.402,0.0,3.87
1729951384.37,38.4,1.526,0.0,5.4
1729951384.47,41.6,1.469,0.0,3.84
1729951384.57,38.4,1.273,0.0,3.13
1729951384.67,41.6,1.07,0.0,2.26
1729951384.77,40.0,1.404,0.0,2.14
1729951384.87,38.4,1.418,0.0,5.19
1729951384.97,40.0,1.106,0.0,2.64
1729951385.07,38.4,1.199,0.0,1.99
1729951385.17,41.5,0.96,0.0,3.31
1729951385.27,40.0,1.083,0.0,2.05
1729951385.37,38.4,0.895,0.0,4.34
1729951385.47,41.6,0.979,0.0,5.31
1729951385.57,40.0,0.938,0.0,1.82
1729951385.67,40.0,0.57,0.0,3.28
1729951385.77,41.6,0.838,0.0,1.82
1729951385.87,38.4,0.751,0.0,9.09
1729951385.97,41.6,0.69,0.0,2.55
1729951386.07,40.0,0.84,0.0,2.1
1729951386.17,40.0,0.802,0.0,3.03
1729951386.27,40.0,0.869,0.0,4.54
1729951386.37,40.0,0.696,0.0,4.06
1729951386.47,40.0,1.129,0.0,1.87
1729951386.57,40.0,0.961,0.0,3.32
1729951386.67,40.0,0.786,0.0,3.41
1729951386.77,40.0,0.918,0.0,4.82
1729951386.87,41.6,0.721,0.0,6.02
1729951386.97,40.0,1.066,0.0,1.99
1729951387.07,40.0,0.915,0.0,3.01
1729951387.17,38.4,0.891,0.0,3.09
1729951387.27,41.6,1.027,0.0,7.47
1729951387.37,40.0,1.033,0.0,8.62
1729951387.47,40.0,0.967,0.0,4.06
1729951387.57,40.0,0.804,0.0,6.46
1729951387.67,38.4,1.056,0.0,8.16
1729951387.77,41.6,0.946,0.0,13.7
1729951387.87,40.0,0.988,0.0,10.2
1729951387.97,40.0,0.97,0.0,9.16
1729951388.07,40.0,1.037,0.0,9.23
1729951388.17,38.4,1.071,0.0,10.9
1729951388.27,41.6,1.076,0.0,12.7
1729951388.37,38.4,1.403,0.0,12.3
1729951388.47,41.6,1.294,0.0,14.3
1729951388.57,38.4,1.428,0.0,7.48
1729951388.67,41.6,1.378,0.0,1.77
1729951388.77,40.0,1.119,0.0,3.35
1729951388.87,38.4,1.345,0.0,1.73
1729951388.97,41.6,1.214,0.0,2.51
1729951389.07,38.4,1.231,0.0,3.01
1729951389.17,40.0,1.291,0.0,2.3
1729951389.27,38.4,0.871,0.0,3.09
1729951389.37,41.6,1.211,0.0,1.96
1729951389.47,38.4,1.241,0.0,3.14
1729951389.57,40.0,1.333,0.0,1.98
1729951389.67,38.4,0.684,0.0,3.94
1729951389.77,41.6,0.693,0.0,2.1
1729951389.87,40.0,0.76,0.0,3.19
1729951389.97,41.6,0.752,0.0,2.92
1729951390.07,40.0,0.912,0.0,2.94
1729951390.17,40.0,0.747,0.0,3.21
1729951390.27,41.6,0.712,0.0,2.18
1729951390.37,38.4,0.661,0.0,3.18
1729951390.47,40.0,0.91,0.0,2.13
1729951390.57,40.0,0.779,0.0,3.06
1729951390.67,41.6,0.902,0.0,2.36
1729951390.77,40.0,0.828,0.0,3.04
1729951390.87,40.0,0.678,0.0,2.13
1729951390.97,40.1,0.815,0.0,2.71
1729951391.07,40.0,0.785,0.0,2.53
1729951391.17,40.0,0.938,0.0,2.68
1729951391.27,40.0,0.75,0.0,3.72
1729951391.37,40.0,0.768,0.0,2.18
1729951391.47,40.0,0.924,0.0,2.22
1729951391.57,40.0,0.904,0.0,2.04
1729951391.67,38.4,1.048,0.0,1.81
1729951391.77,41.6,0.786,0.0,2.87
1729951391.87,40.0,0.955,0.0,2.02
1729951391.97,40.0,0.973,0.0,2.97
1729951392.07,40.0,1.079,0.0,1.79
1729951392.17,38.4,0.896,0.0,3.3
1729951392.27,41.7,0.842,0.0,1.92
1729951392.37,39.9,0.999,0.0,1.66
1729951392.47,40.0,1.178,0.0,3.94
1729951392.57,40.0,1.136,0.0,2.84
