Time,Bitrate,Jitter,Datagrams,Delay
1729951379.46,41.5,0.556,0.0,NA
1729951379.56,38.4,1.143,0.0,3.53
1729951379.66,40.0,1.522,0.0,NA
1729951379.76,40.0,1.264,0.0,3.54
1729951379.86,41.6,1.230,0.0,6.08
1729951379.96,40.0,1.163,0.0,2.74
1729951380.06,40.0,0.974,0.0,3.21
1729951380.16,38.4,1.169,0.0,3.48
1729951380.26,40.0,1.317,0.0,3.04
1729951380.36,38.4,1.355,0.0,3.69
1729951380.46,41.6,1.200,0.0,2.65
1729951380.56,38.4,0.969,0.0,4.31
1729951380.66,41.6,1.422,0.0,4.05
1729951380.76,38.4,1.363,0.0,3.52
1729951380.86,38.4,1.246,0.0,4.11
1729951380.96,41.6,1.315,0.0,2.0
1729951381.06,38.4,1.187,0.0,3.43
1729951381.16,40.0,1.265,0.0,2.03
1729951381.26,40.0,1.202,0.0,5.12
1729951381.36,40.0,0.926,0.0,2.55
1729951381.46,41.6,0.947,0.0,5.67
1729951381.56,40.0,1.060,0.0,8.49
1729951381.66,41.6,1.051,0.0,8.75
1729951381.76,40.0,0.805,0.0,7.52
1729951381.86,40.0,0.876,0.0,9.38
1729951381.96,40.0,0.858,0.0,9.77
1729951382.06,40.0,1.107,0.0,12.6
1729951382.16,40.0,1.109,0.0,10.7
1729951382.26,40.0,0.757,0.0,10.2
1729951382.36,40.0,1.106,0.0,10.3
1729951382.46,40.0,0.858,0.0,16.8
1729951382.56,38.4,1.187,0.0,15.6
1729951382.66,41.6,1.240,0.0,13.2
1729951382.76,40.0,1.048,0.0,9.07
1729951382.86,40.0,1.138,0.0,1.82
1729951382.96,40.0,0.889,0.0,2.57
1729951383.06,40.0,1.124,0.0,3.66
1729951383.16,38.4,1.171,0.0,2.45
1729951383.26,41.6,1.185,0.0,4.09
1729951383.36,40.0,1.004,0.0,2.56
1729951383.46,40.0,0.992,0.0,2.82
1729951383.56,38.4,1.371,0.0,4.12
1729951383.66,41.6,1.255,0.0,2.2
1729951383.76,38.4,1.279,0.0,2.89
1729951383.86,41.6,1.181,0.0,2.74
1729951383.96,38.4,1.441,0.0,2.92
1729951384.06,41.6,1.304,0.0,3.16
1729951384.16,40.0,1.074,0.0,2.41
1729951384.26,38.4,1.402,0.0,3.87
1729951384.36,38.4,1.526,0.0,5.4
1729951384.46,41.6,1.469,0.0,3.84
1729951384.56,38.4,1.273,0.0,3.13
1729951384.66,41.6,1.070,0.0,2.26
1729951384.76,40.0,1.404,0.0,2.14
1729951384.86,38.4,1.418,0.0,5.19
1729951384.96,40.0,1.106,0.0,2.64
1729951385.06,38.4,1.199,0.0,1.99
1729951385.16,41.5,0.960,0.0,3.31
1729951385.26,40.0,1.083,0.0,2.05
1729951385.36,38.4,0.895,0.0,4.34
1729951385.46,41.6,0.979,0.0,5.31
1729951385.56,40.0,0.938,0.0,1.82
1729951385.66,40.0,0.570,0.0,3.28
1729951385.76,41.6,0.838,0.0,1.82
1729951385.86,38.4,0.751,0.0,9.09
1729951385.96,41.6,0.690,0.0,2.55
1729951386.06,40.0,0.840,0.0,2.1
1729951386.16,40.0,0.802,0.0,3.03
1729951386.26,40.0,0.869,0.0,4.54
1729951386.36,40.0,0.696,0.0,4.06
1729951386.46,40.0,1.129,0.0,1.87
1729951386.56,40.0,0.961,0.0,3.32
1729951386.66,40.0,0.786,0.0,3.41
1729951386.76,40.0,0.918,0.0,4.82
1729951386.86,41.6,0.721,0.0,6.02
1729951386.96,40.0,1.066,0.0,1.99
1729951387.06,40.0,0.915,0.0,3.01
1729951387.16,38.4,0.891,0.0,3.09
1729951387.26,41.6,1.027,0.0,7.47
1729951387.36,40.0,1.033,0.0,8.62
1729951387.46,40.0,0.967,0.0,4.06
1729951387.56,40.0,0.804,0.0,6.46
1729951387.66,38.4,1.056,0.0,8.16
1729951387.76,41.6,0.946,0.0,13.7
1729951387.86,40.0,0.988,0.0,10.2
1729951387.96,40.0,0.970,0.0,9.16
1729951388.06,40.0,1.037,0.0,9.23
1729951388.16,38.4,1.071,0.0,10.9
1729951388.26,41.6,1.076,0.0,12.7
1729951388.36,38.4,1.403,0.0,12.3
1729951388.46,41.6,1.294,0.0,14.3
1729951388.56,38.4,1.428,0.0,7.48
1729951388.66,41.6,1.378,0.0,1.77
1729951388.76,40.0,1.119,0.0,3.35
1729951388.86,38.4,1.345,0.0,1.73
1729951388.96,41.6,1.214,0.0,2.51
1729951389.06,38.4,1.231,0.0,3.01
1729951389.16,40.0,1.291,0.0,2.3
1729951389.26,38.4,0.871,0.0,3.09
1729951389.36,41.6,1.211,0.0,1.96
1729951389.46,38.4,1.241,0.0,3.14
1729951389.56,40.0,1.333,0.0,1.98
1729951389.66,38.4,0.684,0.0,3.94
1729951389.76,41.6,0.693,0.0,2.1
1729951389.86,40.0,0.760,0.0,3.19
1729951389.96,41.6,0.752,0.0,2.92
1729951390.06,40.0,0.912,0.0,2.94
1729951390.16,40.0,0.747,0.0,3.21
1729951390.26,41.6,0.712,0.0,2.18
1729951390.36,38.4,0.661,0.0,3.18
1729951390.46,40.0,0.910,0.0,2.13
1729951390.56,40.0,0.779,0.0,3.06
1729951390.66,41.6,0.902,0.0,2.36
1729951390.76,40.0,0.828,0.0,3.04
1729951390.86,40.0,0.678,0.0,2.13
1729951390.96,40.1,0.815,0.0,2.71
1729951391.06,40.0,0.785,0.0,2.53
1729951391.16,40.0,0.938,0.0,2.68
1729951391.26,40.0,0.750,0.0,3.72
1729951391.36,40.0,0.768,0.0,2.18
1729951391.46,40.0,0.924,0.0,2.22
1729951391.56,40.0,0.904,0.0,2.04
1729951391.66,38.4,1.048,0.0,1.81
1729951391.76,41.6,0.786,0.0,2.87
1729951391.86,40.0,0.955,0.0,2.02
1729951391.96,40.0,0.973,0.0,2.97
1729951392.06,40.0,1.079,0.0,1.79
1729951392.16,38.4,0.896,0.0,3.3
1729951392.26,41.7,0.842,0.0,1.92
1729951392.36,39.9,0.999,0.0,1.66
1729951392.46,40.0,1.178,0.0,3.94
1729951392.56,40.0,1.136,0.0,2.84
1729951392.66,38.4,1.231,0.0,2.77
1729951392.76,40.0,1.186,0.0,2.68
1729951392.86,41.6,1.259,0.0,2.28
1729951392.96,40.0,1.314,0.0,4.36
1729951393.06,40.0,1.263,0.0,3.41
1729951393.16,38.4,1.156,0.0,5.0
1729951393.26,41.6,1.308,0.0,6.89
1729951393.36,38.4,1.317,0.0,NA
1729951393.46,40.0,1.234,0.0,7.64
1729951393.56,38.4,1.167,0.0,9.39
1729951393.66,40.0,1.272,0.0,11.8
1729951393.76,40.0,1.547,0.0,NA
1729951393.86,40.0,1.148,0.0,14.7
