Time,Delay
1729951379.542,3.26
1729951379.64,3.48
1729951379.74,2.12
1729951379.841,3.76
1729951379.946,8.04
1729951380.042,2.76
1729951380.143,3.29
1729951380.242,2.12
1729951380.347,5.6
1729951380.443,2.14
1729951380.544,2.31
1729951380.646,3.33
1729951380.749,5.07
1729951380.847,3.14
1729951380.949,4.75
1729951381.049,3.2
1729951381.149,2.75
1729951381.249,2.73
1729951381.352,5.19
1729951381.449,1.56
1729951381.551,2.71
1729951381.651,1.83
1729951381.753,2.07
1729951381.854,3.17
1729951381.953,1.56
1729951382.057,4.1
1729951382.155,1.92
1729951382.256,3.35
1729951382.355,2.03
1729951382.46,6.29
1729951382.557,2.52
1729951382.662,6.88
1729951382.76,3.73
1729951382.864,7.49
1729951382.962,4.44
1729951383.063,5.29
1729951383.17,10.8
1729951383.266,6.44
1729951383.367,7.03
1729951383.47,8.58
1729951383.573,10.3
1729951383.674,11.3
1729951383.774,10.4
1729951383.876,12.2
1729951383.98,14.8
1729951384.076,10.1
1729951384.169,2.58
1729951384.269,1.96
1729951384.368,1.73
1729951384.471,2.75
1729951384.571,1.85
1729951384.672,2.03
1729951384.773,1.87
1729951384.873,1.68
1729951384.976,3.55
1729951385.076,1.9
1729951385.177,2.65
1729951385.278,3.07
1729951385.378,2.15
1729951385.479,3.62
1729951385.578,2.25
1729951385.681,4.52
1729951385.78,2.67
1729951385.882,3.7
1729951385.984,4.36
1729951386.084,2.65
1729951386.186,3.83
1729951386.286,3.06
1729951386.386,3.01
1729951386.487,3.67
1729951386.587,2.56
1729951386.69,4.49
1729951386.787,1.94
1729951386.89,3.98
1729951386.988,2.38
1729951387.09,3.19
1729951387.19,3.86
1729951387.29,2.04
1729951387.392,3.23
1729951387.491,2.08
1729951387.592,3.27
1729951387.692,2.07
1729951387.792,2.75
1729951387.894,2.81
1729951387.995,2.71
1729951388.097,4.09
1729951388.197,2.88
1729951388.298,3.46
1729951388.398,3.31
1729951388.498,2.64
1729951388.599,3.57
1729951388.7,2.63
1729951388.802,4.59
1729951388.903,4.93
1729951389.002,3.81
1729951389.102,4.32
1729951389.206,8.35
1729951389.307,8.76
1729951389.413,12.6
1729951389.512,11.0
1729951389.614,12.5
1729951389.717,14.9
1729951389.821,19.2
1729951389.916,13.3
1729951390.006,3.27
1729951390.106,1.88
1729951390.209,4.19
1729951390.311,4.84
1729951390.41,2.32
1729951390.511,3.41
1729951390.611,2.06
1729951390.713,4.13
1729951390.811,2.16
1729951390.912,2.86
1729951391.013,2.15
1729951391.112,1.74
1729951391.215,3.06
1729951391.314,1.95
1729951391.416,3.97
1729951391.514,1.7
1729951391.617,2.98
1729951391.716,2.7
1729951391.819,2.92
1729951391.918,3.33
1729951392.019,3.99
1729951392.119,3.27
1729951392.219,1.85
1729951392.321,3.51
1729951392.424,5.49
1729951392.522,2.28
1729951392.623,2.97
1729951392.722,1.91
1729951392.824,3.16
1729951392.925,4.46
1729951393.024,2.91
1729951393.126,2.82
1729951393.226,1.9
1729951393.329,3.44
1729951393.429,3.8
1729951393.529,1.67
1729951393.63,2.42
1729951393.73,2.06
1729951393.832,3.96
1729951393.931,2.38
