Time,Delay
1729951379.415,0.934
1729951379.514,2.1
1729951379.614,1.27
1729951379.714,1.93
1729951379.816,3.63
1729951379.915,1.1
1729951380.015,1.5
1729951380.117,1.37
1729951380.218,1.58
1729951380.319,2.37
1729951380.418,1.37
1729951380.52,2.1
1729951380.62,1.88
1729951380.722,1.96
1729951380.821,1.79
1729951380.921,1.28
1729951381.024,2.4
1729951381.124,1.27
1729951381.225,2.9
1729951381.325,1.54
1729951381.427,2.59
1729951381.531,5.13
1729951381.63,3.85
1729951381.731,3.88
1729951381.833,5.06
1729951381.933,5.49
1729951382.036,7.08
1729951382.134,5.67
1729951382.236,6.39
1729951382.336,5.96
1729951382.44,8.75
1729951382.541,9.44
1729951382.633,0.869
1729951382.745,10.0
1729951382.837,1.29
1729951382.938,1.35
1729951383.039,2.06
1729951383.139,1.63
1729951383.239,1.9
1729951383.341,2.01
1729951383.441,1.84
1729951383.542,2.09
1729951383.643,1.7
1729951383.744,2.24
1729951383.844,1.37
1729951383.945,1.46
1729951384.045,1.48
1729951384.146,1.15
1729951384.247,2.23
1729951384.351,4.99
1729951384.448,2.3
1729951384.548,1.54
1729951384.649,1.11
1729951384.749,1.44
1729951384.851,2.58
1729951384.953,3.61
1729951385.052,1.08
1729951385.153,1.79
1729951385.253,0.901
1729951385.354,1.7
1729951385.458,4.45
1729951385.556,1.01
1729951385.657,2.4
1729951385.757,1.36
1729951385.86,4.2
1729951385.96,2.42
1729951386.059,1.22
1729951386.161,2.61
1729951386.262,2.65
1729951386.362,1.67
1729951386.463,1.61
1729951386.563,1.0
1729951386.664,1.72
1729951386.766,1.62
1729951386.867,2.5
1729951386.967,1.63
1729951387.068,1.44
1729951387.168,1.07
1729951387.27,2.55
1729951387.371,3.29
1729951387.47,1.57
1729951387.572,1.55
1729951387.673,3.07
1729951387.777,6.19
1729951387.875,4.17
1729951387.975,3.35
1729951388.076,3.44
1729951388.178,5.07
1729951388.279,5.78
1729951388.38,5.44
1729951388.481,5.75
1729951388.584,7.12
1729951388.686,8.66
1729951388.786,8.56
1729951388.885,6.52
1729951388.98,1.27
1729951389.081,1.52
1729951389.182,1.35
