1729950878.347036652: PING 192.168.6.11 (192.168.6.11) 56(84) bytes of data.
1729950878.349904713: 64 bytes from 192.168.6.11: icmp_seq=1 ttl=64 time=0.925 ms
1729950878.447618024: 64 bytes from 192.168.6.11: icmp_seq=2 ttl=64 time=0.892 ms
1729950878.549699506: 64 bytes from 192.168.6.11: icmp_seq=3 ttl=64 time=3.05 ms
1729950878.648661057: 64 bytes from 192.168.6.11: icmp_seq=4 ttl=64 time=1.85 ms
1729950878.751621633: 64 bytes from 192.168.6.11: icmp_seq=5 ttl=64 time=3.76 ms
1729950878.851278661: 64 bytes from 192.168.6.11: icmp_seq=6 ttl=64 time=2.78 ms
1729950878.951772546: 64 bytes from 192.168.6.11: icmp_seq=7 ttl=64 time=2.50 ms
1729950879.052675713: 64 bytes from 192.168.6.11: icmp_seq=8 ttl=64 time=2.28 ms
1729950879.156117338: 64 bytes from 192.168.6.11: icmp_seq=9 ttl=64 time=5.56 ms
1729950879.255518992: 64 bytes from 192.168.6.11: icmp_seq=10 ttl=64 time=4.07 ms
1729950879.355182260: 64 bytes from 192.168.6.11: icmp_seq=11 ttl=64 time=3.49 ms
1729950879.457156477: 64 bytes from 192.168.6.11: icmp_seq=12 ttl=64 time=4.33 ms
1729950879.557769553: 64 bytes from 192.168.6.11: icmp_seq=13 ttl=64 time=4.57 ms
1729950879.659265685: 64 bytes from 192.168.6.11: icmp_seq=14 ttl=64 time=5.45 ms
1729950879.760925419: 64 bytes from 192.168.6.11: icmp_seq=15 ttl=64 time=6.59 ms
1729950879.862952864: 64 bytes from 192.168.6.11: icmp_seq=16 ttl=64 time=7.70 ms
1729950879.963395728: 64 bytes from 192.168.6.11: icmp_seq=17 ttl=64 time=7.39 ms
1729950880.065506584: 64 bytes from 192.168.6.11: icmp_seq=18 ttl=64 time=8.64 ms
1729950880.165194365: 64 bytes from 192.168.6.11: icmp_seq=19 ttl=64 time=7.64 ms
1729950880.267280159: 64 bytes from 192.168.6.11: icmp_seq=20 ttl=64 time=8.66 ms
1729950880.366498418: 64 bytes from 192.168.6.11: icmp_seq=21 ttl=64 time=6.65 ms
1729950880.462648088: 64 bytes from 192.168.6.11: icmp_seq=22 ttl=64 time=1.96 ms
1729950880.566280659: 64 bytes from 192.168.6.11: icmp_seq=23 ttl=64 time=4.81 ms
1729950880.663322934: 64 bytes from 192.168.6.11: icmp_seq=24 ttl=64 time=1.20 ms
1729950880.764950406: 64 bytes from 192.168.6.11: icmp_seq=25 ttl=64 time=1.73 ms
1729950880.865116652: 64 bytes from 192.168.6.11: icmp_seq=26 ttl=64 time=0.895 ms
1729950880.967589174: 64 bytes from 192.168.6.11: icmp_seq=27 ttl=64 time=0.715 ms
1729950881.073092597: 64 bytes from 192.168.6.11: icmp_seq=28 ttl=64 time=1.78 ms
1729950881.172577691: 64 bytes from 192.168.6.11: icmp_seq=29 ttl=64 time=0.800 ms
1729950881.276455739: 64 bytes from 192.168.6.11: icmp_seq=30 ttl=64 time=1.76 ms
1729950881.376723095: 64 bytes from 192.168.6.11: icmp_seq=31 ttl=64 time=0.974 ms
1729950881.477816388: 64 bytes from 192.168.6.11: icmp_seq=32 ttl=64 time=1.40 ms
1729950881.578732366: 64 bytes from 192.168.6.11: icmp_seq=33 ttl=64 time=1.74 ms
