Time,F4C1Bitrate,F4C1Jitter,F4C1Datagrams,F4C1Delay,F4S1Bitrate,F4S1Jitter,F4S1Datagrams,F4S1Delay,F4F1Bitrate,F4F1Jitter,F4F1Datagrams,F4F1Delay,F4F2Bitrate,F4F2Jitter,F4F2Datagrams,F4F2Delay
1729951380.77,6.4,1.267,0.0,0.85,40.0,0.772,0.0,2.53,19.2,0.686,0.0,2.76,20.8,1.412,0.0,2.24
1729951380.87,8.0,1.301,0.0,0.903,38.4,0.511,0.0,3.33,20.8,0.848,0.0,3.105,19.2,1.459,0.0,2.97
1729951380.97,8.0,1.385,0.0,1.47,40.0,0.448,0.0,4.3,19.2,0.81,0.0,3.45,20.8,1.386,0.0,2.31
1729951381.07,8.0,1.607,0.0,1.77,41.6,0.605,0.0,4.29,19.2,0.902,0.0,1.77,19.1,1.543,0.0,3.22
1729951381.17,8.0,1.674,0.0,0.945,41.6,0.461,0.0,4.73,20.8,0.795,0.0,2.71,19.2,1.426,0.0,2.15
1729951381.27,8.01,1.431,0.0,1.75,38.4,0.638,0.0,4.55,20.8,0.838,0.0,3.99,20.8,1.506,0.0,3.35
1729951381.37,8.0,1.315,0.0,1.1,41.6,0.495,0.0,5.43,19.2,0.978,0.0,3.425,20.8,1.536,0.0,5.63
1729951381.47,8.0,1.316,0.0,1.65,40.0,0.51,0.0,6.31,20.8,0.927,0.0,2.86,19.2,1.431,0.0,2.51
1729951381.57,8.0,1.281,0.0,1.293,38.4,0.631,0.0,7.33,19.2,0.933,0.0,2.67,20.8,1.535,0.0,2.97
1729951381.67,8.01,1.257,0.0,0.936,41.6,0.475,0.0,7.81,20.8,0.865,0.0,3.77,19.2,1.31,0.0,2.19
1729951381.77,7.99,1.234,0.0,1.95,40.0,0.512,0.0,8.8,19.2,0.867,0.0,3.77,20.8,1.317,0.0,5.55
1729951381.87,8.0,1.379,0.0,2.47,38.4,0.499,0.0,4.812,20.8,1.002,0.0,4.027,19.2,1.394,0.0,1.98
1729951381.97,8.0,1.49,0.0,4.89,40.0,0.536,0.0,0.825,19.2,1.136,0.0,4.283,20.8,1.43,0.0,3.05
1729951382.07,8.0,1.306,0.0,7.31,40.0,0.607,0.0,1.32,20.8,1.016,0.0,4.54,19.2,1.504,0.0,2.0
1729951382.17,8.0,1.23,0.0,4.11,40.0,0.542,0.0,1.14,19.2,0.947,0.0,2.42,20.8,1.277,0.0,3.08
1729951382.27,8.0,1.01,0.0,3.62,41.6,0.387,0.0,0.83,20.8,0.742,0.0,3.6,19.2,1.379,0.0,7.64
1729951382.37,9.6,1.021,0.0,5.63,40.0,0.66,0.0,1.207,19.2,1.104,0.0,3.28,20.8,1.425,0.0,1.98
1729951382.47,8.0,1.064,0.0,7.64,40.0,0.449,0.0,1.583,19.2,1.079,0.0,2.31,19.2,1.572,0.0,2.75
1729951382.57,6.4,1.168,0.0,6.57,38.4,0.589,0.0,1.96,20.8,0.868,0.0,3.98,20.8,1.355,0.0,2.0
1729951382.67,8.0,1.347,0.0,5.83,40.0,0.642,0.0,1.19,19.2,1.023,0.0,2.1,19.2,1.809,0.0,3.53
1729951382.77,9.6,1.476,0.0,6.64,41.6,0.533,0.0,2.2,20.8,0.999,0.0,3.14,20.8,1.792,0.0,5.47
1729951382.87,8.01,1.182,0.0,8.53,40.0,0.54,0.0,1.5,19.2,1.056,0.0,2.36,19.2,1.645,0.0,4.445
1729951382.97,6.39,0.994,0.0,6.09,40.0,0.584,0.0,1.87,20.8,1.145,0.0,2.82,20.8,1.602,0.0,3.42
