Time,Bitrate,Jitter,Datagrams,Delay
1729951379.53,20.8,0.327,0.0,0.923
1729951379.63,19.2,0.536,0.0,1.03
1729951379.73,20.8,0.502,0.0,2.16
1729951379.83,19.2,0.745,0.0,1.48
1729951379.93,20.8,0.671,0.0,2.47
1729951380.03,20.8,0.670,0.0,1.58
1729951380.13,19.2,0.533,0.0,0.839
1729951380.23,19.2,0.706,0.0,1.0
1729951380.33,20.8,0.819,0.0,0.825
1729951380.43,20.8,0.774,0.0,1.64
1729951380.53,19.2,0.840,0.0,0.848
1729951380.63,20.8,0.770,0.0,1.74
1729951380.73,19.2,0.686,0.0,2.76
1729951380.83,20.8,0.848,0.0,NA
1729951380.93,19.2,0.810,0.0,3.45
1729951381.03,19.2,0.902,0.0,1.77
1729951381.13,20.8,0.795,0.0,2.71
1729951381.23,20.8,0.838,0.0,3.99
1729951381.33,19.2,0.978,0.0,NA
1729951381.43,20.8,0.927,0.0,2.86
1729951381.53,19.2,0.933,0.0,2.67
1729951381.63,20.8,0.865,0.0,3.77
1729951381.73,19.2,0.867,0.0,3.77
1729951381.83,20.8,1.002,0.0,NA
1729951381.93,19.2,1.136,0.0,NA
1729951382.03,20.8,1.016,0.0,4.54
1729951382.13,19.2,0.947,0.0,2.42
1729951382.23,20.8,0.742,0.0,3.6
1729951382.33,19.2,1.104,0.0,3.28
1729951382.43,19.2,1.079,0.0,2.31
1729951382.53,20.8,0.868,0.0,3.98
1729951382.63,19.2,1.023,0.0,2.1
1729951382.73,20.8,0.999,0.0,3.14
1729951382.83,19.2,1.056,0.0,2.36
1729951382.93,20.8,1.145,0.0,2.82
1729951383.03,19.2,0.864,0.0,3.31
1729951383.13,20.8,0.741,0.0,2.11
1729951383.23,19.2,0.708,0.0,3.53
1729951383.33,19.2,0.502,0.0,2.23
1729951383.43,20.8,0.687,0.0,3.54
1729951383.53,20.8,0.747,0.0,2.35
1729951383.63,20.8,0.643,0.0,2.63
1729951383.73,19.2,1.119,0.0,2.8
1729951383.83,19.2,0.713,0.0,4.14
1729951383.93,20.8,0.769,0.0,3.27
1729951384.03,19.2,0.812,0.0,2.29
1729951384.13,20.8,0.768,0.0,3.2
1729951384.23,20.8,0.778,0.0,3.91
1729951384.33,19.1,0.634,0.0,2.43
1729951384.43,19.3,0.800,0.0,3.19
1729951384.53,20.8,0.776,0.0,3.97
1729951384.63,20.8,0.786,0.0,5.24
