Time,Bitrate,Jitter,Datagrams
1729950878.34,20.8,1.116,0.0
1729950878.44,19.2,1.253,0.0
1729950878.54,20.8,1.282,0.0
1729950878.64,19.2,1.469,0.0
1729950878.74,20.8,1.716,0.0
1729950878.84,19.2,1.695,0.0
1729950878.94,20.8,1.714,0.0
1729950879.04,19.2,1.936,0.0
1729950879.14,20.8,1.764,0.0
1729950879.24,20.8,1.767,0.0
1729950879.34,19.2,1.685,0.0
1729950879.44,20.8,1.639,0.0
1729950879.54,19.2,1.407,0.0
1729950879.64,20.8,1.693,0.0
1729950879.74,19.2,1.829,0.0
1729950879.84,19.2,1.644,0.0
1729950879.94,19.2,1.782,0.0
1729950880.04,20.8,1.372,0.0
1729950880.14,19.2,1.248,0.0
1729950880.24,20.8,1.486,0.0
1729950880.34,19.2,1.053,0.0
1729950880.44,20.8,1.231,0.0
1729950880.54,20.8,1.259,0.0
1729950880.64,19.2,1.092,0.0
1729950880.74,20.8,0.902,0.0
1729950880.84,20.8,1.130,0.0
1729950880.94,19.2,1.166,0.0
1729950881.04,20.8,0.965,0.0
1729950881.14,19.2,0.980,0.0
1729950881.24,19.2,1.152,0.0
1729950881.34,20.8,1.202,0.0
1729950881.44,19.2,1.608,0.0
1729950881.54,20.8,1.377,0.0
1729950881.64,19.2,1.168,0.0
1729950881.74,20.8,1.262,0.0
1729950881.84,19.2,1.268,0.0
1729950881.94,20.8,1.328,0.0
1729950882.04,19.2,1.324,0.0
1729950882.14,20.8,1.134,0.0
1729950882.24,19.2,1.173,0.0
1729950882.34,20.8,1.509,0.0
1729950882.44,19.2,1.762,0.0
1729950882.54,20.8,1.432,0.0
1729950882.64,19.2,1.415,0.0
1729950882.74,20.8,1.348,0.0
1729950882.84,19.2,1.647,0.0
1729950882.94,20.8,1.609,0.0
1729950883.04,19.2,1.435,0.0
1729950883.14,20.8,1.388,0.0
1729950883.24,19.2,1.346,0.0
1729950883.34,20.8,1.695,0.0
1729950883.44,19.2,1.789,0.0
1729950883.54,20.8,1.503,0.0
1729950883.64,19.2,1.377,0.0
1729950883.74,20.8,1.303,0.0
1729950883.84,19.2,1.671,0.0
1729950883.94,20.8,1.776,0.0
1729950884.04,19.2,1.591,0.0
1729950884.14,20.8,1.499,0.0
1729950884.24,19.2,1.345,0.0
1729950884.34,19.2,1.582,0.0
1729950884.44,20.8,1.641,0.0
1729950884.54,19.2,1.271,0.0
1729950884.64,20.8,1.214,0.0
1729950884.74,20.8,1.053,0.0
1729950884.84,19.2,1.365,0.0
1729950884.94,20.8,1.559,0.0
1729950885.04,19.2,1.358,0.0
1729950885.14,20.8,1.147,0.0
1729950885.24,20.8,0.921,0.0
1729950885.34,19.2,1.183,0.0
1729950885.44,19.2,1.180,0.0
1729950885.54,20.8,1.238,0.0
1729950885.64,20.8,1.158,0.0
1729950885.74,19.2,1.166,0.0
1729950885.84,19.2,1.442,0.0
1729950885.94,20.8,1.436,0.0
1729950886.04,20.8,1.307,0.0
1729950886.14,19.2,1.337,0.0
1729950886.24,20.8,1.176,0.0
1729950886.34,19.2,1.388,0.0
1729950886.44,20.8,1.677,0.0
1729950886.54,19.2,1.522,0.0
1729950886.64,19.2,1.507,0.0
1729950886.74,20.8,1.238,0.0
1729950886.84,19.2,1.648,0.0
1729950886.94,20.8,1.528,0.0
1729950887.04,19.2,1.456,0.0
1729950887.14,20.8,1.411,0.0
1729950887.24,19.2,1.633,0.0
1729950887.34,20.8,1.599,0.0
1729950887.44,19.2,1.812,0.0
1729950887.54,20.8,1.819,0.0
1729950887.64,19.2,1.565,0.0
1729950887.74,20.8,1.717,0.0
1729950887.84,19.2,1.510,0.0
1729950887.94,20.8,1.682,0.0
1729950888.04,19.2,1.666,0.0
1729950888.14,20.8,1.422,0.0
1729950888.24,19.2,1.558,0.0
1729950888.34,20.8,1.449,0.0
1729950888.44,19.2,1.748,0.0
1729950888.54,20.8,1.796,0.0
1729950888.64,19.2,1.628,0.0
1729950888.74,19.2,1.720,0.0
1729950888.84,20.8,1.262,0.0
1729950888.94,19.2,1.259,0.0
1729950889.04,20.8,1.325,0.0
1729950889.14,20.8,1.321,0.0
1729950889.24,19.2,1.420,0.0
1729950889.34,20.8,1.385,0.0
1729950889.44,20.8,1.387,0.0
1729950889.54,19.2,1.373,0.0
1729950889.64,19.2,1.412,0.0
1729950889.74,20.8,1.455,0.0
1729950889.84,19.2,1.532,0.0
1729950889.94,20.8,1.486,0.0
1729950890.04,19.2,1.706,0.0
1729950890.14,20.8,1.786,0.0
1729950890.24,19.2,1.662,0.0
1729950890.34,20.8,1.495,0.0
1729950890.44,19.2,1.602,0.0
1729950890.54,20.8,1.805,0.0
1729950890.64,19.2,1.797,0.0
1729950890.74,20.8,1.845,0.0
1729950890.84,19.2,1.813,0.0
1729950890.94,20.8,1.807,0.0
1729950891.04,19.2,1.928,0.0
1729950891.14,20.8,1.800,0.0
1729950891.24,19.2,1.580,0.0
1729950891.34,20.8,1.587,0.0
1729950891.44,19.2,1.551,0.0
1729950891.54,20.8,1.963,0.0
1729950891.64,19.2,2.316,0.0
1729950891.74,20.8,2.008,0.0
1729950891.84,19.2,1.817,0.0
1729950891.94,20.8,1.513,0.0
1729950892.04,19.2,1.651,0.0
1729950892.14,19.2,1.920,0.0
1729950892.24,20.8,1.792,0.0
1729950892.34,19.2,1.670,0.0
1729950892.44,20.8,1.465,0.0
1729950892.54,19.2,1.628,0.0
1729950892.64,20.8,1.818,0.0
1729950892.74,19.2,1.618,0.0
1729950892.84,20.8,1.402,0.0
1729950892.94,19.2,1.188,0.0
1729950893.04,19.0,1.228,0.0
1729950893.14,21.0,1.608,0.0
1729950893.24,20.8,1.393,0.0
1729950893.34,20.8,1.478,0.0
1729950893.44,19.2,1.422,0.0
1729950893.54,20.8,1.228,0.0
1729950893.64,19.2,1.527,0.0
1729950893.74,20.8,1.281,0.0
1729950893.84,20.8,1.266,0.0
1729950893.94,19.2,1.697,0.0
1729950894.04,19.2,1.408,0.0
1729950894.14,20.8,1.413,0.0
1729950894.24,20.8,1.171,0.0
1729950894.34,19.2,1.371,0.0
1729950894.44,20.8,1.248,0.0
1729950894.54,19.2,1.216,0.0
1729950894.64,19.2,1.265,0.0
1729950894.74,20.8,1.361,0.0
1729950894.84,19.2,1.336,0.0
1729950894.94,20.8,1.235,0.0
1729950895.04,19.2,1.354,0.0
1729950895.14,20.8,1.643,0.0
1729950895.24,19.2,1.660,0.0
1729950895.34,20.8,1.739,0.0
1729950895.44,19.2,1.626,0.0
1729950895.54,20.8,1.716,0.0
1729950895.64,19.2,2.028,0.0
1729950895.74,20.8,1.971,0.0
1729950895.84,19.2,1.921,0.0
1729950895.94,20.8,1.887,0.0
1729950896.04,19.2,1.935,0.0
1729950896.14,20.8,2.286,0.0
1729950896.24,20.8,1.999,0.0
1729950896.34,19.2,1.753,0.0
1729950896.44,20.8,1.829,0.0
1729950896.54,19.2,1.843,0.0
1729950896.64,19.2,2.152,0.0
