Time,Bitrate,Jitter,Datagrams,Delay
1729950879.56,19.2,1.407,0.0,5.37
1729950879.66,20.8,1.693,0.0,5.9
1729950879.76,19.2,1.829,0.0,3.55
1729950879.86,19.2,1.644,0.0,5.26
1729950879.96,19.2,1.782,0.0,8.62
1729950880.06,20.8,1.372,0.0,6.65
1729950880.16,19.2,1.248,0.0,5.53
1729950880.26,20.8,1.486,0.0,5.6
1729950880.36,19.2,1.053,0.0,5.98
1729950880.46,20.8,1.231,0.0,6.36
1729950880.56,20.8,1.259,0.0,7.6
1729950880.66,19.2,1.092,0.0,8.09
1729950880.76,20.8,0.902,0.0,9.86
1729950880.86,20.8,1.13,0.0,12.78
1729950880.96,19.2,1.166,0.0,15.7
1729950881.06,20.8,0.965,0.0,12.5
1729950881.16,19.2,0.98,0.0,11.3
1729950881.26,19.2,1.152,0.0,13.7
1729950881.36,20.8,1.202,0.0,15.2
1729950881.46,19.2,1.608,0.0,18.2
1729950881.56,20.8,1.377,0.0,17.5
1729950881.66,19.2,1.168,0.0,11.8
1729950881.76,20.8,1.262,0.0,9.43
1729950881.86,19.2,1.268,0.0,5.17
1729950881.96,20.8,1.328,0.0,5.96
1729950882.06,19.2,1.324,0.0,5.2
1729950882.16,20.8,1.134,0.0,6.8
1729950882.26,19.2,1.173,0.0,3.8
1729950882.36,20.8,1.509,0.0,5.84
1729950882.46,19.2,1.762,0.0,6.16
1729950882.56,20.8,1.432,0.0,4.88
1729950882.66,19.2,1.415,0.0,5.66
1729950882.76,20.8,1.348,0.0,4.21
1729950882.86,19.2,1.647,0.0,4.58
1729950882.96,20.8,1.609,0.0,3.54
1729950883.06,19.2,1.435,0.0,3.67
1729950883.16,20.8,1.388,0.0,3.84
1729950883.26,19.2,1.346,0.0,2.61
1729950883.36,20.8,1.695,0.0,3.75
1729950883.46,19.2,1.789,0.0,3.65
1729950883.56,20.8,1.503,0.0,2.4
1729950883.66,19.2,1.377,0.0,4.23
1729950883.76,20.8,1.303,0.0,3.49
1729950883.86,19.2,1.671,0.0,4.12
1729950883.96,20.8,1.776,0.0,4.09
1729950884.06,19.2,1.591,0.0,3.4
1729950884.16,20.8,1.499,0.0,3.42
1729950884.26,19.2,1.345,0.0,2.65
1729950884.36,19.2,1.582,0.0,5.3
1729950884.46,20.8,1.641,0.0,4.2
1729950884.56,19.2,1.271,0.0,4.98
1729950884.66,20.8,1.214,0.0,7.82
1729950884.76,20.8,1.053,0.0,6.09
1729950884.86,19.2,1.365,0.0,6.78
1729950884.96,20.8,1.559,0.0,4.47
1729950885.06,19.2,1.358,0.0,5.79
1729950885.16,20.8,1.147,0.0,5.54
1729950885.26,20.8,0.921,0.0,4.41
1729950885.36,19.2,1.183,0.0,5.69
1729950885.46,19.2,1.18,0.0,3.59
1729950885.56,20.8,1.238,0.0,5.35
1729950885.66,20.8,1.158,0.0,5.23
1729950885.76,19.2,1.166,0.0,5.61
1729950885.86,19.2,1.442,0.0,5.61
1729950885.96,20.8,1.436,0.0,5.47
1729950886.06,20.8,1.307,0.0,7.34
1729950886.16,19.2,1.337,0.0,6.77
1729950886.26,20.8,1.176,0.0,7.51
1729950886.36,19.2,1.388,0.0,5.55
1729950886.46,20.8,1.677,0.0,7.31
1729950886.56,19.2,1.522,0.0,8.66
1729950886.66,19.2,1.507,0.0,9.79
1729950886.76,20.8,1.238,0.0,12.5
1729950886.86,19.2,1.648,0.0,9.37
1729950886.96,20.8,1.528,0.0,9.23
1729950887.06,19.2,1.456,0.0,12.0
1729950887.16,20.8,1.411,0.0,11.8
1729950887.26,19.2,1.633,0.0,16.0
1729950887.36,20.8,1.599,0.0,14.9
1729950887.46,19.2,1.812,0.0,16.0
1729950887.56,20.8,1.819,0.0,18.4
1729950887.66,19.2,1.565,0.0,17.9
1729950887.76,20.8,1.717,0.0,14.0
1729950887.86,19.2,1.51,0.0,10.5
1729950887.96,20.8,1.682,0.0,11.3
1729950888.06,19.2,1.666,0.0,7.0
1729950888.16,20.8,1.422,0.0,6.92
1729950888.26,19.2,1.558,0.0,8.29
1729950888.36,20.8,1.449,0.0,8.86
1729950888.46,19.2,1.748,0.0,7.4
1729950888.56,20.8,1.796,0.0,7.63
1729950888.66,19.2,1.628,0.0,6.34
1729950888.76,19.2,1.72,0.0,6.52
1729950888.86,20.8,1.262,0.0,9.19
1729950888.96,19.2,1.259,0.0,7.42
1729950889.06,20.8,1.325,0.0,7.19
1729950889.16,20.8,1.321,0.0,6.73
1729950889.26,19.2,1.42,0.0,6.38
1729950889.36,20.8,1.385,0.0,11.1
1729950889.46,20.8,1.387,0.0,5.86
1729950889.56,19.2,1.373,0.0,5.61
1729950889.66,19.2,1.412,0.0,6.72
1729950889.76,20.8,1.455,0.0,7.32
1729950889.86,19.2,1.532,0.0,12.7
1729950889.96,20.8,1.486,0.0,9.41
1729950890.06,19.2,1.706,0.0,8.02
1729950890.16,20.8,1.786,0.0,9.98
1729950890.26,19.2,1.662,0.0,7.75
1729950890.36,20.8,1.495,0.0,11.7
1729950890.46,19.2,1.602,0.0,9.08
1729950890.56,20.8,1.805,0.0,9.47
1729950890.66,19.2,1.797,0.0,11.0
1729950890.76,20.8,1.845,0.0,10.8
1729950890.86,19.2,1.813,0.0,10.6
1729950890.96,20.8,1.807,0.0,8.32
1729950891.06,19.2,1.928,0.0,9.4
1729950891.16,20.8,1.8,0.0,9.21
1729950891.26,19.2,1.58,0.0,10.7
1729950891.36,20.8,1.587,0.0,10.2
1729950891.46,19.2,1.551,0.0,9.59
1729950891.56,20.8,1.963,0.0,10.1
1729950891.66,19.2,2.316,0.0,9.04
1729950891.76,20.8,2.008,0.0,12.8
1729950891.86,19.2,1.817,0.0,9.12
1729950891.96,20.8,1.513,0.0,8.25
1729950892.06,19.2,1.651,0.0,9.19
1729950892.16,19.2,1.92,0.0,13.5
1729950892.26,20.8,1.792,0.0,13.1
1729950892.36,19.2,1.67,0.0,9.21
1729950892.46,20.8,1.465,0.0,9.83
1729950892.56,19.2,1.628,0.0,12.2
