Time,Bitrate,Jitter,Datagrams
1729950878.36,41.5,0.508,0.0
1729950878.46,40.0,0.655,0.0
1729950878.56,40.0,0.760,0.0
1729950878.66,40.0,0.676,0.0
1729950878.76,40.0,0.638,0.0
1729950878.86,40.0,0.645,0.0
1729950878.96,40.0,0.803,0.0
1729950879.06,40.0,0.838,0.0
1729950879.16,40.0,0.701,0.0
1729950879.26,40.0,0.666,0.0
1729950879.36,40.0,0.619,0.0
1729950879.46,40.0,0.897,0.0
1729950879.56,40.0,0.950,0.0
1729950879.66,40.0,0.808,0.0
1729950879.76,40.0,0.744,0.0
1729950879.86,38.4,0.679,0.0
1729950879.96,41.6,0.872,0.0
1729950880.06,40.0,0.836,0.0
1729950880.16,38.4,0.718,0.0
1729950880.26,40.0,0.623,0.0
1729950880.36,40.0,0.512,0.0
1729950880.46,40.0,0.379,0.0
1729950880.56,41.6,0.417,0.0
1729950880.66,40.0,0.357,0.0
1729950880.76,40.0,0.413,0.0
1729950880.86,40.0,0.520,0.0
1729950880.96,40.0,0.350,0.0
1729950881.06,40.0,0.364,0.0
1729950881.16,40.0,0.347,0.0
1729950881.26,40.0,0.504,0.0
1729950881.36,40.0,0.590,0.0
1729950881.46,40.0,0.448,0.0
1729950881.56,40.0,0.425,0.0
1729950881.66,40.0,0.442,0.0
1729950881.76,40.0,0.460,0.0
1729950881.86,40.0,0.564,0.0
1729950881.96,40.0,0.508,0.0
1729950882.06,40.0,0.479,0.0
1729950882.16,40.0,0.461,0.0
1729950882.26,40.0,0.644,0.0
1729950882.36,40.0,0.676,0.0
1729950882.46,40.0,0.591,0.0
1729950882.56,40.0,0.526,0.0
1729950882.66,40.0,0.492,0.0
1729950882.76,40.0,0.746,0.0
1729950882.86,40.0,0.699,0.0
1729950882.96,40.0,0.503,0.0
1729950883.06,40.0,0.594,0.0
1729950883.16,40.0,0.589,0.0
1729950883.26,40.0,0.735,0.0
1729950883.36,40.0,0.913,0.0
1729950883.46,40.0,0.601,0.0
1729950883.56,40.0,0.753,0.0
1729950883.66,40.0,0.730,0.0
1729950883.76,40.0,0.821,0.0
1729950883.86,40.0,0.735,0.0
1729950883.96,39.9,0.667,0.0
1729950884.06,40.0,0.772,0.0
1729950884.16,40.0,0.780,0.0
1729950884.26,38.4,0.859,0.0
1729950884.36,41.6,0.940,0.0
1729950884.46,40.0,0.672,0.0
1729950884.56,38.4,0.737,0.0
1729950884.66,40.0,0.431,0.0
1729950884.76,40.0,0.546,0.0
1729950884.86,41.6,0.496,0.0
1729950884.96,40.0,0.446,0.0
1729950885.06,40.0,0.396,0.0
1729950885.16,40.0,0.453,0.0
1729950885.26,40.0,0.470,0.0
1729950885.36,40.0,0.518,0.0
1729950885.46,40.0,0.421,0.0
1729950885.56,39.9,0.395,0.0
1729950885.66,40.0,0.522,0.0
1729950885.76,40.0,0.604,0.0
1729950885.86,40.0,0.571,0.0
1729950885.96,40.1,0.480,0.0
1729950886.06,40.0,0.478,0.0
1729950886.16,40.1,0.530,0.0
1729950886.26,39.9,0.690,0.0
1729950886.36,40.0,0.582,0.0
1729950886.46,40.0,0.475,0.0
1729950886.56,39.9,0.512,0.0
1729950886.66,40.0,0.604,0.0
1729950886.76,40.1,0.674,0.0
1729950886.86,39.9,0.620,0.0
1729950886.96,40.0,0.567,0.0
1729950887.06,40.0,0.582,0.0
1729950887.16,40.0,0.738,0.0
1729950887.26,40.0,0.600,0.0
1729950887.36,40.0,0.693,0.0
1729950887.46,40.0,0.640,0.0
1729950887.56,40.0,0.550,0.0
1729950887.66,40.0,0.703,0.0
1729950887.76,40.0,0.749,0.0
1729950887.86,40.0,0.725,0.0
1729950887.96,40.0,0.725,0.0
1729950888.06,40.0,0.698,0.0
1729950888.16,39.9,0.831,0.0
1729950888.26,40.0,0.846,0.0
1729950888.36,40.0,0.854,0.0
1729950888.46,38.4,0.856,0.0
1729950888.56,41.7,0.743,0.0
1729950888.66,38.3,0.860,0.0
1729950888.76,40.1,0.700,0.0
1729950888.86,40.0,0.790,0.0
1729950888.96,40.0,0.503,0.0
1729950889.06,41.6,0.503,0.0
1729950889.16,40.0,0.581,0.0
1729950889.26,40.0,0.509,0.0
1729950889.36,40.0,0.411,0.0
1729950889.46,40.0,0.418,0.0
1729950889.56,40.0,0.499,0.0
1729950889.66,40.0,0.653,0.0
1729950889.76,40.0,0.605,0.0
1729950889.86,40.1,0.571,0.0
1729950889.96,40.0,0.687,0.0
1729950890.06,40.0,0.867,0.0
1729950890.16,40.0,0.590,0.0
1729950890.26,40.1,0.594,0.0
1729950890.36,39.9,0.622,0.0
1729950890.46,40.0,0.721,0.0
1729950890.56,40.0,0.868,0.0
1729950890.66,40.0,0.718,0.0
1729950890.76,40.0,0.715,0.0
1729950890.86,40.0,0.717,0.0
1729950890.96,40.0,0.781,0.0
1729950891.06,38.4,0.876,0.0
1729950891.16,41.6,0.710,0.0
1729950891.26,40.0,0.714,0.0
1729950891.36,39.9,0.721,0.0
1729950891.46,40.1,0.832,0.0
1729950891.56,38.4,0.898,0.0
1729950891.66,41.6,0.741,0.0
1729950891.76,39.9,0.905,0.0
1729950891.86,40.0,0.784,0.0
1729950891.96,38.4,0.880,0.0
1729950892.06,40.0,0.917,0.0
1729950892.16,41.6,0.812,0.0
1729950892.26,40.0,0.699,0.0
1729950892.36,38.4,0.734,0.0
1729950892.46,40.0,0.846,0.0
1729950892.56,40.1,0.863,0.0
1729950892.66,39.9,0.622,0.0
1729950892.76,40.0,0.706,0.0
1729950892.86,40.0,0.747,0.0
1729950892.96,39.8,0.791,0.0
1729950893.06,40.1,0.828,0.0
1729950893.16,40.0,0.396,0.0
1729950893.26,40.0,0.406,0.0
1729950893.36,41.6,0.322,0.0
1729950893.46,38.3,0.426,0.0
1729950893.56,41.6,0.455,0.0
