1729950878.513784661: PING 192.168.6.31 (192.168.6.31) 56(84) bytes of data.
1729950878.516788763: 64 bytes from 192.168.6.31: icmp_seq=1 ttl=63 time=4.13 ms
1729950878.615730289: 64 bytes from 192.168.6.31: icmp_seq=2 ttl=63 time=5.39 ms
1729950878.712091525: 64 bytes from 192.168.6.31: icmp_seq=3 ttl=63 time=1.67 ms
1729950878.814224244: 64 bytes from 192.168.6.31: icmp_seq=4 ttl=63 time=2.74 ms
1729950878.915076806: 64 bytes from 192.168.6.31: icmp_seq=5 ttl=63 time=3.04 ms
1729950879.015899307: 64 bytes from 192.168.6.31: icmp_seq=6 ttl=63 time=3.36 ms
1729950879.116508861: 64 bytes from 192.168.6.31: icmp_seq=7 ttl=63 time=3.17 ms
1729950879.215842938: 64 bytes from 192.168.6.31: icmp_seq=8 ttl=63 time=1.61 ms
1729950879.318870552: 64 bytes from 192.168.6.31: icmp_seq=9 ttl=63 time=4.01 ms
1729950879.416835945: 64 bytes from 192.168.6.31: icmp_seq=10 ttl=63 time=1.73 ms
1729950879.518374411: 64 bytes from 192.168.6.31: icmp_seq=11 ttl=63 time=2.88 ms
1729950879.619930630: 64 bytes from 192.168.6.31: icmp_seq=12 ttl=63 time=2.66 ms
1729950879.719687252: 64 bytes from 192.168.6.31: icmp_seq=13 ttl=63 time=1.49 ms
1729950879.821310408: 64 bytes from 192.168.6.31: icmp_seq=14 ttl=63 time=2.13 ms
1729950879.920277611: 64 bytes from 192.168.6.31: icmp_seq=15 ttl=63 time=1.57 ms
1729950880.022519693: 64 bytes from 192.168.6.31: icmp_seq=16 ttl=63 time=2.51 ms
1729950880.123370876: 64 bytes from 192.168.6.31: icmp_seq=17 ttl=63 time=2.81 ms
1729950880.223154209: 64 bytes from 192.168.6.31: icmp_seq=18 ttl=63 time=1.49 ms
1729950880.325922831: 64 bytes from 192.168.6.31: icmp_seq=19 ttl=63 time=2.87 ms
1729950880.424970562: 64 bytes from 192.168.6.31: icmp_seq=20 ttl=63 time=1.56 ms
1729950880.526605866: 64 bytes from 192.168.6.31: icmp_seq=21 ttl=63 time=2.80 ms
1729950880.627712402: 64 bytes from 192.168.6.31: icmp_seq=22 ttl=63 time=2.97 ms
1729950880.727323628: 64 bytes from 192.168.6.31: icmp_seq=23 ttl=63 time=2.08 ms
1729950880.827900086: 64 bytes from 192.168.6.31: icmp_seq=24 ttl=63 time=2.14 ms
1729950880.927751471: 64 bytes from 192.168.6.31: icmp_seq=25 ttl=63 time=1.53 ms
1729950881.030096307: 64 bytes from 192.168.6.31: icmp_seq=26 ttl=63 time=2.89 ms
1729950881.130211754: 64 bytes from 192.168.6.31: icmp_seq=27 ttl=63 time=2.52 ms
1729950881.232387330: 64 bytes from 192.168.6.31: icmp_seq=28 ttl=63 time=3.04 ms
1729950881.333414665: 64 bytes from 192.168.6.31: icmp_seq=29 ttl=63 time=3.90 ms
1729950881.431408040: 64 bytes from 192.168.6.31: icmp_seq=30 ttl=63 time=2.41 ms
1729950881.533918301: 64 bytes from 192.168.6.31: icmp_seq=31 ttl=63 time=3.71 ms
1729950881.632774185: 64 bytes from 192.168.6.31: icmp_seq=32 ttl=63 time=1.75 ms
1729950881.734426083: 64 bytes from 192.168.6.31: icmp_seq=33 ttl=63 time=2.39 ms
1729950881.835426674: 64 bytes from 192.168.6.31: icmp_seq=34 ttl=63 time=3.07 ms
1729950881.935023970: 64 bytes from 192.168.6.31: icmp_seq=35 ttl=63 time=2.02 ms
1729950882.037318806: 64 bytes from 192.168.6.31: icmp_seq=36 ttl=63 time=3.25 ms
1729950882.138482287: 64 bytes from 192.168.6.31: icmp_seq=37 ttl=63 time=4.62 ms
1729950882.238263183: 64 bytes from 192.168.6.31: icmp_seq=38 ttl=63 time=3.48 ms
1729950882.338550625: 64 bytes from 192.168.6.31: icmp_seq=39 ttl=63 time=2.70 ms
1729950882.439395136: 64 bytes from 192.168.6.31: icmp_seq=40 ttl=63 time=2.88 ms
1729950882.540415386: 64 bytes from 192.168.6.31: icmp_seq=41 ttl=63 time=3.47 ms
1729950882.645041448: 64 bytes from 192.168.6.31: icmp_seq=42 ttl=63 time=7.30 ms
1729950882.742315998: 64 bytes from 192.168.6.31: icmp_seq=43 ttl=63 time=4.19 ms
1729950882.844426428: 64 bytes from 192.168.6.31: icmp_seq=44 ttl=63 time=5.25 ms
1729950882.944663106: 64 bytes from 192.168.6.31: icmp_seq=45 ttl=63 time=4.90 ms
1729950883.050419014: 64 bytes from 192.168.6.31: icmp_seq=46 ttl=63 time=9.78 ms
1729950883.145349875: 64 bytes from 192.168.6.31: icmp_seq=47 ttl=63 time=3.20 ms
1729950883.248313879: 64 bytes from 192.168.6.31: icmp_seq=48 ttl=63 time=6.03 ms
1729950883.349571617: 64 bytes from 192.168.6.31: icmp_seq=49 ttl=63 time=6.44 ms
1729950883.449914070: 64 bytes from 192.168.6.31: icmp_seq=50 ttl=63 time=6.60 ms
1729950883.559507366: 64 bytes from 192.168.6.31: icmp_seq=51 ttl=63 time=15.2 ms
1729950883.651662946: 64 bytes from 192.168.6.31: icmp_seq=52 ttl=63 time=7.09 ms
1729950883.755110396: 64 bytes from 192.168.6.31: icmp_seq=53 ttl=63 time=9.37 ms
1729950883.857753871: 64 bytes from 192.168.6.31: icmp_seq=54 ttl=63 time=11.4 ms
1729950883.960495556: 64 bytes from 192.168.6.31: icmp_seq=55 ttl=63 time=14.5 ms
1729950884.062640273: 64 bytes from 192.168.6.31: icmp_seq=56 ttl=63 time=14.9 ms
1729950884.155431457: 64 bytes from 192.168.6.31: icmp_seq=57 ttl=63 time=7.72 ms
1729950884.256956376: 64 bytes from 192.168.6.31: icmp_seq=58 ttl=63 time=8.86 ms
1729950884.351298405: 64 bytes from 192.168.6.31: icmp_seq=59 ttl=63 time=2.02 ms
1729950884.454011878: 64 bytes from 192.168.6.31: icmp_seq=60 ttl=63 time=3.73 ms
1729950884.555051750: 64 bytes from 192.168.6.31: icmp_seq=61 ttl=63 time=4.30 ms
1729950884.654623400: 64 bytes from 192.168.6.31: icmp_seq=62 ttl=63 time=2.74 ms
1729950884.756155907: 64 bytes from 192.168.6.31: icmp_seq=63 ttl=63 time=3.09 ms
1729950884.855307759: 64 bytes from 192.168.6.31: icmp_seq=64 ttl=63 time=2.22 ms
1729950884.958230505: 64 bytes from 192.168.6.31: icmp_seq=65 ttl=63 time=5.02 ms
1729950885.055498499: 64 bytes from 192.168.6.31: icmp_seq=66 ttl=63 time=2.08 ms
1729950885.156628750: 64 bytes from 192.168.6.31: icmp_seq=67 ttl=63 time=2.64 ms
