1729950878.475613306: PING 192.168.6.12 (192.168.6.12) 56(84) bytes of data.
1729950878.479139822: 64 bytes from 192.168.6.12: icmp_seq=1 ttl=63 time=9.21 ms
1729950878.572194044: 64 bytes from 192.168.6.12: icmp_seq=2 ttl=63 time=6.15 ms
1729950878.670780343: 64 bytes from 192.168.6.12: icmp_seq=3 ttl=63 time=3.78 ms
1729950878.771930415: 64 bytes from 192.168.6.12: icmp_seq=4 ttl=63 time=4.42 ms
1729950878.872601246: 64 bytes from 192.168.6.12: icmp_seq=5 ttl=63 time=4.42 ms
1729950878.974763672: 64 bytes from 192.168.6.12: icmp_seq=6 ttl=63 time=6.36 ms
1729950879.072560116: 64 bytes from 192.168.6.12: icmp_seq=7 ttl=63 time=3.71 ms
1729950879.175338863: 64 bytes from 192.168.6.12: icmp_seq=8 ttl=63 time=5.00 ms
1729950879.273798566: 64 bytes from 192.168.6.12: icmp_seq=9 ttl=63 time=3.29 ms
1729950879.375210850: 64 bytes from 192.168.6.12: icmp_seq=10 ttl=63 time=4.59 ms
1729950879.479114355: 64 bytes from 192.168.6.12: icmp_seq=11 ttl=63 time=6.77 ms
1729950879.577226591: 64 bytes from 192.168.6.12: icmp_seq=12 ttl=63 time=4.24 ms
1729950879.678165772: 64 bytes from 192.168.6.12: icmp_seq=13 ttl=63 time=5.44 ms
1729950879.777041330: 64 bytes from 192.168.6.12: icmp_seq=14 ttl=63 time=3.13 ms
1729950879.878350090: 64 bytes from 192.168.6.12: icmp_seq=15 ttl=63 time=4.42 ms
1729950879.983759005: 64 bytes from 192.168.6.12: icmp_seq=16 ttl=63 time=9.12 ms
1729950880.082352757: 64 bytes from 192.168.6.12: icmp_seq=17 ttl=63 time=7.02 ms
1729950880.178155229: 64 bytes from 192.168.6.12: icmp_seq=18 ttl=63 time=3.28 ms
1729950880.281531235: 64 bytes from 192.168.6.12: icmp_seq=19 ttl=63 time=5.77 ms
1729950880.387925154: 64 bytes from 192.168.6.12: icmp_seq=20 ttl=63 time=11.1 ms
1729950880.483559168: 64 bytes from 192.168.6.12: icmp_seq=21 ttl=63 time=5.63 ms
1729950880.585713919: 64 bytes from 192.168.6.12: icmp_seq=22 ttl=63 time=7.03 ms
1729950880.686549527: 64 bytes from 192.168.6.12: icmp_seq=23 ttl=63 time=7.95 ms
1729950880.789000318: 64 bytes from 192.168.6.12: icmp_seq=24 ttl=63 time=9.77 ms
1729950880.897733592: 64 bytes from 192.168.6.12: icmp_seq=25 ttl=63 time=17.8 ms
1729950880.993537520: 64 bytes from 192.168.6.12: icmp_seq=26 ttl=63 time=12.5 ms
1729950881.093760692: 64 bytes from 192.168.6.12: icmp_seq=27 ttl=63 time=12.1 ms
1729950881.197336184: 64 bytes from 192.168.6.12: icmp_seq=28 ttl=63 time=15.0 ms
1729950881.299203359: 64 bytes from 192.168.6.12: icmp_seq=29 ttl=63 time=16.6 ms
1729950881.390905117: 64 bytes from 192.168.6.12: icmp_seq=30 ttl=63 time=7.54 ms
1729950881.486718581: 64 bytes from 192.168.6.12: icmp_seq=31 ttl=63 time=2.39 ms
1729950881.587559023: 64 bytes from 192.168.6.12: icmp_seq=32 ttl=63 time=2.63 ms
1729950881.687294342: 64 bytes from 192.168.6.12: icmp_seq=33 ttl=63 time=1.58 ms
1729950881.789502995: 64 bytes from 192.168.6.12: icmp_seq=34 ttl=63 time=2.40 ms
1729950881.888384239: 64 bytes from 192.168.6.12: icmp_seq=35 ttl=63 time=1.59 ms
1729950881.991277683: 64 bytes from 192.168.6.12: icmp_seq=36 ttl=63 time=2.66 ms
1729950882.093564110: 64 bytes from 192.168.6.12: icmp_seq=37 ttl=63 time=5.10 ms
1729950882.192326597: 64 bytes from 192.168.6.12: icmp_seq=38 ttl=63 time=2.85 ms
1729950882.294984951: 64 bytes from 192.168.6.12: icmp_seq=39 ttl=63 time=4.52 ms
1729950882.392266875: 64 bytes from 192.168.6.12: icmp_seq=40 ttl=63 time=1.59 ms
1729950882.495020381: 64 bytes from 192.168.6.12: icmp_seq=41 ttl=63 time=2.99 ms
1729950882.596633809: 64 bytes from 192.168.6.12: icmp_seq=42 ttl=63 time=3.94 ms
1729950882.695156676: 64 bytes from 192.168.6.12: icmp_seq=43 ttl=63 time=2.52 ms
1729950882.795916910: 64 bytes from 192.168.6.12: icmp_seq=44 ttl=63 time=2.91 ms
1729950882.895083424: 64 bytes from 192.168.6.12: icmp_seq=45 ttl=63 time=2.30 ms
1729950882.997298737: 64 bytes from 192.168.6.12: icmp_seq=46 ttl=63 time=3.04 ms
1729950883.096474950: 64 bytes from 192.168.6.12: icmp_seq=47 ttl=63 time=1.75 ms
1729950883.199232876: 64 bytes from 192.168.6.12: icmp_seq=48 ttl=63 time=3.58 ms
1729950883.299551521: 64 bytes from 192.168.6.12: icmp_seq=49 ttl=63 time=3.62 ms
1729950883.398636826: 64 bytes from 192.168.6.12: icmp_seq=50 ttl=63 time=1.92 ms
1729950883.500102512: 64 bytes from 192.168.6.12: icmp_seq=51 ttl=63 time=2.36 ms
1729950883.599990680: 64 bytes from 192.168.6.12: icmp_seq=52 ttl=63 time=1.71 ms
1729950883.702790882: 64 bytes from 192.168.6.12: icmp_seq=53 ttl=63 time=3.42 ms
1729950883.804180388: 64 bytes from 192.168.6.12: icmp_seq=54 ttl=63 time=3.65 ms
1729950883.903631298: 64 bytes from 192.168.6.12: icmp_seq=55 ttl=63 time=2.34 ms
1729950884.005444123: 64 bytes from 192.168.6.12: icmp_seq=56 ttl=63 time=3.49 ms
1729950884.104606606: 64 bytes from 192.168.6.12: icmp_seq=57 ttl=63 time=1.78 ms
1729950884.206045090: 64 bytes from 192.168.6.12: icmp_seq=58 ttl=63 time=2.43 ms
1729950884.307177596: 64 bytes from 192.168.6.12: icmp_seq=59 ttl=63 time=2.83 ms
1729950884.407282457: 64 bytes from 192.168.6.12: icmp_seq=60 ttl=63 time=1.69 ms
1729950884.509790966: 64 bytes from 192.168.6.12: icmp_seq=61 ttl=63 time=2.86 ms
1729950884.612106325: 64 bytes from 192.168.6.12: icmp_seq=62 ttl=63 time=3.71 ms
1729950884.713836741: 64 bytes from 192.168.6.12: icmp_seq=63 ttl=63 time=4.95 ms
1729950884.815025914: 64 bytes from 192.168.6.12: icmp_seq=64 ttl=63 time=5.59 ms
1729950884.912288913: 64 bytes from 192.168.6.12: icmp_seq=65 ttl=63 time=2.25 ms
1729950885.014514031: 64 bytes from 192.168.6.12: icmp_seq=66 ttl=63 time=4.32 ms
1729950885.112655710: 64 bytes from 192.168.6.12: icmp_seq=67 ttl=63 time=1.86 ms
1729950885.215231704: 64 bytes from 192.168.6.12: icmp_seq=68 ttl=63 time=2.99 ms
1729950885.315894701: 64 bytes from 192.168.6.12: icmp_seq=69 ttl=63 time=3.79 ms
1729950885.415251218: 64 bytes from 192.168.6.12: icmp_seq=70 ttl=63 time=1.80 ms
1729950885.518315696: 64 bytes from 192.168.6.12: icmp_seq=71 ttl=63 time=4.35 ms
1729950885.617652328: 64 bytes from 192.168.6.12: icmp_seq=72 ttl=63 time=2.61 ms
1729950885.719080130: 64 bytes from 192.168.6.12: icmp_seq=73 ttl=63 time=3.86 ms
1729950885.821130856: 64 bytes from 192.168.6.12: icmp_seq=74 ttl=63 time=4.65 ms
1729950885.922390646: 64 bytes from 192.168.6.12: icmp_seq=75 ttl=63 time=4.64 ms
1729950886.025541745: 64 bytes from 192.168.6.12: icmp_seq=76 ttl=63 time=7.08 ms
1729950886.124638929: 64 bytes from 192.168.6.12: icmp_seq=77 ttl=63 time=6.03 ms
1729950886.226530218: 64 bytes from 192.168.6.12: icmp_seq=78 ttl=63 time=7.70 ms
1729950886.325579823: 64 bytes from 192.168.6.12: icmp_seq=79 ttl=63 time=4.84 ms
1729950886.428650422: 64 bytes from 192.168.6.12: icmp_seq=80 ttl=63 time=7.19 ms
1729950886.530067252: 64 bytes from 192.168.6.12: icmp_seq=81 ttl=63 time=8.99 ms
1729950886.632625399: 64 bytes from 192.168.6.12: icmp_seq=82 ttl=63 time=10.4 ms
1729950886.735262888: 64 bytes from 192.168.6.12: icmp_seq=83 ttl=63 time=12.2 ms
1729950886.831945407: 64 bytes from 192.168.6.12: icmp_seq=84 ttl=63 time=8.33 ms
1729950886.933702362: 64 bytes from 192.168.6.12: icmp_seq=85 ttl=63 time=9.92 ms
1729950887.036603628: 64 bytes from 192.168.6.12: icmp_seq=86 ttl=63 time=11.7 ms
1729950887.137870829: 64 bytes from 192.168.6.12: icmp_seq=87 ttl=63 time=12.1 ms
1729950887.241842034: 64 bytes from 192.168.6.12: icmp_seq=88 ttl=63 time=15.5 ms
1729950887.340918912: 64 bytes from 192.168.6.12: icmp_seq=89 ttl=63 time=14.7 ms
1729950887.445633925: 64 bytes from 192.168.6.12: icmp_seq=90 ttl=63 time=17.1 ms
1729950887.544151573: 64 bytes from 192.168.6.12: icmp_seq=91 ttl=63 time=15.9 ms
1729950887.642834580: 64 bytes from 192.168.6.12: icmp_seq=92 ttl=63 time=13.3 ms
1729950887.739598050: 64 bytes from 192.168.6.12: icmp_seq=93 ttl=63 time=10.0 ms
1729950887.835233532: 64 bytes from 192.168.6.12: icmp_seq=94 ttl=63 time=5.16 ms
1729950887.937120307: 64 bytes from 192.168.6.12: icmp_seq=95 ttl=63 time=5.84 ms
1729950888.035686955: 64 bytes from 192.168.6.12: icmp_seq=96 ttl=63 time=4.65 ms
1729950888.136651434: 64 bytes from 192.168.6.12: icmp_seq=97 ttl=63 time=4.34 ms
1729950888.241375715: 64 bytes from 192.168.6.12: icmp_seq=98 ttl=63 time=8.07 ms
1729950888.340662082: 64 bytes from 192.168.6.12: icmp_seq=99 ttl=63 time=7.32 ms
1729950888.441450116: 64 bytes from 192.168.6.12: icmp_seq=100 ttl=63 time=7.19 ms
1729950888.541160773: 64 bytes from 192.168.6.12: icmp_seq=101 ttl=63 time=7.06 ms
1729950888.640435345: 64 bytes from 192.168.6.12: icmp_seq=102 ttl=63 time=5.30 ms
1729950888.740307050: 64 bytes from 192.168.6.12: icmp_seq=103 ttl=63 time=4.95 ms
1729950888.840202492: 64 bytes from 192.168.6.12: icmp_seq=104 ttl=63 time=5.30 ms
1729950888.942540892: 64 bytes from 192.168.6.12: icmp_seq=105 ttl=63 time=6.74 ms
1729950889.043466863: 64 bytes from 192.168.6.12: icmp_seq=106 ttl=63 time=7.13 ms
1729950889.144935101: 64 bytes from 192.168.6.12: icmp_seq=107 ttl=63 time=7.39 ms
1729950889.242109368: 64 bytes from 192.168.6.12: icmp_seq=108 ttl=63 time=4.89 ms
1729950889.346104146: 64 bytes from 192.168.6.12: icmp_seq=109 ttl=63 time=7.45 ms
1729950889.442954181: 64 bytes from 192.168.6.12: icmp_seq=110 ttl=63 time=3.79 ms
1729950889.544434655: 64 bytes from 192.168.6.12: icmp_seq=111 ttl=63 time=4.30 ms
1729950889.645353115: 64 bytes from 192.168.6.12: icmp_seq=112 ttl=63 time=4.50 ms
1729950889.744837559: 64 bytes from 192.168.6.12: icmp_seq=113 ttl=63 time=2.75 ms
1729950889.853963587: 64 bytes from 192.168.6.12: icmp_seq=114 ttl=63 time=11.1 ms
1729950889.946891873: 64 bytes from 192.168.6.12: icmp_seq=115 ttl=63 time=3.45 ms
1729950890.047757474: 64 bytes from 192.168.6.12: icmp_seq=116 ttl=63 time=3.69 ms
1729950890.150072702: 64 bytes from 192.168.6.12: icmp_seq=117 ttl=63 time=5.66 ms
1729950890.248329957: 64 bytes from 192.168.6.12: icmp_seq=118 ttl=63 time=3.48 ms
1729950890.355567618: 64 bytes from 192.168.6.12: icmp_seq=119 ttl=63 time=9.06 ms
1729950890.449336625: 64 bytes from 192.168.6.12: icmp_seq=120 ttl=63 time=2.92 ms
1729950890.554621718: 64 bytes from 192.168.6.12: icmp_seq=121 ttl=63 time=7.15 ms
1729950890.655425212: 64 bytes from 192.168.6.12: icmp_seq=122 ttl=63 time=7.50 ms
1729950890.757247225: 64 bytes from 192.168.6.12: icmp_seq=123 ttl=63 time=8.49 ms
1729950890.857989956: 64 bytes from 192.168.6.12: icmp_seq=124 ttl=63 time=8.29 ms
1729950890.956102602: 64 bytes from 192.168.6.12: icmp_seq=125 ttl=63 time=6.12 ms
1729950891.057431418: 64 bytes from 192.168.6.12: icmp_seq=126 ttl=63 time=6.68 ms
1729950891.158610284: 64 bytes from 192.168.6.12: icmp_seq=127 ttl=63 time=6.91 ms
1729950891.258613752: 64 bytes from 192.168.6.12: icmp_seq=128 ttl=63 time=6.31 ms
1729950891.359588034: 64 bytes from 192.168.6.12: icmp_seq=129 ttl=63 time=7.08 ms
1729950891.456666323: 64 bytes from 192.168.6.12: icmp_seq=130 ttl=63 time=3.62 ms
1729950891.559636779: 64 bytes from 192.168.6.12: icmp_seq=131 ttl=63 time=5.76 ms
1729950891.656530738: 64 bytes from 192.168.6.12: icmp_seq=132 ttl=63 time=2.11 ms
1729950891.762978828: 64 bytes from 192.168.6.12: icmp_seq=133 ttl=63 time=7.17 ms
1729950891.859381413: 64 bytes from 192.168.6.12: icmp_seq=134 ttl=63 time=3.95 ms
1729950891.961441395: 64 bytes from 192.168.6.12: icmp_seq=135 ttl=63 time=5.02 ms
1729950892.059888253: 64 bytes from 192.168.6.12: icmp_seq=136 ttl=63 time=3.20 ms
1729950892.167906111: 64 bytes from 192.168.6.12: icmp_seq=137 ttl=63 time=11.4 ms
1729950892.262917560: 64 bytes from 192.168.6.12: icmp_seq=138 ttl=63 time=5.16 ms
1729950892.361248455: 64 bytes from 192.168.6.12: icmp_seq=139 ttl=63 time=2.78 ms
1729950892.463483498: 64 bytes from 192.168.6.12: icmp_seq=140 ttl=63 time=4.52 ms
1729950892.567017311: 64 bytes from 192.168.6.12: icmp_seq=141 ttl=63 time=7.24 ms
1729950892.675901453: 64 bytes from 192.168.6.12: icmp_seq=142 ttl=63 time=15.6 ms
1729950892.773911299: 64 bytes from 192.168.6.12: icmp_seq=143 ttl=63 time=12.3 ms
1729950892.874536634: 64 bytes from 192.168.6.12: icmp_seq=144 ttl=63 time=11.8 ms
1729950892.976135496: 64 bytes from 192.168.6.12: icmp_seq=145 ttl=63 time=13.6 ms
1729950893.079443517: 64 bytes from 192.168.6.12: icmp_seq=146 ttl=63 time=16.1 ms
1729950893.188302682: 64 bytes from 192.168.6.12: icmp_seq=147 ttl=63 time=24.6 ms
1729950893.286751122: 64 bytes from 192.168.6.12: icmp_seq=148 ttl=63 time=22.4 ms
1729950893.383857131: 64 bytes from 192.168.6.12: icmp_seq=149 ttl=63 time=18.2 ms
1729950893.474598795: 64 bytes from 192.168.6.12: icmp_seq=150 ttl=63 time=8.38 ms
1729950893.568743510: 64 bytes from 192.168.6.12: icmp_seq=151 ttl=63 time=1.64 ms
1729950893.680960712: 64 bytes from 192.168.6.12: icmp_seq=152 ttl=63 time=13.5 ms
1729950893.772523424: 64 bytes from 192.168.6.12: icmp_seq=153 ttl=63 time=3.71 ms
1729950893.874258137: 64 bytes from 192.168.6.12: icmp_seq=154 ttl=63 time=4.44 ms
