['time', 'x', 'y', 'z']
['1728989150.79', '10524.5867788', '10546.9928714', '0.0']
['1728989152.78', '10532.7845932', '10531.6905513', '0.0']
['1728989154.78', '10561.8304546', '10530.0057004', '0.0']
['1728989156.78', '10568.2114459', '10562.0564042', '0.0']
['1728989158.78', '10566.1984936', '10545.8784404', '0.0']
['1728989160.78', '10591.8203617', '10583.7295549', '0.0']
['1728989162.78', '10605.1924421', '10606.9512113', '0.0']
['1728989164.79', '10597.0934053', '10615.6066724', '0.0']
['1728989166.79', '10625.0188227', '10618.7709421', '0.0']
['1728989168.79', '10629.9173719', '10594.541104', '0.0']
['1728989170.79', '10646.0736056', '10621.0133464', '0.0']
['1728989172.79', '10650.1406455', '10648.5956462', '0.0']
['1728989174.79', '10669.7261108', '10642.111509', '0.0']
['1728989176.79', '10644.5441643', '10661.2762702', '0.0']
['1728989178.79', '10649.8310286', '10674.6495038', '0.0']
['1728989180.8', '10681.4862956', '10693.3671275', '0.0']
['1728989182.8', '10707.102921', '10677.756208', '0.0']
['1728989184.81', '10706.97868', '10682.9522361', '0.0']
['1728989186.8', '10730.3393299', '10715.5066055', '0.0']
['1728989188.8', '10708.1585002', '10739.1730907', '0.0']
['1728989190.8', '10724.3975196', '10728.0107478', '0.0']
['1728989192.81', '10750.9002818', '10721.1645215', '0.0']
['1728989194.81', '10744.2280644', '10727.2469382', '0.0']
['1728989196.82', '10750.3013563', '10731.3522548', '0.0']
['1728989198.82', '10772.4804067', '10773.0122536', '0.0']
['1728989200.82', '10787.1573535', '10753.5446158', '0.0']
['1728989202.82', '10771.9650352', '10771.1661154', '0.0']
['1728989204.82', '10815.5469642', '10818.8158643', '0.0']
['1728989206.82', '10805.7563614', '10797.1666115', '0.0']
['1728989208.82', '10826.3758959', '10798.6866671', '0.0']
['1728989210.84', '10814.8172286', '10841.5999689', '0.0']
['1728989212.83', '10825.0940963', '10855.8620289', '0.0']
['1728989214.83', '10834.2249002', '10854.8198493', '0.0']
['1728989216.83', '10837.3151355', '10846.9267283', '0.0']
['1728989218.83', '10882.2063043', '10841.3667799', '0.0']
['1728989220.83', '10888.0569093', '10855.6754668', '0.0']
['1728989222.83', '10895.8802218', '10888.9457458', '0.0']
['1728989224.83', '10874.2816775', '10881.9859483', '0.0']
