Time,S1F4Bitrate,S1F4Jitter,S1F4Datagrams,S1F4Delay,S1F2Bitrate,S1F2Jitter,S1F2Datagrams,S1F2Delay,S1F1Bitrate,S1F1Jitter,S1F1Datagrams,S1F1Delay,S1C1Bitrate,S1C1Jitter,S1C1Datagrams,S1C1Delay
1729950879.56,20.8,1.064,0.0,2.51,20.8,1.466,0.0,4.24,19.2,0.735,0.0,4.7,8.0,2.032,0.0,2.66
1729950879.66,19.2,1.177,0.0,2.02,19.2,1.945,0.0,5.44,20.8,0.684,0.0,5.94,7.99,2.07,0.0,1.49
1729950879.76,20.8,1.006,0.0,1.66,20.8,1.8,0.0,3.13,20.8,0.556,0.0,7.18,8.0,2.229,0.0,2.13
1729950879.86,19.2,1.082,0.0,1.38,19.2,1.812,0.0,6.125,19.2,0.525,0.0,9.6,8.01,2.357,0.0,1.57
1729950879.96,20.8,1.056,0.0,0.79,20.8,1.765,0.0,9.12,19.2,0.699,0.0,9.36,8.0,2.614,0.0,2.51
1729950880.06,19.2,1.179,0.0,1.11,19.2,1.617,0.0,7.02,20.8,0.623,0.0,1.14,8.0,1.987,0.0,2.81
1729950880.16,20.8,1.166,0.0,2.63,20.8,1.445,0.0,3.28,19.2,0.59,0.0,1.43,8.0,1.931,0.0,1.49
1729950880.26,19.2,0.966,0.0,1.22,19.2,1.155,0.0,5.77,20.8,0.542,0.0,0.973,8.0,1.851,0.0,2.87
1729950880.36,20.8,0.748,0.0,1.695,20.8,1.495,0.0,8.435,19.2,0.593,0.0,1.27,8.0,1.686,0.0,1.56
1729950880.46,19.2,0.664,0.0,2.17,19.2,1.328,0.0,11.1,20.8,0.724,0.0,0.718,8.0,1.71,0.0,2.8
1729950880.56,20.8,1.042,0.0,1.62,20.8,1.199,0.0,9.065,19.2,0.667,0.0,0.725,8.0,1.728,0.0,2.44
1729950880.66,19.2,1.012,0.0,2.19,19.2,1.065,0.0,7.03,20.8,0.635,0.0,1.357,7.99,2.011,0.0,2.08
1729950880.76,19.2,0.977,0.0,1.03,19.2,1.281,0.0,7.95,20.8,0.567,0.0,1.988,6.4,2.306,0.0,2.14
1729950880.86,20.8,0.787,0.0,1.465,20.8,1.486,0.0,9.77,19.2,0.708,0.0,2.62,9.59,2.799,0.0,1.53
1729950880.96,19.2,1.038,0.0,1.9,19.2,1.349,0.0,17.8,20.8,0.729,0.0,1.48,7.99,2.479,0.0,2.89
1729950881.06,20.8,0.968,0.0,2.18,20.8,1.203,0.0,12.5,19.2,0.722,0.0,1.4,8.01,2.548,0.0,2.965
1729950881.16,19.2,0.896,0.0,2.77,19.2,0.776,0.0,12.1,19.2,0.668,0.0,3.2,8.0,2.65,0.0,3.04
1729950881.26,20.8,0.84,0.0,3.065,20.8,1.24,0.0,15.0,20.8,0.622,0.0,0.88,6.4,2.655,0.0,3.9
1729950881.36,19.2,0.673,0.0,3.36,19.2,1.0,0.0,16.6,20.8,0.691,0.0,0.975,8.0,2.695,0.0,2.41
1729950881.46,20.8,0.853,0.0,5.79,20.8,1.312,0.0,7.54,19.2,0.85,0.0,1.64,9.6,2.812,0.0,3.71
1729950881.56,19.2,0.693,0.0,3.86,20.8,1.174,0.0,2.39,19.2,0.98,0.0,1.47,8.01,2.768,0.0,3.05
1729950881.66,20.8,0.817,0.0,3.07,19.2,1.122,0.0,2.63,20.8,0.877,0.0,2.32,6.39,2.823,0.0,2.39
1729950881.76,19.2,0.753,0.0,2.72,20.8,1.206,0.0,1.58,20.8,0.812,0.0,1.15,8.0,2.587,0.0,2.73
1729950881.86,20.8,0.731,0.0,5.21,19.2,0.956,0.0,2.4,19.2,0.773,0.0,1.54,8.0,2.345,0.0,3.07
1729950881.96,19.2,0.646,0.0,5.01,20.8,1.106,0.0,1.59,20.8,0.845,0.0,1.37,8.0,2.13,0.0,3.16
1729950882.06,20.8,0.64,0.0,4.67,19.2,1.157,0.0,2.66,19.2,0.968,0.0,0.832,8.0,1.948,0.0,3.25
1729950882.16,20.8,0.776,0.0,4.49,20.8,0.99,0.0,5.1,20.8,0.852,0.0,0.879,8.0,1.967,0.0,4.62
1729950882.26,19.2,0.831,0.0,5.61,19.2,1.081,0.0,2.85,19.2,0.788,0.0,1.14,8.0,1.987,0.0,3.48
1729950882.36,20.8,0.805,0.0,6.12,20.8,1.257,0.0,4.52,20.8,0.79,0.0,1.4,8.01,2.181,0.0,2.7
1729950882.46,19.2,0.79,0.0,7.3,19.2,1.719,0.0,1.59,19.2,1.116,0.0,1.19,7.99,2.288,0.0,2.88
1729950882.56,20.8,0.844,0.0,6.46,20.8,1.341,0.0,2.99,19.2,1.032,0.0,1.66,9.61,2.29,0.0,3.47
1729950882.66,19.2,0.878,0.0,6.86,19.2,1.299,0.0,3.94,20.8,0.894,0.0,1.94,8.0,2.044,0.0,7.3
1729950882.76,20.8,0.952,0.0,7.32,20.8,1.2,0.0,2.52,19.2,0.792,0.0,1.02,7.99,1.907,0.0,4.19
1729950882.86,19.2,1.003,0.0,9.36,19.2,1.118,0.0,2.91,20.8,0.676,0.0,1.21,8.01,1.834,0.0,5.25
1729950882.96,20.8,0.873,0.0,9.47,20.8,1.397,0.0,2.3,19.2,0.894,0.0,1.38,8.0,1.882,0.0,4.9
1729950883.06,19.2,0.711,0.0,6.77,19.2,1.212,0.0,3.04,20.8,0.851,0.0,1.95,8.0,1.798,0.0,9.78
1729950883.16,20.8,0.769,0.0,2.72,20.8,1.213,0.0,1.75,19.2,0.75,0.0,1.19,7.99,1.908,0.0,3.2
1729950883.26,19.2,0.846,0.0,1.21,19.2,1.25,0.0,3.58,20.8,0.735,0.0,1.26,8.0,2.031,0.0,6.03
1729950883.36,20.8,0.825,0.0,2.57,20.8,1.119,0.0,3.62,19.2,0.637,0.0,2.2,8.01,2.197,0.0,6.44
1729950883.46,19.2,0.846,0.0,1.48,19.2,1.584,0.0,1.92,19.2,0.494,0.0,2.55,7.99,2.243,0.0,6.6
1729950883.56,20.8,0.717,0.0,0.85,20.8,1.225,0.0,2.36,20.8,0.636,0.0,1.67,8.0,1.742,0.0,15.2
1729950883.66,19.2,0.824,0.0,1.22,19.2,1.209,0.0,1.71,20.8,0.535,0.0,1.19,8.01,1.513,0.0,7.09
1729950883.76,19.2,0.94,0.0,1.56,19.2,1.104,0.0,3.42,19.2,0.474,0.0,1.69,7.99,1.496,0.0,9.37
1729950883.86,20.8,0.936,0.0,1.04,20.8,1.348,0.0,3.65,20.8,0.549,0.0,1.49,8.01,1.739,0.0,11.4
1729950883.96,20.8,0.823,0.0,1.72,20.8,1.516,0.0,2.34,20.8,0.576,0.0,2.98,7.99,1.839,0.0,14.5
1729950884.06,19.2,0.842,0.0,1.59,19.2,1.448,0.0,3.49,19.1,0.65,0.0,1.63,8.01,1.995,0.0,14.9
1729950884.16,20.8,1.039,0.0,1.14,20.8,1.432,0.0,1.78,19.3,0.708,0.0,0.962,7.99,2.209,0.0,7.72
1729950884.26,19.2,1.119,0.0,1.18,19.2,1.372,0.0,2.43,20.8,0.782,0.0,1.08,8.01,2.488,0.0,8.86
1729950884.36,19.2,1.308,0.0,1.43,20.8,1.492,0.0,2.83,19.2,0.704,0.0,2.22,8.0,2.41,0.0,2.02
1729950884.46,20.8,1.068,0.0,3.91,19.2,1.69,0.0,1.69,20.8,0.748,0.0,1.85,6.4,2.105,0.0,3.73
1729950884.56,19.2,0.949,0.0,2.16,20.8,1.554,0.0,2.86,19.2,0.912,0.0,1.74,7.99,1.96,0.0,4.3
1729950884.66,20.8,1.12,0.0,1.64,19.2,1.405,0.0,3.71,20.8,0.832,0.0,1.38,8.01,1.892,0.0,2.74
1729950884.76,20.8,1.17,0.0,1.57,20.8,1.525,0.0,4.95,20.8,0.835,0.0,1.8,8.0,2.079,0.0,3.09
1729950884.86,19.2,1.427,0.0,1.04,19.2,1.803,0.0,5.59,19.2,0.749,0.0,1.47,9.6,2.564,0.0,2.22
1729950884.96,20.8,1.079,0.0,3.66,20.8,2.053,0.0,2.25,20.8,0.912,0.0,1.35,8.0,2.575,0.0,5.02
1729950885.06,19.1,0.913,0.0,0.821,19.2,1.703,0.0,4.32,19.2,0.984,0.0,3.95,8.01,2.668,0.0,2.08
1729950885.16,19.3,0.997,0.0,0.925,19.2,1.306,0.0,1.86,19.2,0.86,0.0,1.83,6.39,2.304,0.0,2.64
1729950885.26,20.8,1.106,0.0,1.02,20.8,1.067,0.0,2.99,20.8,0.764,0.0,1.41,9.6,1.984,0.0,1.9
1729950885.36,19.2,1.0,0.0,2.01,19.2,1.148,0.0,3.79,19.2,0.609,0.0,2.3,7.98,1.831,0.0,2.62
1729950885.46,20.8,0.966,0.0,1.29,19.2,0.873,0.0,1.8,20.8,0.655,0.0,1.22,8.02,2.022,0.0,3.22
1729950885.56,19.2,0.709,0.0,2.59,20.8,0.907,0.0,4.35,20.8,0.827,0.0,2.95,8.0,1.939,0.0,1.71
1729950885.66,20.8,0.809,0.0,1.26,20.8,0.968,0.0,2.61,19.2,0.776,0.0,3.81,8.0,2.156,0.0,2.26
1729950885.76,19.2,0.699,0.0,2.09,20.8,1.007,0.0,3.86,19.2,0.782,0.0,3.37,8.0,2.267,0.0,1.54
1729950885.86,20.8,0.908,0.0,2.93,19.2,1.453,0.0,4.65,20.8,0.696,0.0,5.02,6.4,2.632,0.0,2.49
1729950885.96,20.8,0.793,0.0,4.44,20.8,1.104,0.0,4.64,20.8,0.873,0.0,5.27,8.0,2.659,0.0,3.03
1729950886.06,19.2,0.598,0.0,2.55,19.2,1.159,0.0,7.08,19.2,0.922,0.0,7.52,7.99,2.259,0.0,2.31
1729950886.16,20.8,0.657,0.0,1.36,20.8,1.117,0.0,6.03,20.8,0.893,0.0,6.9,8.02,1.974,0.0,2.27
1729950886.26,19.2,0.698,0.0,3.6,19.2,1.053,0.0,7.7,19.2,0.912,0.0,6.5,7.98,1.937,0.0,1.5
1729950886.36,20.8,0.998,0.0,1.6,20.8,1.606,0.0,4.84,20.8,0.729,0.0,6.12,8.01,2.123,0.0,2.26
1729950886.46,19.2,0.837,0.0,5.09,19.2,1.372,0.0,7.19,19.2,0.832,0.0,7.33,7.99,2.165,0.0,1.79
1729950886.56,20.8,0.651,0.0,2.55,20.8,1.257,0.0,8.99,19.2,0.869,0.0,9.07,8.0,2.209,0.0,2.64
1729950886.66,19.2,0.809,0.0,1.27,19.2,1.237,0.0,10.4,20.8,0.846,0.0,9.18,8.0,2.315,0.0,3.08
1729950886.76,20.8,0.883,0.0,2.46,20.8,1.105,0.0,12.2,19.2,0.851,0.0,9.99,8.01,2.53,0.0,1.95
1729950886.86,19.2,1.038,0.0,1.11,19.2,1.226,0.0,8.33,20.8,0.725,0.0,1.59,9.59,2.574,0.0,2.45
1729950886.96,20.8,0.821,0.0,4.92,20.8,1.153,0.0,9.92,19.2,0.682,0.0,0.823,8.01,2.43,0.0,3.13
1729950887.06,19.2,0.66,0.0,1.56,19.2,1.207,0.0,11.7,20.8,0.814,0.0,1.3,7.99,2.261,0.0,2.37
1729950887.16,19.2,0.678,0.0,1.79,20.8,1.188,0.0,12.1,19.2,0.706,0.0,2.21,8.0,2.266,0.0,1.7
1729950887.26,20.8,0.771,0.0,3.37,19.2,1.253,0.0,15.5,20.8,0.721,0.0,1.0,8.0,2.325,0.0,2.41
1729950887.36,20.8,0.786,0.0,0.88,20.8,1.389,0.0,14.7,19.2,0.701,0.0,2.31,7.99,2.451,0.0,3.98
1729950887.46,19.2,0.846,0.0,4.07,19.2,1.427,0.0,17.1,20.8,0.772,0.0,1.95,8.01,2.646,0.0,4.5
1729950887.56,20.8,0.819,0.0,2.88,20.8,1.473,0.0,15.9,19.2,0.882,0.0,1.29,8.01,2.933,0.0,3.78
1729950887.66,19.2,0.785,0.0,1.5,19.2,1.377,0.0,13.3,19.2,0.627,0.0,1.35,8.0,3.041,0.0,1.74
1729950887.76,20.8,0.954,0.0,1.59,20.8,1.614,0.0,10.0,20.8,0.722,0.0,0.788,7.99,2.87,0.0,3.54
1729950887.86,19.2,1.085,0.0,3.37,19.2,1.283,0.0,5.16,20.8,0.678,0.0,0.751,8.0,2.563,0.0,4.25
1729950887.96,20.8,1.059,0.0,2.62,20.8,1.214,0.0,5.84,19.2,0.507,0.0,0.982,8.0,2.269,0.0,4.06
1729950888.06,19.2,0.807,0.0,1.94,19.2,1.354,0.0,4.65,20.8,0.56,0.0,1.29,8.0,2.084,0.0,3.0
1729950888.16,20.8,0.869,0.0,0.955,20.8,1.198,0.0,4.34,19.2,0.587,0.0,1.33,8.0,1.987,0.0,2.81
1729950888.26,19.2,0.968,0.0,1.49,19.2,1.568,0.0,8.07,20.8,0.676,0.0,1.99,8.01,2.154,0.0,2.76
1729950888.36,20.8,1.063,0.0,5.01,20.8,1.421,0.0,7.32,19.2,0.594,0.0,1.58,8.0,2.085,0.0,6.97
1729950888.46,19.2,1.072,0.0,3.08,19.2,1.529,0.0,7.19,20.8,0.625,0.0,1.95,8.01,2.197,0.0,4.12
1729950888.56,20.8,1.005,0.0,4.62,20.8,1.755,0.0,7.06,19.2,0.543,0.0,2.7,7.99,2.063,0.0,9.3
