Time,Bitrate,Jitter,Datagrams
1729950878.48,9.53,0.602,0.0
1729950878.58,8.04,0.989,0.0
1729950878.68,8.00,1.413,0.0
1729950878.78,8.01,1.744,0.0
1729950878.88,7.99,1.994,0.0
1729950878.98,8.00,2.477,0.0
1729950879.08,8.01,2.732,0.0
1729950879.18,7.99,2.856,0.0
1729950879.28,8.00,2.343,0.0
1729950879.38,8.01,2.352,0.0
1729950879.48,8.00,2.077,0.0
1729950879.58,8.00,2.032,0.0
1729950879.68,7.99,2.070,0.0
1729950879.78,8.00,2.229,0.0
1729950879.88,8.01,2.357,0.0
1729950879.98,8.00,2.614,0.0
1729950880.08,8.00,1.987,0.0
1729950880.18,8.00,1.931,0.0
1729950880.28,8.00,1.851,0.0
1729950880.38,8.00,1.686,0.0
1729950880.48,8.00,1.710,0.0
1729950880.58,8.00,1.728,0.0
1729950880.68,7.99,2.011,0.0
1729950880.78,6.40,2.306,0.0
1729950880.88,9.59,2.799,0.0
1729950880.98,7.99,2.479,0.0
1729950881.08,8.01,2.548,0.0
1729950881.18,8.00,2.650,0.0
1729950881.28,6.40,2.655,0.0
1729950881.38,8.00,2.695,0.0
1729950881.48,9.60,2.812,0.0
1729950881.58,8.01,2.768,0.0
1729950881.68,6.39,2.823,0.0
1729950881.78,8.00,2.587,0.0
1729950881.88,8.00,2.345,0.0
1729950881.98,8.00,2.130,0.0
1729950882.08,8.00,1.948,0.0
1729950882.18,8.00,1.967,0.0
1729950882.28,8.00,1.987,0.0
1729950882.38,8.01,2.181,0.0
1729950882.48,7.99,2.288,0.0
1729950882.58,9.61,2.290,0.0
1729950882.68,8.00,2.044,0.0
1729950882.78,7.99,1.907,0.0
1729950882.88,8.01,1.834,0.0
1729950882.98,8.00,1.882,0.0
1729950883.08,8.00,1.798,0.0
1729950883.18,7.99,1.908,0.0
1729950883.28,8.00,2.031,0.0
1729950883.38,8.01,2.197,0.0
1729950883.48,7.99,2.243,0.0
1729950883.58,8.00,1.742,0.0
1729950883.68,8.01,1.513,0.0
1729950883.78,7.99,1.496,0.0
1729950883.88,8.01,1.739,0.0
1729950883.98,7.99,1.839,0.0
1729950884.08,8.01,1.995,0.0
1729950884.18,7.99,2.209,0.0
1729950884.28,8.01,2.488,0.0
1729950884.38,8.00,2.410,0.0
1729950884.48,6.40,2.105,0.0
1729950884.58,7.99,1.960,0.0
1729950884.68,8.01,1.892,0.0
1729950884.78,8.00,2.079,0.0
1729950884.88,9.60,2.564,0.0
1729950884.98,8.00,2.575,0.0
1729950885.08,8.01,2.668,0.0
1729950885.18,6.39,2.304,0.0
1729950885.28,9.60,1.984,0.0
1729950885.38,7.98,1.831,0.0
1729950885.48,8.02,2.022,0.0
1729950885.58,8.00,1.939,0.0
1729950885.68,8.00,2.156,0.0
1729950885.78,8.00,2.267,0.0
1729950885.88,6.40,2.632,0.0
1729950885.98,8.00,2.659,0.0
1729950886.08,7.99,2.259,0.0
1729950886.18,8.02,1.974,0.0
1729950886.28,7.98,1.937,0.0
1729950886.38,8.01,2.123,0.0
1729950886.48,7.99,2.165,0.0
1729950886.58,8.00,2.209,0.0
1729950886.68,8.00,2.315,0.0
1729950886.78,8.01,2.530,0.0
1729950886.88,9.59,2.574,0.0
1729950886.98,8.01,2.430,0.0
1729950887.08,7.99,2.261,0.0
1729950887.18,8.00,2.266,0.0
1729950887.28,8.00,2.325,0.0
1729950887.38,7.99,2.451,0.0
1729950887.48,8.01,2.646,0.0
1729950887.58,8.01,2.933,0.0
1729950887.68,8.00,3.041,0.0
1729950887.78,7.99,2.870,0.0
1729950887.88,8.00,2.563,0.0
1729950887.98,8.00,2.269,0.0
1729950888.08,8.00,2.084,0.0
1729950888.18,8.00,1.987,0.0
1729950888.28,8.01,2.154,0.0
1729950888.38,8.00,2.085,0.0
1729950888.48,8.01,2.197,0.0
1729950888.58,7.99,2.063,0.0
1729950888.68,8.01,1.880,0.0
1729950888.78,7.99,2.023,0.0
1729950888.88,7.99,2.036,0.0
1729950888.98,8.02,2.210,0.0
1729950889.08,8.00,2.386,0.0
1729950889.18,8.00,2.585,0.0
1729950889.28,8.00,2.816,0.0
1729950889.38,7.99,3.416,0.0
1729950889.48,8.01,2.834,0.0
1729950889.58,8.01,2.620,0.0
1729950889.68,7.99,2.372,0.0
1729950889.78,8.01,2.488,0.0
1729950889.88,7.99,2.835,0.0
1729950889.98,8.01,2.873,0.0
1729950890.08,7.99,3.503,0.0
1729950890.18,8.01,3.397,0.0
1729950890.28,7.99,3.029,0.0
1729950890.38,8.01,2.628,0.0
1729950890.48,6.39,2.599,0.0
1729950890.58,8.01,2.780,0.0
1729950890.68,8.00,2.824,0.0
1729950890.78,7.99,2.956,0.0
1729950890.88,8.00,3.324,0.0
1729950890.98,8.00,3.489,0.0
1729950891.08,8.01,3.837,0.0
1729950891.18,9.60,3.302,0.0
1729950891.28,7.99,3.189,0.0
1729950891.38,8.01,2.612,0.0
1729950891.48,7.99,2.274,0.0
1729950891.58,8.00,2.263,0.0
1729950891.68,8.01,2.414,0.0
1729950891.78,8.00,2.460,0.0
1729950891.88,8.00,2.424,0.0
1729950891.98,7.99,2.709,0.0
1729950892.08,8.00,2.395,0.0
1729950892.18,8.01,2.363,0.0
1729950892.28,8.00,1.922,0.0
