Time,Bitrate,Jitter,Datagrams,Delay
1729950879.56,8.0,2.032,0.0,2.66
1729950879.66,7.99,2.07,0.0,1.49
1729950879.76,8.0,2.229,0.0,2.13
1729950879.86,8.01,2.357,0.0,1.57
1729950879.96,8.0,2.614,0.0,2.51
1729950880.06,8.0,1.987,0.0,2.81
1729950880.16,8.0,1.931,0.0,1.49
1729950880.26,8.0,1.851,0.0,2.87
1729950880.36,8.0,1.686,0.0,1.56
1729950880.46,8.0,1.71,0.0,2.8
1729950880.56,8.0,1.728,0.0,NA
1729950880.66,7.99,2.011,0.0,2.08
1729950880.76,6.4,2.306,0.0,2.14
1729950880.86,9.59,2.799,0.0,1.53
1729950880.96,7.99,2.479,0.0,2.89
1729950881.06,8.01,2.548,0.0,NA
1729950881.16,8.0,2.65,0.0,3.04
1729950881.26,6.4,2.655,0.0,3.9
1729950881.36,8.0,2.695,0.0,2.41
1729950881.46,9.6,2.812,0.0,3.71
1729950881.56,8.01,2.768,0.0,NA
1729950881.66,6.39,2.823,0.0,2.39
1729950881.76,8.0,2.587,0.0,NA
1729950881.86,8.0,2.345,0.0,3.07
1729950881.96,8.0,2.13,0.0,NA
1729950882.06,8.0,1.948,0.0,3.25
1729950882.16,8.0,1.967,0.0,4.62
1729950882.26,8.0,1.987,0.0,3.48
1729950882.36,8.01,2.181,0.0,2.7
1729950882.46,7.99,2.288,0.0,2.88
1729950882.56,9.61,2.29,0.0,3.47
1729950882.66,8.0,2.044,0.0,7.3
1729950882.76,7.99,1.907,0.0,4.19
1729950882.86,8.01,1.834,0.0,5.25
1729950882.96,8.0,1.882,0.0,4.9
1729950883.06,8.0,1.798,0.0,9.78
1729950883.16,7.99,1.908,0.0,3.2
1729950883.26,8.0,2.031,0.0,6.03
1729950883.36,8.01,2.197,0.0,6.44
1729950883.46,7.99,2.243,0.0,6.6
1729950883.56,8.0,1.742,0.0,15.2
1729950883.66,8.01,1.513,0.0,7.09
1729950883.76,7.99,1.496,0.0,9.37
1729950883.86,8.01,1.739,0.0,11.4
1729950883.96,7.99,1.839,0.0,14.5
1729950884.06,8.01,1.995,0.0,14.9
1729950884.16,7.99,2.209,0.0,7.72
1729950884.26,8.01,2.488,0.0,8.86
1729950884.36,8.0,2.41,0.0,2.02
1729950884.46,6.4,2.105,0.0,3.73
1729950884.56,7.99,1.96,0.0,4.3
1729950884.66,8.01,1.892,0.0,2.74
1729950884.76,8.0,2.079,0.0,3.09
1729950884.86,9.6,2.564,0.0,2.22
1729950884.96,8.0,2.575,0.0,5.02
1729950885.06,8.01,2.668,0.0,2.08
1729950885.16,6.39,2.304,0.0,2.64
1729950885.26,9.6,1.984,0.0,1.9
1729950885.36,7.98,1.831,0.0,2.62
1729950885.46,8.02,2.022,0.0,3.22
1729950885.56,8.0,1.939,0.0,1.71
1729950885.66,8.0,2.156,0.0,2.26
1729950885.76,8.0,2.267,0.0,1.54
1729950885.86,6.4,2.632,0.0,2.49
1729950885.96,8.0,2.659,0.0,3.03
1729950886.06,7.99,2.259,0.0,2.31
1729950886.16,8.02,1.974,0.0,2.27
1729950886.26,7.98,1.937,0.0,1.5
1729950886.36,8.01,2.123,0.0,2.26
1729950886.46,7.99,2.165,0.0,1.79
1729950886.56,8.0,2.209,0.0,2.64
1729950886.66,8.0,2.315,0.0,3.08
1729950886.76,8.01,2.53,0.0,1.95
1729950886.86,9.59,2.574,0.0,2.45
1729950886.96,8.01,2.43,0.0,3.13
1729950887.06,7.99,2.261,0.0,2.37
1729950887.16,8.0,2.266,0.0,1.7
1729950887.26,8.0,2.325,0.0,2.41
1729950887.36,7.99,2.451,0.0,3.98
1729950887.46,8.01,2.646,0.0,4.5
1729950887.56,8.01,2.933,0.0,3.78
1729950887.66,8.0,3.041,0.0,1.74
1729950887.76,7.99,2.87,0.0,3.54
1729950887.86,8.0,2.563,0.0,4.25
1729950887.96,8.0,2.269,0.0,4.06
1729950888.06,8.0,2.084,0.0,3.0
1729950888.16,8.0,1.987,0.0,2.81
1729950888.26,8.01,2.154,0.0,2.76
1729950888.36,8.0,2.085,0.0,6.97
1729950888.46,8.01,2.197,0.0,4.12
1729950888.56,7.99,2.063,0.0,9.3
1729950888.66,8.01,1.88,0.0,6.38
1729950888.76,7.99,2.023,0.0,5.72
1729950888.86,7.99,2.036,0.0,8.39
1729950888.96,8.02,2.21,0.0,7.37
1729950889.06,8.0,2.386,0.0,14.2
1729950889.16,8.0,2.585,0.0,10.7
1729950889.26,8.0,2.816,0.0,9.97
1729950889.36,7.99,3.416,0.0,11.5
1729950889.46,8.01,2.834,0.0,16.7
1729950889.56,8.01,2.62,0.0,11.0
1729950889.66,7.99,2.372,0.0,13.6
1729950889.76,8.01,2.488,0.0,11.1
1729950889.86,7.99,2.835,0.0,13.9
1729950889.96,8.01,2.873,0.0,11.1
1729950890.06,7.99,3.503,0.0,2.31
1729950890.16,8.01,3.397,0.0,2.46
1729950890.26,7.99,3.029,0.0,1.6
1729950890.36,8.01,2.628,0.0,2.77
