Time,Bitrate,Jitter,Datagrams,Delay
1729951380.77,8.0,2.614,0.0,1.95
1729951380.87,6.4,2.577,0.0,3.83
1729951380.97,8.01,2.558,0.0,5.97
1729951381.07,7.99,2.137,0.0,4.66
1729951381.17,8.0,1.86,0.0,6.81
1729951381.27,7.98,1.515,0.0,5.23
1729951381.37,8.02,1.445,0.0,8.05
1729951381.47,8.0,1.554,0.0,9.8
1729951381.57,8.0,1.738,0.0,10.3
1729951381.67,8.0,1.834,0.0,10.8
1729951381.77,8.0,2.149,0.0,12.3
1729951381.87,9.6,1.988,0.0,13.7
1729951381.97,8.0,1.9,0.0,15.0
1729951382.07,8.0,1.713,0.0,16.3
1729951382.17,8.0,1.84,0.0,8.36
1729951382.27,8.0,1.681,0.0,2.13
1729951382.37,8.0,1.792,0.0,2.78
1729951382.47,8.0,2.025,0.0,2.78
1729951382.57,8.0,2.449,0.0,3.19
1729951382.67,8.0,2.853,0.0,3.6
1729951382.77,7.99,2.509,0.0,2.64
1729951382.87,8.01,1.934,0.0,3.25
1729951382.97,8.0,1.682,0.0,2.53
1729951383.07,8.0,1.952,0.0,2.945
1729951383.17,8.0,2.134,0.0,3.36
1729951383.27,7.99,2.07,0.0,2.66
1729951383.37,8.0,2.206,0.0,3.22
1729951383.47,7.99,2.448,0.0,3.07
1729951383.57,8.0,2.507,0.0,2.59
1729951383.67,8.01,2.268,0.0,2.11
1729951383.77,8.0,2.063,0.0,2.06
1729951383.87,8.0,2.109,0.0,2.73
1729951383.97,7.98,2.261,0.0,2.425
1729951384.07,8.02,2.382,0.0,2.12
1729951384.17,8.02,2.478,0.0,3.65
1729951384.27,6.4,2.807,0.0,3.7
1729951384.37,7.99,2.286,0.0,2.84
1729951384.47,9.6,2.058,0.0,3.26
1729951384.57,6.4,1.985,0.0,2.36
1729951384.67,9.6,1.782,0.0,4.56
1729951384.77,8.01,1.602,0.0,3.07
1729951384.87,6.39,1.485,0.0,3.95
1729951384.97,8.0,1.642,0.0,3.51
1729951385.07,8.01,2.107,0.0,2.93
1729951385.17,8.0,2.567,0.0,3.67
1729951385.27,8.0,2.319,0.0,2.2
1729951385.37,8.0,2.422,0.0,3.66
1729951385.47,7.99,2.613,0.0,1.9
1729951385.57,8.02,2.774,0.0,2.24
1729951385.67,8.0,2.401,0.0,3.1
1729951385.77,8.01,2.558,0.0,1.9
1729951385.87,7.99,2.369,0.0,6.49
1729951385.97,8.0,2.504,0.0,2.61
1729951386.07,9.61,2.467,0.0,2.36
1729951386.17,8.0,2.047,0.0,2.36
1729951386.27,7.99,1.71,0.0,1.92
1729951386.37,6.4,1.724,0.0,7.0
1729951386.47,9.6,1.597,0.0,1.9
1729951386.57,6.4,1.784,0.0,3.25
1729951386.67,8.0,1.828,0.0,2.23
1729951386.77,9.54,2.087,0.0,3.12
1729951386.87,6.44,2.379,0.0,9.79
1729951386.97,8.0,2.291,0.0,2.99
1729951387.07,8.0,2.008,0.0,5.16
1729951387.17,7.99,2.18,0.0,6.83
1729951387.27,8.01,2.253,0.0,9.77
1729951387.37,7.99,2.116,0.0,11.9
1729951387.47,9.61,2.037,0.0,8.03
1729951387.57,8.0,2.159,0.0,10.5
1729951387.67,8.0,2.559,0.0,12.8
1729951387.77,8.0,2.846,0.0,17.5
1729951387.87,8.0,2.339,0.0,15.8
1729951387.97,8.0,1.893,0.0,12.7
1729951388.07,8.0,1.755,0.0,3.0
1729951388.17,8.0,1.771,0.0,4.27
1729951388.27,8.0,1.832,0.0,13.0
1729951388.37,8.01,1.87,0.0,3.67
1729951388.47,7.99,2.149,0.0,4.57
1729951388.57,8.0,2.53,0.0,2.72
1729951388.67,8.0,2.022,0.0,6.21
1729951388.77,8.0,1.481,0.0,3.33
1729951388.87,7.89,1.292,0.0,3.23
1729951388.97,8.11,1.241,0.0,3.39
1729951389.07,6.4,1.229,0.0,2.23
1729951389.17,9.6,1.501,0.0,6.07
1729951389.27,6.4,1.515,0.0,2.01
1729951389.37,9.6,2.039,0.0,3.53
1729951389.47,6.4,1.82,0.0,2.58
1729951389.57,8.0,1.866,0.0,1.67
1729951389.67,8.0,1.756,0.0,3.52
1729951389.77,8.0,1.981,0.0,2.8
1729951389.87,8.0,1.976,0.0,2.94
1729951389.97,8.0,2.156,0.0,2.95
1729951390.07,8.0,2.535,0.0,2.16
1729951390.17,8.0,2.54,0.0,2.3
1729951390.27,8.0,2.714,0.0,1.89
1729951390.37,9.59,2.655,0.0,3.9
1729951390.47,6.4,2.463,0.0,2.29
1729951390.57,9.6,1.982,0.0,3.41
1729951390.67,8.0,1.924,0.0,2.13
1729951390.77,8.0,1.837,0.0,2.63
1729951390.87,6.4,1.914,0.0,3.13
1729951390.97,9.6,1.885,0.0,2.03
1729951391.07,6.39,2.177,0.0,2.95
1729951391.17,9.6,2.445,0.0,2.08
1729951391.27,6.41,2.434,0.0,3.19
1729951391.37,9.6,2.496,0.0,1.7
1729951391.47,8.01,2.473,0.0,3.04
1729951391.57,8.0,2.438,0.0,2.95
1729951391.67,8.0,2.298,0.0,3.81
1729951391.77,8.0,2.311,0.0,3.37
1729951391.87,7.99,2.626,0.0,2.01
1729951391.97,8.0,2.812,0.0,4.82
1729951392.07,8.0,2.685,0.0,1.82
1729951392.17,8.0,2.188,0.0,5.13
1729951392.27,8.0,1.885,0.0,1.9
1729951392.37,8.0,1.776,0.0,1.9
1729951392.47,8.0,1.957,0.0,2.98
1729951392.57,8.0,2.055,0.0,6.51
1729951392.67,8.0,2.16,0.0,4.14
1729951392.77,8.0,2.34,0.0,4.91
1729951392.87,8.0,2.656,0.0,3.98
1729951392.97,8.0,2.278,0.0,5.82
1729951393.07,8.0,2.034,0.0,6.0
1729951393.17,8.01,1.937,0.0,6.64
1729951393.27,7.99,1.828,0.0,8.6
1729951393.37,8.0,1.81,0.0,9.2
1729951393.47,8.01,1.917,0.0,10.0
1729951393.57,8.0,2.282,0.0,13.6
1729951393.67,6.4,2.361,0.0,15.7
1729951393.77,8.0,2.187,0.0,10.6
1729951393.87,8.0,1.764,0.0,2.18
1729951393.97,8.0,1.492,0.0,2.9
1729951394.07,8.0,1.251,0.0,2.02
1729951394.17,8.0,1.314,0.0,3.26
1729951394.27,8.0,1.907,0.0,1.91
1729951394.37,7.99,1.973,0.0,3.3
1729951394.47,8.01,2.011,0.0,2.52
1729951394.57,9.6,2.061,0.0,2.68
1729951394.67,6.4,1.662,0.0,2.96
1729951394.77,9.6,1.49,0.0,1.98
1729951394.87,6.41,1.969,0.0,3.26
1729951394.97,9.59,1.492,0.0,1.72
1729951395.07,6.4,1.597,0.0,3.16
1729951395.17,8.0,1.66,0.0,1.73
1729951395.27,9.6,1.79,0.0,2.13
1729951395.37,6.4,2.314,0.0,2.12
1729951395.47,9.6,2.442,0.0,1.9
1729951395.57,6.4,2.222,0.0,3.09
1729951395.67,9.6,2.054,0.0,1.95
1729951395.77,8.0,1.918,0.0,2.96
1729951395.87,8.0,1.921,0.0,2.02
1729951395.97,8.0,1.839,0.0,2.69
1729951396.07,8.0,1.796,0.0,1.96
1729951396.17,8.01,2.039,0.0,1.71
1729951396.27,8.0,2.425,0.0,2.87
1729951396.37,7.99,2.455,0.0,1.93
1729951396.47,8.0,2.137,0.0,3.0
1729951396.57,8.0,1.98,0.0,1.81
1729951396.67,8.0,1.965,0.0,1.99
1729951396.77,8.0,2.325,0.0,2.1
1729951396.87,8.0,2.703,0.0,1.98
1729951396.97,8.01,2.579,0.0,1.79
1729951397.07,8.0,2.653,0.0,1.65
1729951397.17,7.99,2.577,0.0,3.28
1729951397.27,8.0,2.536,0.0,1.8
1729951397.37,8.0,2.68,0.0,2.31
1729951397.47,8.01,2.712,0.0,2.75
1729951397.57,7.99,2.707,0.0,2.0
1729951397.67,8.0,2.709,0.0,2.9
1729951397.77,8.0,2.806,0.0,1.61
1729951397.87,6.38,2.891,0.0,3.56
1729951397.97,9.63,3.357,0.0,3.26
1729951398.07,6.4,2.764,0.0,2.9
1729951398.17,8.0,2.171,0.0,2.68
1729951398.27,8.0,1.777,0.0,2.39
1729951398.37,8.0,1.657,0.0,4.29
1729951398.47,8.0,1.575,0.0,8.84
1729951398.57,8.0,1.654,0.0,7.77
1729951398.67,8.0,1.71,0.0,6.7
1729951398.77,8.0,1.95,0.0,7.9
1729951398.87,9.6,2.091,0.0,7.38
1729951398.97,8.0,1.681,0.0,9.04
1729951399.07,8.0,1.347,0.0,10.7
1729951399.17,8.01,1.142,0.0,7.91
1729951399.27,8.0,1.446,0.0,10.705
1729951399.37,8.0,1.526,0.0,13.5
1729951399.47,7.99,1.625,0.0,13.2
1729951399.57,8.0,1.955,0.0,13.0
1729951399.67,8.0,2.215,0.0,10.4
1729951399.77,8.0,2.26,0.0,1.74
1729951399.87,8.0,1.872,0.0,2.8
1729951399.97,8.01,1.8,0.0,2.33
1729951400.07,8.0,1.681,0.0,1.86
1729951400.17,7.99,1.714,0.0,2.76
1729951400.27,8.0,1.914,0.0,7.46
1729951400.37,8.01,2.332,0.0,2.05
1729951400.47,7.99,2.557,0.0,2.84
1729951400.57,8.01,2.737,0.0,2.21
1729951400.67,7.99,2.071,0.0,6.39
1729951400.77,8.01,1.778,0.0,3.05
1729951400.87,7.99,1.542,0.0,3.03
1729951400.97,8.0,1.428,0.0,3.17
1729951401.07,8.0,1.761,0.0,3.13
1729951401.17,8.0,1.846,0.0,5.89
1729951401.27,8.0,2.044,0.0,1.81
1729951401.37,8.0,2.417,0.0,2.95
1729951401.47,6.4,2.352,0.0,1.96
1729951401.57,9.6,2.288,0.0,4.19
1729951401.67,6.4,1.989,0.0,2.09
1729951401.77,7.99,1.89,0.0,2.09
1729951401.87,8.0,1.976,0.0,3.34
1729951401.97,8.01,2.139,0.0,1.7
1729951402.07,7.99,2.249,0.0,3.04
1729951402.17,8.0,2.432,0.0,1.7
1729951402.27,8.0,2.51,0.0,2.47
1729951402.37,8.01,2.166,0.0,2.71
1729951402.47,7.98,2.017,0.0,2.61
1729951402.57,8.01,1.856,0.0,3.49
1729951402.67,8.0,1.764,0.0,3.54
1729951402.77,8.0,1.814,0.0,2.41
1729951402.87,7.99,1.974,0.0,3.12
1729951402.97,8.0,2.275,0.0,1.91
1729951403.07,8.01,2.544,0.0,4.46
1729951403.17,8.0,2.803,0.0,2.23
1729951403.27,9.6,2.437,0.0,3.61
1729951403.37,8.0,2.614,0.0,2.81
1729951403.47,8.0,2.442,0.0,2.66
1729951403.57,8.0,2.375,0.0,6.35
1729951403.67,8.0,2.347,0.0,2.37
1729951403.77,8.0,2.579,0.0,5.36
1729951403.87,8.01,2.678,0.0,3.95
1729951403.97,7.99,2.893,0.0,2.78
1729951404.07,8.01,2.755,0.0,5.57
1729951404.17,7.99,2.12,0.0,1.93
1729951404.27,8.0,1.829,0.0,4.27
1729951404.37,8.0,1.661,0.0,2.51
1729951404.47,8.0,1.715,0.0,3.6
1729951404.57,8.01,1.705,0.0,6.37
1729951404.67,7.99,1.835,0.0,6.2
1729951404.77,8.0,2.149,0.0,5.74
1729951404.87,7.99,1.862,0.0,6.59
1729951404.97,8.0,1.757,0.0,7.41
1729951405.07,6.4,1.664,0.0,10.5
1729951405.17,7.99,1.835,0.0,9.82
1729951405.27,8.0,2.357,0.0,9.06
1729951405.37,8.01,2.415,0.0,11.1
1729951405.47,9.6,2.534,0.0,14.6
1729951405.57,8.0,2.661,0.0,15.4
1729951405.67,8.0,2.956,0.0,10.8
1729951405.77,8.0,3.04,0.0,3.06
1729951405.87,8.0,2.628,0.0,2.04
1729951405.97,8.0,2.49,0.0,3.99
1729951406.07,8.0,2.4,0.0,1.99
1729951406.17,8.0,2.958,0.0,3.27
1729951406.27,8.0,2.702,0.0,2.18
1729951406.37,8.0,2.922,0.0,2.41
1729951406.47,6.4,2.763,0.0,3.11
1729951406.57,8.0,2.499,0.0,2.26
1729951406.67,8.0,2.081,0.0,2.94
1729951406.77,8.0,1.882,0.0,1.85
1729951406.87,8.0,1.582,0.0,3.64
1729951406.97,8.0,1.717,0.0,2.88
1729951407.07,8.0,1.824,0.0,2.69
1729951407.17,8.0,2.316,0.0,3.19
1729951407.27,8.0,2.438,0.0,4.1
1729951407.37,8.0,2.647,0.0,4.15
1729951407.47,9.6,2.316,0.0,1.84
1729951407.57,8.0,2.093,0.0,2.71
1729951407.67,8.0,2.238,0.0,3.66
1729951407.77,8.0,2.054,0.0,6.57
1729951407.87,8.0,1.971,0.0,3.44
1729951407.97,8.0,2.098,0.0,2.73
1729951408.07,8.0,2.55,0.0,2.25
1729951408.17,8.0,2.808,0.0,3.42
1729951408.27,7.99,2.992,0.0,3.56
1729951408.37,8.0,2.448,0.0,3.51
1729951408.47,8.01,2.348,0.0,2.77
1729951408.57,8.01,2.202,0.0,2.11
1729951408.67,7.99,2.472,0.0,2.52
1729951408.77,8.0,2.382,0.0,3.93
1729951408.87,8.01,2.333,0.0,4.01
1729951408.97,7.99,2.6,0.0,2.78
1729951409.07,8.0,2.929,0.0,3.57
1729951409.17,8.0,2.839,0.0,6.75
1729951409.27,8.0,2.721,0.0,2.33
1729951409.37,8.0,2.638,0.0,3.34
1729951409.47,8.0,2.707,0.0,1.84
1729951409.57,8.0,2.751,0.0,3.38
1729951409.67,8.01,2.798,0.0,10.5
1729951409.77,8.0,2.869,0.0,2.77
1729951409.87,7.99,3.129,0.0,4.2
1729951409.97,8.01,2.947,0.0,2.6
1729951410.07,8.0,2.446,0.0,10.8
1729951410.17,7.99,2.022,0.0,3.13
1729951410.27,8.0,1.899,0.0,2.76
1729951410.37,8.01,1.785,0.0,3.33
1729951410.47,6.4,1.849,0.0,2.4
1729951410.57,9.6,2.188,0.0,12.8
1729951410.67,8.0,2.364,0.0,5.03
1729951410.77,8.0,2.643,0.0,6.23
1729951410.87,6.4,2.161,0.0,7.25
1729951410.97,8.01,1.879,0.0,8.01
1729951411.07,7.99,1.823,0.0,14.0
1729951411.17,8.01,2.05,0.0,11.5
1729951411.27,8.0,2.047,0.0,12.3
1729951411.37,7.99,2.057,0.0,13.2
1729951411.47,8.0,2.173,0.0,15.4
1729951411.57,8.0,2.278,0.0,10.7
1729951411.67,8.0,2.668,0.0,2.29
1729951411.77,9.61,2.026,0.0,3.98
1729951411.87,6.41,1.809,0.0,2.28
1729951411.97,9.58,1.701,0.0,4.57
1729951412.07,8.0,1.397,0.0,2.58
1729951412.17,8.0,1.361,0.0,3.07
1729951412.27,8.01,1.412,0.0,3.62
1729951412.37,7.99,1.636,0.0,1.99
1729951412.47,8.0,2.299,0.0,3.75
1729951412.57,8.01,1.872,0.0,2.18
1729951412.67,7.99,1.706,0.0,3.39
1729951412.77,8.0,1.974,0.0,3.34
1729951412.87,8.01,1.861,0.0,2.81
1729951412.97,7.99,2.256,0.0,3.12
1729951413.07,8.0,2.262,0.0,2.12
1729951413.17,8.01,2.667,0.0,3.4
1729951413.27,7.99,2.85,0.0,2.54
1729951413.37,7.99,3.071,0.0,2.35
