Time,Bitrate,Jitter,Datagrams,Delay
1729951379.61,20.8,0.407,0.0,1.05
1729951379.71,20.8,0.471,0.0,2.49
1729951379.81,19.2,0.734,0.0,1.19
1729951379.91,20.8,0.746,0.0,3.56
1729951380.01,19.2,0.762,0.0,1.67
1729951380.11,20.8,0.604,0.0,1.0
1729951380.21,19.2,0.591,0.0,1.57
1729951380.31,20.8,0.847,0.0,4.01
1729951380.41,19.2,0.849,0.0,1.2
1729951380.51,20.8,0.820,0.0,1.0
1729951380.61,19.2,0.765,0.0,1.59
1729951380.71,20.8,0.690,0.0,2.5
1729951380.81,19.0,0.888,0.0,2.39
1729951380.91,21.0,0.827,0.0,2.03
1729951381.01,19.2,0.925,0.0,1.27
1729951381.11,20.8,0.925,0.0,1.0
1729951381.21,19.2,0.736,0.0,0.833
1729951381.31,20.8,1.067,0.0,2.6
1729951381.41,19.2,1.107,0.0,1.62
1729951381.51,19.2,1.058,0.0,1.62
1729951381.61,20.8,0.992,0.0,NA
1729951381.71,20.8,0.872,0.0,1.39
1729951381.81,19.2,1.076,0.0,NA
1729951381.91,19.2,1.091,0.0,2.33
1729951382.01,20.8,1.073,0.0,NA
1729951382.11,19.2,0.952,0.0,2.02
1729951382.21,20.8,0.759,0.0,1.84
1729951382.31,19.2,0.946,0.0,1.24
1729951382.41,20.8,1.121,0.0,2.27
1729951382.51,19.2,0.951,0.0,1.75
1729951382.61,20.8,1.036,0.0,1.93
1729951382.71,19.2,0.768,0.0,1.98
1729951382.81,19.2,0.714,0.0,1.39
1729951382.91,20.8,0.765,0.0,2.19
1729951383.01,20.8,0.674,0.0,1.27
1729951383.11,20.8,0.620,0.0,2.23
1729951383.21,19.2,0.750,0.0,3.07
1729951383.31,20.8,0.534,0.0,1.92
1729951383.41,19.2,0.699,0.0,1.36
1729951383.51,20.8,0.721,0.0,2.73
1729951383.61,19.2,0.682,0.0,3.7
1729951383.71,19.2,0.762,0.0,3.91
1729951383.81,20.8,0.722,0.0,5.08
1729951383.91,20.8,0.776,0.0,4.08
1729951384.01,19.2,0.860,0.0,6.28
1729951384.11,20.8,0.788,0.0,6.47
1729951384.21,19.2,0.685,0.0,6.34
1729951384.31,20.8,0.628,0.0,7.02
1729951384.41,19.2,0.815,0.0,8.82
1729951384.51,20.8,0.810,0.0,10.1
1729951384.61,19.2,0.838,0.0,6.85
1729951384.71,20.8,0.703,0.0,2.43
1729951384.81,19.2,0.608,0.0,2.05
1729951384.91,20.8,0.981,0.0,1.57
1729951385.01,19.2,0.931,0.0,1.62
1729951385.11,20.8,0.961,0.0,0.96
1729951385.21,19.2,0.766,0.0,1.95
1729951385.31,20.8,0.750,0.0,1.15
1729951385.41,19.2,1.068,0.0,2.17
1729951385.51,20.8,1.032,0.0,1.19
1729951385.61,19.2,0.929,0.0,1.41
1729951385.71,20.8,0.805,0.0,1.27
1729951385.81,19.2,0.791,0.0,1.13
1729951385.91,20.8,0.971,0.0,1.81
1729951386.01,19.2,0.916,0.0,1.08
1729951386.11,20.8,0.858,0.0,1.61
1729951386.21,19.2,0.866,0.0,1.18
1729951386.31,19.2,0.755,0.0,1.33
1729951386.41,20.8,0.994,0.0,1.46
1729951386.51,19.2,1.009,0.0,1.45
1729951386.61,20.8,0.942,0.0,1.76
1729951386.71,19.2,0.918,0.0,1.22
1729951386.81,20.8,0.747,0.0,1.02
1729951386.91,19.2,0.877,0.0,0.917
1729951387.01,19.2,0.851,0.0,0.925
1729951387.11,20.8,0.844,0.0,1.17
1729951387.21,20.8,0.798,0.0,1.13
1729951387.31,20.8,0.708,0.0,1.44
1729951387.41,19.2,0.719,0.0,0.891
1729951387.51,20.8,0.818,0.0,1.47
1729951387.61,19.2,0.799,0.0,1.44
1729951387.71,20.8,0.756,0.0,1.41
1729951387.81,19.2,0.724,0.0,2.24
1729951387.91,20.8,0.702,0.0,1.07
1729951388.01,19.2,0.875,0.0,2.04
1729951388.11,20.8,0.824,0.0,1.68
1729951388.21,19.2,0.780,0.0,2.73
1729951388.31,20.8,0.657,0.0,1.61
1729951388.41,19.2,0.623,0.0,1.81
1729951388.51,20.8,0.731,0.0,4.12
1729951388.61,19.2,0.860,0.0,1.14
1729951388.71,20.8,0.795,0.0,2.06
1729951388.81,19.2,0.789,0.0,1.78
1729951388.91,20.8,0.750,0.0,1.92
1729951389.01,19.2,0.807,0.0,4.44
1729951389.11,20.8,0.876,0.0,1.25
1729951389.21,19.2,0.747,0.0,3.31
1729951389.31,20.8,0.626,0.0,3.37
1729951389.41,19.2,0.589,0.0,5.81
1729951389.51,20.8,0.885,0.0,4.91
1729951389.61,19.2,0.930,0.0,7.16
1729951389.71,19.2,1.044,0.0,6.62
1729951389.81,20.8,0.836,0.0,8.75
1729951389.91,20.8,0.649,0.0,6.29
1729951390.01,19.2,0.861,0.0,5.45
1729951390.11,19.1,1.008,0.0,9.84
1729951390.21,20.9,0.943,0.0,7.93
1729951390.31,19.2,0.824,0.0,9.33
1729951390.41,20.8,0.796,0.0,9.48
1729951390.51,19.2,1.086,0.0,1.52
1729951390.61,20.8,0.999,0.0,2.39
1729951390.71,19.2,1.002,0.0,1.54
1729951390.81,20.8,0.780,0.0,1.09
1729951390.91,19.2,0.640,0.0,1.4
1729951391.01,20.8,0.895,0.0,2.24
1729951391.11,19.2,0.906,0.0,1.15
1729951391.21,20.8,0.854,0.0,1.12
1729951391.31,19.2,0.545,0.0,1.33
1729951391.41,20.8,0.686,0.0,1.73
1729951391.51,19.2,0.559,0.0,3.96
1729951391.61,20.8,0.732,0.0,1.41
1729951391.71,20.8,0.721,0.0,0.934
1729951391.81,19.2,0.570,0.0,1.63
1729951391.91,20.8,0.660,0.0,1.9
1729951392.01,19.2,0.526,0.0,2.64
1729951392.11,20.8,0.691,0.0,1.74
1729951392.21,19.2,0.785,0.0,1.18
1729951392.31,19.2,0.764,0.0,1.02
1729951392.41,20.8,0.643,0.0,0.997
1729951392.51,20.8,0.625,0.0,1.06
1729951392.61,19.2,0.781,0.0,1.39
1729951392.71,20.8,0.780,0.0,0.803
1729951392.81,19.2,0.797,0.0,0.918
1729951392.91,20.8,0.707,0.0,1.38
1729951393.01,19.2,0.687,0.0,0.852
1729951393.11,20.8,0.854,0.0,1.44
1729951393.21,19.2,0.843,0.0,0.956
1729951393.31,20.8,0.786,0.0,1.37
1729951393.41,19.2,0.675,0.0,0.825
1729951393.51,19.2,0.594,0.0,1.03
1729951393.61,20.8,0.879,0.0,1.1
1729951393.71,20.8,0.918,0.0,1.05
