Time,Bitrate,Jitter,Datagrams
1729951379.64,20.8,0.881,0.0
1729951379.74,20.8,1.232,0.0
1729951379.84,19.2,1.650,0.0
1729951379.94,19.2,1.297,0.0
1729951380.04,20.8,1.251,0.0
1729951380.14,19.2,1.161,0.0
1729951380.24,20.8,1.596,0.0
1729951380.34,19.2,1.132,0.0
1729951380.44,20.8,1.321,0.0
1729951380.54,20.8,1.112,0.0
1729951380.64,20.8,1.356,0.0
1729951380.74,19.2,1.242,0.0
1729951380.84,19.2,1.270,0.0
1729951380.94,20.8,1.389,0.0
1729951381.04,20.8,1.464,0.0
1729951381.14,19.2,1.604,0.0
1729951381.24,19.2,1.486,0.0
1729951381.34,20.8,1.593,0.0
1729951381.44,20.8,1.539,0.0
1729951381.54,19.1,1.469,0.0
1729951381.64,19.3,1.489,0.0
1729951381.74,20.8,1.342,0.0
1729951381.84,20.8,1.497,0.0
1729951381.94,19.2,1.493,0.0
1729951382.04,19.2,1.554,0.0
1729951382.14,20.8,1.383,0.0
1729951382.24,19.2,1.148,0.0
1729951382.34,20.9,1.554,0.0
1729951382.44,19.2,1.479,0.0
1729951382.54,20.8,1.352,0.0
1729951382.64,19.2,1.548,0.0
1729951382.74,20.8,1.552,0.0
1729951382.84,19.2,1.513,0.0
1729951382.94,20.8,1.526,0.0
1729951383.04,19.2,1.616,0.0
1729951383.14,20.8,1.332,0.0
1729951383.24,19.2,1.460,0.0
1729951383.34,20.8,1.458,0.0
1729951383.44,20.8,1.553,0.0
1729951383.54,19.2,1.481,0.0
1729951383.64,20.8,1.447,0.0
1729951383.74,19.2,1.647,0.0
1729951383.84,20.8,1.693,0.0
1729951383.94,19.2,1.615,0.0
1729951384.04,19.2,1.532,0.0
1729951384.14,20.8,1.549,0.0
1729951384.24,19.2,1.603,0.0
1729951384.34,19.2,1.650,0.0
1729951384.44,20.8,1.764,0.0
1729951384.54,19.2,1.245,0.0
1729951384.64,20.8,1.225,0.0
1729951384.74,19.2,1.030,0.0
1729951384.84,20.8,0.973,0.0
1729951384.94,20.8,1.101,0.0
1729951385.04,20.8,1.051,0.0
1729951385.14,19.2,1.196,0.0
1729951385.24,20.8,1.185,0.0
1729951385.34,19.2,1.368,0.0
1729951385.44,20.8,1.374,0.0
1729951385.54,19.2,1.447,0.0
1729951385.64,20.8,1.309,0.0
1729951385.74,19.2,1.519,0.0
1729951385.84,19.2,1.356,0.0
1729951385.94,20.8,1.282,0.0
1729951386.04,20.8,1.228,0.0
1729951386.14,19.2,1.356,0.0
1729951386.24,19.2,1.569,0.0
1729951386.34,20.8,1.277,0.0
1729951386.44,20.8,1.276,0.0
1729951386.54,19.2,1.413,0.0
1729951386.64,19.2,1.439,0.0
1729951386.74,20.8,1.456,0.0
1729951386.84,20.8,1.243,0.0
1729951386.94,19.2,1.469,0.0
1729951387.04,19.2,1.645,0.0
1729951387.14,20.8,1.520,0.0
1729951387.24,19.2,1.695,0.0
1729951387.34,20.8,1.357,0.0
1729951387.44,19.2,1.697,0.0
1729951387.54,20.8,1.679,0.0
1729951387.64,20.8,1.746,0.0
1729951387.74,19.1,1.690,0.0
1729951387.84,20.8,1.527,0.0
1729951387.94,19.2,1.840,0.0
1729951388.04,20.8,1.724,0.0
1729951388.14,19.2,1.691,0.0
1729951388.24,20.8,1.511,0.0
1729951388.34,19.2,1.503,0.0
1729951388.44,19.2,1.750,0.0
1729951388.54,20.8,1.872,0.0
1729951388.64,19.2,1.728,0.0
1729951388.74,19.2,1.162,0.0
1729951388.84,20.8,1.388,0.0
1729951388.94,19.2,1.181,0.0
1729951389.04,20.8,1.290,0.0
1729951389.14,20.8,1.110,0.0
1729951389.24,20.8,0.894,0.0
1729951389.34,19.2,0.935,0.0
1729951389.44,20.8,0.953,0.0
1729951389.54,19.2,1.162,0.0
1729951389.64,20.8,1.184,0.0
1729951389.74,19.2,1.281,0.0
1729951389.84,20.8,1.158,0.0
1729951389.94,19.2,1.154,0.0
1729951390.04,20.8,1.433,0.0
1729951390.14,19.2,1.333,0.0
1729951390.24,20.8,1.211,0.0
1729951390.34,19.2,1.166,0.0
1729951390.44,20.8,1.264,0.0
1729951390.54,19.2,1.412,0.0
1729951390.64,20.8,1.341,0.0
1729951390.74,19.2,1.485,0.0
1729951390.84,20.8,1.211,0.0
1729951390.94,19.2,1.299,0.0
1729951391.04,20.8,1.487,0.0
1729951391.14,19.2,1.488,0.0
1729951391.24,20.8,1.395,0.0
1729951391.34,19.2,1.431,0.0
1729951391.44,20.8,1.685,0.0
1729951391.54,19.2,1.641,0.0
1729951391.64,19.2,1.607,0.0
1729951391.74,20.8,1.513,0.0
1729951391.84,20.8,1.555,0.0
1729951391.94,19.2,1.599,0.0
1729951392.04,19.2,1.519,0.0
1729951392.14,20.8,1.617,0.0
1729951392.24,20.8,1.527,0.0
1729951392.34,19.2,1.500,0.0
1729951392.44,19.2,1.535,0.0
1729951392.54,20.8,1.640,0.0
1729951392.64,19.2,1.595,0.0
1729951392.74,20.8,1.478,0.0
1729951392.84,19.2,1.519,0.0
1729951392.94,20.8,1.261,0.0
1729951393.04,19.2,1.634,0.0
1729951393.14,19.2,1.217,0.0
1729951393.24,20.8,1.176,0.0
1729951393.34,20.8,1.688,0.0
1729951393.44,19.2,1.470,0.0
1729951393.54,20.8,1.333,0.0
1729951393.64,20.8,1.307,0.0
1729951393.74,19.2,1.624,0.0
1729951393.84,20.8,1.503,0.0
1729951393.94,19.2,1.333,0.0
1729951394.04,20.8,1.073,0.0
1729951394.14,19.2,1.136,0.0
1729951394.24,20.8,1.460,0.0
1729951394.34,19.2,1.280,0.0
1729951394.44,20.8,1.104,0.0
1729951394.54,19.2,0.987,0.0
1729951394.64,20.8,1.197,0.0
1729951394.74,19.2,1.395,0.0
1729951394.84,20.8,1.802,0.0
1729951394.94,19.2,1.406,0.0
1729951395.04,20.8,1.040,0.0
1729951395.14,19.2,1.319,0.0
1729951395.24,19.2,1.465,0.0
1729951395.34,20.8,1.671,0.0
1729951395.44,19.2,1.636,0.0
1729951395.54,20.8,1.473,0.0
1729951395.64,19.2,1.830,0.0
1729951395.74,20.8,1.583,0.0
1729951395.84,19.2,1.624,0.0
1729951395.94,20.8,1.438,0.0
1729951396.04,20.8,1.245,0.0
1729951396.14,19.2,1.441,0.0
1729951396.24,19.2,1.447,0.0
1729951396.34,19.2,1.591,0.0
1729951396.44,20.8,1.512,0.0
1729951396.54,20.8,1.447,0.0
1729951396.64,19.2,1.843,0.0
1729951396.74,19.2,1.879,0.0
1729951396.84,20.8,1.716,0.0
1729951396.94,20.8,1.353,0.0
1729951397.04,19.2,1.196,0.0
1729951397.14,19.2,1.408,0.0
1729951397.24,20.8,1.465,0.0
1729951397.34,19.2,1.589,0.0
1729951397.44,20.8,1.193,0.0
1729951397.54,19.2,1.015,0.0
1729951397.64,20.8,1.099,0.0
1729951397.74,20.8,1.370,0.0
1729951397.84,19.2,1.490,0.0
1729951397.94,20.8,1.388,0.0
1729951398.04,20.8,1.104,0.0
1729951398.14,19.2,1.337,0.0
1729951398.24,19.2,1.481,0.0
1729951398.34,20.8,1.367,0.0
1729951398.44,19.2,1.249,0.0
1729951398.54,20.8,1.135,0.0
1729951398.64,20.8,1.149,0.0
1729951398.74,19.2,1.346,0.0
1729951398.84,20.8,1.274,0.0
1729951398.94,19.2,1.245,0.0
1729951399.04,20.8,1.114,0.0
1729951399.14,19.2,1.155,0.0
1729951399.24,19.2,1.340,0.0
1729951399.34,20.8,1.213,0.0
1729951399.44,19.2,1.113,0.0
1729951399.54,20.8,1.206,0.0
1729951399.64,20.8,1.256,0.0
1729951399.74,19.2,1.422,0.0
1729951399.84,20.8,1.332,0.0
1729951399.94,19.2,1.311,0.0
