Time,Bitrate,Jitter,Datagrams,Delay
1729951380.77,19.2,1.242,0.0,6.02
1729951380.87,19.2,1.27,0.0,3.58
1729951380.97,20.8,1.389,0.0,6.02
1729951381.07,20.8,1.464,0.0,5.81
1729951381.17,19.2,1.604,0.0,5.95
1729951381.27,19.2,1.486,0.0,7.11
1729951381.37,20.8,1.593,0.0,4.34
1729951381.47,20.8,1.539,0.0,7.19
1729951381.57,19.1,1.469,0.0,3.54
1729951381.67,19.3,1.489,0.0,5.87
1729951381.77,20.8,1.342,0.0,3.32
1729951381.87,20.8,1.497,0.0,4.59
1729951381.97,19.2,1.493,0.0,4.87
1729951382.07,19.2,1.554,0.0,3.74
1729951382.17,20.8,1.383,0.0,5.78
1729951382.27,19.2,1.148,0.0,6.06
1729951382.37,20.9,1.554,0.0,NA
1729951382.47,19.2,1.479,0.0,4.53
1729951382.57,20.8,1.352,0.0,3.34
1729951382.67,19.2,1.548,0.0,5.62
1729951382.77,20.8,1.552,0.0,4.15
1729951382.87,19.2,1.513,0.0,NA
1729951382.97,20.8,1.526,0.0,4.4
1729951383.07,19.2,1.616,0.0,3.41
1729951383.17,20.8,1.332,0.0,5.08
1729951383.27,19.2,1.46,0.0,3.04
1729951383.37,20.8,1.458,0.0,NA
1729951383.47,20.8,1.553,0.0,2.51
1729951383.57,19.2,1.481,0.0,4.43
1729951383.67,20.8,1.447,0.0,3.23
1729951383.77,19.2,1.647,0.0,NA
1729951383.87,20.8,1.693,0.0,4.43
1729951383.97,19.2,1.615,0.0,2.02
1729951384.07,19.2,1.532,0.0,NA
1729951384.17,20.8,1.549,0.0,3.26
1729951384.27,19.2,1.603,0.0,7.78
1729951384.37,19.2,1.65,0.0,3.63
1729951384.47,20.8,1.764,0.0,3.44
1729951384.57,19.2,1.245,0.0,7.36
1729951384.67,20.8,1.225,0.0,7.91
1729951384.77,19.2,1.03,0.0,12.7
1729951384.87,20.8,0.973,0.0,7.6
1729951384.97,20.8,1.101,0.0,6.35
1729951385.07,20.8,1.051,0.0,12.7
1729951385.17,19.2,1.196,0.0,12.3
1729951385.27,20.8,1.185,0.0,17.5
1729951385.37,19.2,1.368,0.0,13.8
1729951385.47,20.8,1.374,0.0,14.6
1729951385.57,19.2,1.447,0.0,20.0
1729951385.67,20.8,1.309,0.0,17.5
1729951385.77,19.2,1.519,0.0,11.5
1729951385.87,19.2,1.356,0.0,12.4
1729951385.97,20.8,1.282,0.0,3.93
1729951386.07,20.8,1.228,0.0,8.16
1729951386.17,19.2,1.356,0.0,4.13
1729951386.27,19.2,1.569,0.0,4.63
1729951386.37,20.8,1.277,0.0,4.84
1729951386.47,20.8,1.276,0.0,3.25
1729951386.57,19.2,1.413,0.0,8.14
1729951386.67,19.2,1.439,0.0,3.08
1729951386.77,20.8,1.456,0.0,4.89
1729951386.87,20.8,1.243,0.0,3.69
1729951386.97,19.2,1.469,0.0,4.81
1729951387.07,19.2,1.645,0.0,5.61
1729951387.17,20.8,1.52,0.0,3.62
1729951387.27,19.2,1.695,0.0,5.12
1729951387.37,20.8,1.357,0.0,3.93
1729951387.47,19.2,1.697,0.0,4.13
1729951387.57,20.8,1.679,0.0,4.63
1729951387.67,20.8,1.746,0.0,2.93
1729951387.77,19.1,1.69,0.0,4.51
1729951387.87,20.8,1.527,0.0,3.38
1729951387.97,19.2,1.84,0.0,4.32
1729951388.07,20.8,1.724,0.0,4.64
1729951388.17,19.2,1.691,0.0,3.02
1729951388.27,20.8,1.511,0.0,4.01
1729951388.37,19.2,1.503,0.0,2.16
1729951388.47,19.2,1.75,0.0,3.92
1729951388.57,20.8,1.872,0.0,2.43
1729951388.67,19.2,1.728,0.0,3.43
1729951388.77,19.2,1.162,0.0,2.66
1729951388.87,20.8,1.388,0.0,2.08
1729951388.97,19.2,1.181,0.0,3.39
