Time,Bitrate,Jitter,Datagrams,Delay
1729951380.77,19.2,1.012,0.0,6.18
1729951380.87,20.8,0.954,0.0,7.91
1729951380.97,20.8,0.843,0.0,9.48
1729951381.07,19.2,0.859,0.0,0.932
1729951381.17,20.8,0.971,0.0,1.1
1729951381.27,19.2,0.971,0.0,1.39
1729951381.37,20.8,0.984,0.0,2.04
1729951381.47,19.2,0.933,0.0,1.23
1729951381.57,20.8,0.932,0.0,1.98
1729951381.67,19.2,1.027,0.0,3.54
1729951381.77,20.8,1.017,0.0,2.19
1729951381.87,19.2,1.054,0.0,1.25
1729951381.97,20.8,0.863,0.0,2.42
1729951382.07,19.2,0.844,0.0,1.97
1729951382.17,20.8,0.99,0.0,3.38
1729951382.27,19.2,1.008,0.0,2.3
1729951382.37,20.8,1.075,0.0,1.37
1729951382.47,19.2,0.939,0.0,2.29
1729951382.57,20.8,0.836,0.0,1.2
1729951382.67,19.2,1.16,0.0,5.09
1729951382.77,20.8,1.126,0.0,1.96
1729951382.87,19.2,1.0,0.0,1.51
1729951382.97,20.8,0.87,0.0,1.97
1729951383.07,19.2,1.007,0.0,0.782
1729951383.17,20.8,1.09,0.0,1.73
1729951383.27,19.2,1.12,0.0,1.78
1729951383.37,20.8,1.025,0.0,1.385
1729951383.47,19.2,0.91,0.0,0.99
1729951383.57,20.8,0.852,0.0,0.979
1729951383.67,19.2,1.145,0.0,1.91
1729951383.77,20.8,1.27,0.0,0.996
1729951383.87,19.2,1.121,0.0,1.253
1729951383.97,20.8,0.97,0.0,1.51
1729951384.07,19.2,0.942,0.0,1.25
1729951384.17,20.8,1.152,0.0,0.989
1729951384.27,19.2,1.076,0.0,2.31
1729951384.37,20.8,1.083,0.0,0.986
1729951384.47,19.2,1.301,0.0,2.2
1729951384.57,19.2,1.02,0.0,3.24
1729951384.67,20.8,1.084,0.0,1.69
1729951384.77,20.8,1.17,0.0,2.95
1729951384.87,19.2,1.062,0.0,1.17
1729951384.97,19.2,0.814,0.0,2.26
1729951385.07,20.8,0.694,0.0,3.5
1729951385.17,19.2,0.724,0.0,3.51
1729951385.27,20.8,0.799,0.0,6.46
1729951385.37,20.8,0.93,0.0,4.11
1729951385.47,19.2,0.838,0.0,4.44
1729951385.57,20.8,0.831,0.0,8.09
1729951385.67,19.2,0.708,0.0,6.31
1729951385.77,20.8,0.939,0.0,4.45
1729951385.87,19.2,0.969,0.0,5.06
1729951385.97,20.8,0.823,0.0,4.92
1729951386.07,19.2,0.831,0.0,6.79
1729951386.17,20.8,0.859,0.0,6.29
1729951386.27,19.2,0.995,0.0,6.18
1729951386.37,20.8,0.979,0.0,6.7
1729951386.47,19.2,0.878,0.0,6.51
1729951386.57,20.8,0.943,0.0,7.9
1729951386.67,19.2,0.881,0.0,8.98
1729951386.77,20.8,1.015,0.0,0.927
1729951386.87,19.2,1.002,0.0,10.3
1729951386.97,20.8,0.984,0.0,1.58
1729951387.07,19.2,0.974,0.0,1.0
1729951387.17,20.8,0.864,0.0,2.26
1729951387.27,19.2,1.024,0.0,1.23
1729951387.37,20.8,0.969,0.0,2.84
1729951387.47,19.2,1.071,0.0,1.57
1729951387.57,20.8,0.917,0.0,1.5
1729951387.67,19.2,1.087,0.0,2.37
1729951387.77,20.8,1.256,0.0,1.26
1729951387.87,19.2,1.218,0.0,2.43
1729951387.97,20.8,1.184,0.0,1.84
1729951388.07,19.2,1.031,0.0,2.18
1729951388.17,20.8,0.938,0.0,2.37
1729951388.27,19.2,1.173,0.0,1.32
1729951388.37,20.8,1.175,0.0,2.27
1729951388.47,19.2,1.164,0.0,1.01
1729951388.57,20.8,1.188,0.0,1.75
1729951388.67,19.2,1.268,0.0,1.1
1729951388.77,20.8,1.387,0.0,1.43
1729951388.87,19.2,1.267,0.0,1.0
1729951388.97,20.8,1.122,0.0,0.808
1729951389.07,19.2,0.95,0.0,1.41
1729951389.17,19.2,0.669,0.0,1.59
1729951389.27,20.8,0.899,0.0,0.936
1729951389.37,19.2,0.78,0.0,2.22
1729951389.47,20.8,0.759,0.0,1.22
1729951389.57,20.8,0.756,0.0,1.64
1729951389.67,19.2,0.696,0.0,1.46
1729951389.77,20.8,0.73,0.0,1.45
1729951389.87,19.2,0.809,0.0,1.46
1729951389.97,20.8,1.017,0.0,1.2
1729951390.07,19.2,0.863,0.0,2.28
1729951390.17,20.8,0.766,0.0,1.38
1729951390.27,19.2,0.795,0.0,2.53
1729951390.37,20.8,0.856,0.0,1.4
1729951390.47,19.2,1.065,0.0,1.79
1729951390.57,20.8,0.885,0.0,4.03
1729951390.67,19.2,0.864,0.0,1.02
1729951390.77,20.8,0.821,0.0,3.49
1729951390.87,19.2,0.872,0.0,1.66
1729951390.97,20.8,1.088,0.0,2.44
1729951391.07,19.2,0.944,0.0,5.39
1729951391.17,20.8,0.88,0.0,2.8
1729951391.27,19.2,0.84,0.0,5.55
1729951391.37,20.8,0.934,0.0,4.12
1729951391.47,19.2,1.179,0.0,6.82
1729951391.57,20.8,0.982,0.0,4.91
1729951391.67,19.2,0.875,0.0,6.38
1729951391.77,20.8,0.804,0.0,4.13
