Time,Delay
1729950878.517,4.13
1729950878.616,5.39
1729950878.712,1.67
1729950878.814,2.74
1729950878.915,3.04
1729950879.016,3.36
1729950879.117,3.17
1729950879.216,1.61
1729950879.319,4.01
1729950879.417,1.73
1729950879.518,2.88
1729950879.62,2.66
1729950879.72,1.49
1729950879.821,2.13
1729950879.92,1.57
1729950880.023,2.51
1729950880.123,2.81
1729950880.223,1.49
1729950880.326,2.87
1729950880.425,1.56
1729950880.527,2.8
1729950880.628,2.97
1729950880.727,2.08
1729950880.828,2.14
1729950880.928,1.53
1729950881.03,2.89
1729950881.13,2.52
1729950881.232,3.04
1729950881.333,3.9
1729950881.431,2.41
1729950881.534,3.71
1729950881.633,1.75
1729950881.734,2.39
1729950881.835,3.07
1729950881.935,2.02
1729950882.037,3.25
1729950882.138,4.62
1729950882.238,3.48
1729950882.339,2.7
1729950882.439,2.88
1729950882.54,3.47
1729950882.645,7.3
1729950882.742,4.19
1729950882.844,5.25
1729950882.945,4.9
1729950883.05,9.78
1729950883.145,3.2
1729950883.248,6.03
1729950883.35,6.44
1729950883.45,6.6
1729950883.56,15.2
1729950883.652,7.09
1729950883.755,9.37
1729950883.858,11.4
1729950883.96,14.5
1729950884.063,14.9
1729950884.155,7.72
1729950884.257,8.86
1729950884.351,2.02
1729950884.454,3.73
1729950884.555,4.3
1729950884.655,2.74
1729950884.756,3.09
1729950884.855,2.22
1729950884.958,5.02
1729950885.055,2.08
1729950885.157,2.64
1729950885.257,1.9
1729950885.358,2.62
1729950885.46,3.22
1729950885.559,1.71
1729950885.661,2.26
1729950885.761,1.54
1729950885.862,2.49
1729950885.963,3.03
1729950886.063,2.31
1729950886.163,2.27
1729950886.263,1.5
1729950886.365,2.26
1729950886.464,1.79
1729950886.566,2.64
1729950886.668,3.08
1729950886.767,1.95
1729950886.867,2.45
1729950886.969,3.13
1729950887.069,2.37
1729950887.168,1.7
1729950887.27,2.41
1729950887.372,3.98
1729950887.473,4.5
1729950887.573,3.78
1729950887.672,1.74
1729950887.774,3.54
1729950887.876,4.25
1729950887.976,4.06
1729950888.076,3.0
1729950888.176,2.81
1729950888.277,2.76
1729950888.382,6.97
1729950888.479,4.12
1729950888.585,9.3
1729950888.682,6.38
1729950888.782,5.72
1729950888.885,8.39
1729950888.985,7.37
1729950889.092,14.2
1729950889.19,10.7
1729950889.29,9.97
1729950889.392,11.5
1729950889.498,16.7
1729950889.593,11.0
1729950889.696,13.6
1729950889.794,11.1
1729950889.898,13.9
1729950889.995,11.1
1729950890.087,2.31
1729950890.187,2.46
1729950890.287,1.6
1729950890.39,2.77
1729950890.491,3.29
1729950890.592,3.1
1729950890.693,4.32
1729950890.792,2.79
1729950890.895,4.27
1729950890.996,4.76
1729950891.095,2.96
1729950891.195,2.91
1729950891.296,2.58
1729950891.398,3.39
1729950891.498,2.66
1729950891.6,4.0
1729950891.7,4.36
1729950891.8,3.3
1729950891.9,3.76
1729950892.0,1.64
1729950892.103,4.03
1729950892.205,5.99
1729950892.304,4.22
1729950892.405,4.45
1729950892.505,3.77
1729950892.607,4.78
1729950892.712,8.95
1729950892.807,3.96
1729950892.907,3.16
1729950893.007,2.32
1729950893.109,3.03
1729950893.224,18.1
1729950893.309,3.38
1729950893.409,1.96
1729950893.51,3.27
1729950893.609,1.67
1729950893.718,9.33
1729950893.814,4.4
1729950893.912,2.39
1729950894.025,15.0
1729950894.116,5.38
1729950894.221,9.41
1729950894.315,2.68
1729950894.416,2.57
1729950894.517,3.3
1729950894.627,12.9
1729950894.723,8.56
1729950894.823,7.37
1729950894.923,7.01
1729950895.026,9.12
1729950895.128,11.2
1729950895.23,12.8
1729950895.329,11.5
1729950895.43,11.4
1729950895.532,12.1
1729950895.634,14.2
1729950895.735,14.4
1729950895.823,2.09
1729950895.924,2.25
1729950896.024,2.23
1729950896.125,2.69
1729950896.229,4.76
1729950896.327,1.92
1729950896.429,2.51
1729950896.529,1.57
1729950896.63,2.28
1729950896.732,3.05
1729950896.832,3.0
1729950896.933,4.1
1729950897.033,3.36
1729950897.134,3.93
1729950897.232,1.75
1729950897.335,3.26
1729950897.435,2.79
1729950897.535,2.34
1729950897.638,3.25
1729950897.736,1.86
1729950897.839,3.38
1729950897.938,2.86
1729950898.039,2.07
1729950898.139,2.37
1729950898.239,1.64
1729950898.341,2.82
1729950898.442,2.87
1729950898.543,2.03
1729950898.644,2.3
1729950898.743,1.51
1729950898.845,3.0
1729950898.945,1.55
1729950899.046,2.94
1729950899.147,2.85
1729950899.247,3.28
1729950899.352,7.17
1729950899.449,3.77
1729950899.552,6.74
1729950899.649,1.59
1729950899.753,4.61
1729950899.853,4.28
1729950899.952,2.5
1729950900.054,3.61
1729950900.153,1.88
1729950900.255,3.68
1729950900.356,3.1
1729950900.46,7.19
1729950900.558,4.68
1729950900.657,1.91
1729950900.761,5.21
1729950900.866,10.0
1729950900.964,6.84
1729950901.065,6.7
1729950901.168,8.87
1729950901.271,10.7
1729950901.376,15.3
1729950901.471,9.6
1729950901.571,8.79
1729950901.674,10.6
1729950901.777,12.7
1729950901.882,15.8
1729950901.974,6.82
1729950902.07,2.61
1729950902.171,3.13
1729950902.271,2.68
1729950902.373,3.87
1729950902.473,1.7
1729950902.575,3.23
1729950902.675,2.86
1729950902.776,2.1
1729950902.876,2.42
1729950902.976,1.69
1729950903.079,3.7
1729950903.179,2.73
1729950903.279,2.04
1729950903.38,2.36
1729950903.48,1.58
1729950903.581,2.27
1729950903.681,1.72
1729950903.783,2.75
1729950903.884,2.79
1729950903.984,2.0
1729950904.085,2.38
1729950904.185,1.59
1729950904.286,2.24
1729950904.387,2.67
1729950904.488,1.97
1729950904.593,6.84
1729950904.688,1.5
1729950904.79,2.37
1729950904.892,3.03
1729950904.991,2.75
1729950905.096,6.49
1729950905.192,2.09
1729950905.295,4.56
1729950905.393,1.86
1729950905.495,2.54
1729950905.598,4.24
1729950905.696,1.61
1729950905.799,3.72
1729950905.9,2.79
1729950906.0,2.45
1729950906.101,3.46
1729950906.2,1.72
1729950906.303,3.08
1729950906.402,2.65
1729950906.503,2.43
1729950906.605,3.58
1729950906.704,1.49
1729950906.806,2.46
1729950906.906,2.16
1729950907.012,7.32
1729950907.109,3.75
1729950907.209,2.96
1729950907.311,4.8
1729950907.414,6.36
1729950907.517,9.38
1729950907.62,11.9
1729950907.717,8.35
1729950907.82,10.6
1729950907.923,12.8
1729950908.026,14.9
1729950908.127,15.6
1729950908.22,7.79
1729950908.316,3.3
1729950908.416,2.22
1729950908.517,3.09
1729950908.62,5.23
1729950908.718,3.23
1729950908.818,1.84
1729950908.919,2.71
1729950909.02,2.65
1729950909.123,5.16
1729950909.221,2.34
1729950909.321,1.54
1729950909.422,2.71
1729950909.524,3.08
1729950909.623,2.19
1729950909.724,2.71
1729950909.824,1.69
1729950909.926,2.48
1729950910.026,2.6
1729950910.127,2.27
1729950910.228,2.34
1729950910.328,1.52
1729950910.429,2.36
1729950910.529,1.79
1729950910.631,2.81
1729950910.733,3.86
1729950910.835,4.44
1729950910.935,3.28
1729950911.034,2.78
1729950911.137,4.32
1729950911.236,2.65
1729950911.343,8.4
1729950911.439,3.68
1729950911.539,2.71
1729950911.641,4.58
1729950911.741,2.5
1729950911.84,1.81
1729950911.942,2.73
1729950912.044,3.07
1729950912.144,2.7
1729950912.245,2.28
1729950912.345,1.49
1729950912.446,2.45
1729950912.547,2.74
1729950912.648,2.07
1729950912.747,2.15
1729950912.848,1.46
1729950912.949,2.33
1729950913.049,1.65
1729950913.157,8.86
1729950913.254,4.54
1729950913.352,2.91
1729950913.455,3.89
1729950913.557,4.53
1729950913.66,7.22
1729950913.762,8.24
1729950913.863,8.09
1729950913.965,9.94
1729950914.067,11.1
1729950914.169,13.8
1729950914.27,13.1
1729950914.367,9.77
1729950914.461,2.43
1729950914.561,1.66
1729950914.663,3.2
1729950914.762,2.22
1729950914.862,2.32
1729950914.964,3.06
1729950915.064,2.28
1729950915.165,2.58
1729950915.264,1.43
1729950915.365,2.48
1729950915.466,2.33
1729950915.566,2.56
1729950915.668,2.66
1729950915.769,2.17
1729950915.869,2.14
1729950915.969,1.62
1729950916.071,2.64
1729950916.173,3.78
1729950916.272,1.74
1729950916.375,3.13
1729950916.475,2.55
1729950916.576,2.05
1729950916.677,3.5
1729950916.777,1.79
1729950916.88,4.02
1729950916.984,7.56
1729950917.08,2.19
1729950917.18,2.65
1729950917.285,6.01
1729950917.382,2.58
1729950917.483,2.34
1729950917.583,2.5
1729950917.685,3.24
1729950917.784,1.56
1729950917.886,2.91
1729950917.987,2.86
1729950918.087,2.06
1729950918.188,2.14
1729950918.288,1.6
1729950918.39,2.78
1729950918.491,3.14
1729950918.592,2.87
1729950918.693,3.95
1729950918.792,3.03
1729950918.893,3.7
1729950918.992,1.87
1729950919.094,3.18
1729950919.195,2.79
1729950919.298,5.39
1729950919.396,3.44
1729950919.497,3.26
1729950919.599,4.35
1729950919.7,5.84
1729950919.803,7.94
1729950919.904,9.02
1729950920.006,10.3
1729950920.106,11.1
1729950920.209,13.4
1729950920.312,15.6
1729950920.398,1.84
1729950920.501,2.65
1729950920.601,2.3
1729950920.702,2.71
1729950920.803,2.62
1729950920.903,1.54
1729950921.005,3.3
1729950921.106,2.29
1729950921.207,2.71
1729950921.308,2.86
1729950921.408,2.24
1729950921.509,2.42
1729950921.609,1.6
1729950921.711,3.19
1729950921.811,3.13
1729950921.912,2.89
1729950922.013,3.91
1729950922.112,3.0
1729950922.214,3.79
1729950922.313,1.73
1729950922.415,3.14
1729950922.515,2.75
1729950922.616,2.23
1729950922.717,3.08
1729950922.816,1.9
1729950922.918,3.35
1729950923.018,2.08
1729950923.119,3.14
1729950923.219,2.76
1729950923.32,2.17
1729950923.421,2.93
1729950923.521,1.61
1729950923.623,2.87
1729950923.724,2.85
1729950923.828,5.1
1729950923.925,2.34
1729950924.025,1.71
1729950924.127,2.5
1729950924.23,4.18
1729950924.328,1.92
1729950924.428,2.18
1729950924.528,1.46
1729950924.63,2.62
1729950924.731,2.77
1729950924.832,2.89
1729950924.933,4.2
1729950925.032,2.32
1729950925.134,3.93
1729950925.237,6.46
1729950925.335,4.17
1729950925.436,3.97
1729950925.537,5.14
1729950925.639,6.28
1729950925.745,12.1
1729950925.843,9.57
1729950925.947,12.4
1729950926.047,11.7
1729950926.147,11.1
1729950926.249,12.6
1729950926.35,12.0
1729950926.44,1.96
1729950926.54,2.46
1729950926.64,1.61
1729950926.743,2.62
1729950926.847,5.41
1729950926.944,1.84
1729950927.045,2.13
1729950927.145,1.65
1729950927.246,2.63
1729950927.353,7.99
1729950927.447,2.32
1729950927.548,2.46
1729950927.648,1.55
1729950927.75,2.69
1729950927.851,3.61
1729950927.953,3.26
1729950928.053,4.32
1729950928.152,2.58
1729950928.254,3.74
1729950928.355,3.59
1729950928.455,2.81
1729950928.556,2.94
1729950928.656,1.89
1729950928.757,2.42
1729950928.858,4.12
1729950928.959,3.83
1729950929.058,2.41
1729950929.159,2.72
1729950929.26,2.78
1729950929.361,2.03
1729950929.461,2.47
1729950929.56,1.84
1729950929.662,2.46
1729950929.764,3.09
1729950929.862,2.11
1729950929.965,2.99
1729950930.063,1.68
1729950930.165,2.29
1729950930.265,1.96
1729950930.366,2.47
1729950930.467,2.8
1729950930.567,2.16
1729950930.668,2.08
1729950930.768,1.44
1729950930.872,4.92
1729950930.969,1.66
1729950931.073,4.79
1729950931.173,4.26
1729950931.273,3.89
1729950931.374,3.74
1729950931.48,8.63
1729950931.58,7.28
1729950931.681,7.97
1729950931.782,9.04
1729950931.889,15.1
1729950931.985,11.7
1729950932.088,13.8
1729950932.189,14.0
1729950932.287,10.7
1729950932.38,3.06
1729950932.479,2.52
1729950932.58,2.41
1729950932.68,1.65
1729950932.782,2.48
1729950932.882,2.14
1729950932.983,2.46
1729950933.084,2.95
1729950933.183,2.2
1729950933.284,2.38
1729950933.383,1.47
1729950933.486,2.82
1729950933.586,2.85
1729950933.687,2.07
1729950933.787,2.34
1729950933.888,1.6
1729950933.99,2.48
1729950934.09,2.09
1729950934.191,2.88
1729950934.293,3.65
1729950934.392,2.52
1729950934.495,4.66
1729950934.593,1.74
1729950934.695,2.68
1729950934.797,2.86
1729950934.897,1.83
1729950935.0,3.71
1729950935.1,3.21
1729950935.199,2.2
1729950935.3,2.4
1729950935.401,1.78
1729950935.502,2.41
1729950935.603,2.79
1729950935.703,2.05
1729950935.805,2.7
1729950935.904,1.63
1729950936.006,2.51
1729950936.106,2.19
1729950936.21,5.02
1729950936.308,3.09
1729950936.406,2.55
1729950936.508,2.2
1729950936.608,2.66
1729950936.71,2.59
1729950936.811,2.93
1729950936.911,3.02
1729950937.012,3.49
1729950937.117,8.04
1729950937.216,5.97
1729950937.315,5.78
1729950937.415,4.03
1729950937.518,6.26
1729950937.623,11.1
1729950937.723,10.9
1729950937.824,11.9
1729950937.925,11.7
1729950938.028,13.8
1729950938.128,13.4
1729950938.223,7.48
1729950938.319,2.9
1729950938.419,2.53
1729950938.52,2.19
1729950938.62,2.23
1729950938.72,1.59
1729950938.821,2.34
1729950938.922,2.45
1729950939.022,2.53
1729950939.124,2.71
1729950939.224,1.6
1729950939.325,2.51
1729950939.426,2.69
1729950939.527,2.54
1729950939.627,2.38
1729950939.728,1.74
1729950939.83,2.6
1729950939.932,3.34
1729950940.032,3.06
1729950940.133,3.99
1729950940.232,2.24
1729950940.335,3.62
1729950940.434,2.46
1729950940.535,2.39
1729950940.636,2.73
1729950940.736,1.61
1729950940.839,3.69
1729950940.939,3.15
1729950941.04,2.91
1729950941.14,2.91
1729950941.239,2.36
1729950941.34,2.35
1729950941.441,2.1
1729950941.541,2.58
1729950941.643,2.73
1729950941.744,1.98
1729950941.844,2.49
1729950941.944,1.58
1729950942.046,2.14
1729950942.147,2.69
1729950942.247,1.89
1729950942.348,2.33
1729950942.447,1.44
1729950942.549,2.62
1729950942.651,3.0
1729950942.751,2.65
1729950942.853,3.82
1729950942.952,1.93
1729950943.054,3.52
1729950943.153,1.56
1729950943.256,3.72
1729950943.359,6.25
1729950943.458,4.55
1729950943.559,4.61
1729950943.661,6.07
1729950943.764,8.27
1729950943.867,10.8
1729950943.967,10.0
1729950944.07,12.2
1729950944.168,11.4
1729950944.27,12.7
1729950944.367,7.33
1729950944.462,2.36
1729950944.563,3.03
1729950944.664,2.26
1729950944.764,2.54
1729950944.865,2.41
1729950944.968,5.7
1729950945.066,2.69
1729950945.167,2.25
1729950945.268,2.44
1729950945.368,1.43
1729950945.473,6.41
1729950945.57,2.27
1729950945.67,2.68
1729950945.774,4.33
1729950945.872,2.47
1729950945.974,3.59
1729950946.073,1.6
1729950946.175,2.58
1729950946.276,2.98
1729950946.375,2.1
1729950946.477,2.98
1729950946.576,1.69
1729950946.679,3.68
1729950946.779,2.76
1729950946.879,2.1
1729950946.98,2.36
1729950947.08,1.68
1729950947.181,1.99
1729950947.282,2.5
1729950947.383,2.55
1729950947.484,2.88
1729950947.584,1.56
1729950947.686,2.66
1729950947.788,4.2
1729950947.887,2.43
1729950947.988,2.93
1729950948.087,2.08
1729950948.188,2.31
1729950948.29,3.9
1729950948.388,2.26
1729950948.488,1.52
1729950948.59,2.41
1729950948.692,4.56
1729950948.792,3.37
1729950948.894,3.89
1729950948.994,2.35
1729950949.098,6.57
1729950949.194,2.16
1729950949.297,4.53
1729950949.399,5.42
1729950949.503,8.85
1729950949.607,12.1
1729950949.702,6.23
1729950949.805,8.34
1729950949.906,8.98
1729950950.009,11.8
1729950950.11,13.8
1729950950.205,9.28
1729950950.3,2.93
1729950950.399,2.12
1729950950.5,2.79
1729950950.601,1.77
1729950950.703,2.51
1729950950.804,3.23
1729950950.904,2.18
1729950951.006,3.98
1729950951.103,2.42
1729950951.204,2.64
1729950951.304,1.51
1729950951.406,3.21
1729950951.506,2.26
1729950951.606,2.52
1729950951.708,2.95
1729950951.807,2.31
1729950951.908,2.6
1729950952.008,1.46
1729950952.11,2.64
1729950952.211,3.24
1729950952.311,2.88
1729950952.413,3.52
1729950952.512,1.74
1729950952.615,3.63
1729950952.715,2.83
1729950952.82,7.0
1729950952.916,2.94
1729950953.016,1.85
1729950953.119,3.88
1729950953.217,1.83
1729950953.321,5.02
1729950953.42,3.0
1729950953.519,2.48
1729950953.621,2.8
1729950953.719,1.68
1729950953.823,4.24
1729950953.923,3.1
1729950954.023,2.39
1729950954.124,2.99
1729950954.224,1.81
1729950954.326,3.34
1729950954.425,1.65
1729950954.526,2.08
1729950954.627,2.78
1729950954.728,1.99
1729950954.831,4.8
1729950954.929,1.79
1729950955.032,3.71
1729950955.135,6.3
1729950955.235,5.87
1729950955.341,9.87
1729950955.44,7.8
1729950955.542,8.56
1729950955.643,9.5
1729950955.749,14.6
1729950955.846,10.6
1729950955.946,9.98
1729950956.049,12.4
1729950956.152,14.4
1729950956.253,15.0
1729950956.341,2.23
1729950956.44,1.56
1729950956.543,2.95
1729950956.641,1.58
1729950956.744,3.87
1729950956.844,2.32
1729950956.943,1.55
1729950957.046,2.55
1729950957.146,2.21
1729950957.248,3.1
1729950957.348,2.89
1729950957.447,1.66
1729950957.549,2.36
1729950957.649,1.61
1729950957.752,4.07
1729950957.852,3.23
1729950957.952,3.19
1729950958.053,4.19
1729950958.152,2.41
1729950958.256,5.18
1729950958.353,1.95
1729950958.455,3.8
1729950958.555,2.74
1729950958.656,2.26
1729950958.758,4.28
1729950958.857,2.03
1729950958.958,3.26
1729950959.057,2.33
1729950959.159,2.94
1729950959.262,4.31
1729950959.359,1.92
1729950959.461,1.97
1729950959.561,1.61
1729950959.663,3.1
1729950959.763,2.87
1729950959.864,2.1
1729950959.965,3.09
1729950960.064,1.75
1729950960.166,2.5
1729950960.267,2.8
1729950960.367,2.21
1729950960.467,2.36
1729950960.567,1.55
1729950960.67,2.75
1729950960.771,2.87
1729950960.873,3.1
1729950960.974,3.73
1729950961.072,2.17
1729950961.176,4.78
1729950961.279,6.73
1729950961.379,6.69
1729950961.48,6.64
1729950961.582,6.52
1729950961.683,7.7
1729950961.787,10.3
1729950961.887,9.16
1729950961.988,10.0
1729950962.089,11.1
1729950962.191,12.9
1729950962.28,1.71
1729950962.382,2.32
1729950962.483,2.74
1729950962.584,2.22
1729950962.685,2.51
1729950962.784,1.58
1729950962.887,3.34
1729950962.987,2.85
1729950963.087,1.92
1729950963.188,3.1
1729950963.288,1.67
1729950963.389,2.7
1729950963.49,2.23
1729950963.591,2.92
1729950963.691,3.38
1729950963.792,2.89
1729950963.894,4.05
1729950963.993,2.59
1729950964.094,3.52
1729950964.192,1.76
1729950964.295,2.75
1729950964.396,2.84
1729950964.497,1.78
1729950964.599,3.44
1729950964.699,2.81
1729950964.8,2.09
1729950964.901,2.96
1729950965.0,1.57
1729950965.102,2.84
1729950965.204,2.79
1729950965.304,2.22
1729950965.404,2.33
1729950965.504,1.49
1729950965.609,5.66
1729950965.707,2.77
1729950965.808,2.04
1729950965.908,2.47
1729950966.01,3.5
1729950966.109,1.97
1729950966.21,1.64
1729950966.312,2.97
1729950966.413,3.92
1729950966.514,4.24
1729950966.614,3.77
1729950966.713,1.94
1729950966.814,3.04
1729950966.913,1.66
1729950967.019,5.8
1729950967.116,2.76
1729950967.216,2.4
1729950967.322,6.97
1729950967.421,5.57
1729950967.526,9.93
1729950967.623,6.47
1729950967.726,8.19
1729950967.832,13.9
1729950967.929,10.8
1729950968.03,10.8
1729950968.131,10.4
1729950968.234,12.6
1729950968.335,12.1
1729950968.424,1.55
1729950968.525,2.2
1729950968.627,2.79
1729950968.727,2.54
1729950968.828,2.4
1729950968.928,1.59
1729950969.03,2.7
1729950969.131,3.24
1729950969.232,2.93
1729950969.333,3.78
1729950969.433,1.81
1729950969.535,2.96
1729950969.635,2.78
1729950969.735,2.32
1729950969.836,2.68
1729950969.936,1.61
1729950970.039,3.79
1729950970.139,2.9
1729950970.24,2.13
1729950970.34,2.46
1729950970.44,1.4
1729950970.54,2.14
1729950970.64,1.57
1729950970.741,2.25
1729950970.842,2.81
1729950970.942,2.22
1729950971.043,2.28
1729950971.143,1.61
1729950971.245,2.32
1729950971.344,1.66
1729950971.446,2.63
1729950971.547,2.83
1729950971.646,1.55
1729950971.748,2.1
1729950971.849,1.56
1729950971.949,2.1
1729950972.05,3.13
1729950972.155,6.12
1729950972.253,3.96
1729950972.352,3.01
1729950972.453,4.16
1729950972.555,5.44
1729950972.654,3.92
1729950972.753,1.7
1729950972.855,2.48
1729950972.956,3.03
1729950973.06,6.28
1729950973.157,3.27
1729950973.258,3.09
1729950973.36,5.01
1729950973.462,6.3
1729950973.567,11.6
1729950973.665,8.13
1729950973.765,8.46
1729950973.87,11.4
1729950973.968,10.1
1729950974.072,12.5
1729950974.173,12.8
1729950974.267,7.36
1729950974.364,3.03
1729950974.463,2.08
1729950974.564,2.14
1729950974.663,1.54
1729950974.765,2.33
1729950974.865,1.57
1729950974.967,2.52
1729950975.068,2.72
1729950975.167,1.49
1729950975.269,2.32
1729950975.374,6.24
1729950975.47,2.31
1729950975.572,4.04
1729950975.672,3.23
1729950975.773,4.07
1729950975.874,4.34
1729950975.974,3.82
1729950976.073,1.88
1729950976.174,2.6
1729950976.276,2.8
1729950976.378,4.86
1729950976.478,2.93
1729950976.577,1.63
1729950976.679,3.24
1729950976.78,2.89
1729950976.879,1.48
1729950976.981,2.2
1729950977.08,1.58
1729950977.183,3.51
1729950977.284,3.45
1729950977.383,2.18
1729950977.484,2.26
1729950977.583,1.44
1729950977.686,2.56
1729950977.786,2.26
1729950977.886,2.45
1729950977.988,3.04
1729950978.088,2.02
1729950978.188,2.23
1729950978.29,3.62
1729950978.39,2.69
1729950978.49,2.18
1729950978.592,2.93
1729950978.693,3.73
1729950978.796,6.2
1729950978.895,3.69
1729950978.994,1.65
1729950979.097,3.38
1729950979.201,7.29
1729950979.301,6.55
1729950979.401,5.91
1729950979.503,8.35
1729950979.605,8.91
1729950979.707,10.1
1729950979.808,9.92
1729950979.907,9.79
1729950980.01,10.9
1729950980.109,11.3
1729950980.2,1.47
1729950980.302,2.08
1729950980.402,2.31
1729950980.503,2.4
1729950980.604,3.15
1729950980.703,2.15
1729950980.804,2.26
1729950980.904,1.68
1729950981.006,2.61
1729950981.106,2.31
1729950981.207,2.36
1729950981.308,3.08
1729950981.407,2.3
1729950981.508,2.32
1729950981.608,1.58
1729950981.71,2.4
1729950981.81,1.61
1729950981.911,2.87
1729950982.014,3.94
1729950982.112,2.49
1729950982.214,3.48
1729950982.313,1.87
1729950982.415,2.57
1729950982.516,3.06
1729950982.615,2.26
1729950982.716,2.96
1729950982.816,2.18
1729950982.918,3.3
1729950983.017,1.63
1729950983.119,3.94
1729950983.219,2.75
1729950983.32,2.33
1729950983.42,2.29
1729950983.521,1.84
1729950983.624,3.63
1729950983.723,2.99
1729950983.823,2.76
1729950983.924,2.42
1729950984.024,1.83
1729950984.127,3.55
1729950984.227,3.1
1729950984.327,2.59
1729950984.428,2.79
1729950984.528,1.51
1729950984.63,2.78
1729950984.731,3.08
1729950984.832,4.16
1729950984.932,3.77
1729950985.032,2.73
1729950985.135,4.51
1729950985.238,5.83
1729950985.345,12.1
1729950985.443,9.11
1729950985.543,9.61
1729950985.646,11.1
1729950985.748,12.2
1729950985.853,17.5
1729950985.949,12.9
1729950986.049,11.5
1729950986.141,2.48
1729950986.252,13.0
1729950986.342,2.84
1729950986.444,3.18
1729950986.544,2.28
1729950986.646,3.87
1729950986.744,1.81
1729950986.846,2.57
1729950986.948,2.62
1729950987.048,1.82
1729950987.15,2.55
1729950987.249,1.67
1729950987.352,2.93
1729950987.453,3.9
1729950987.552,2.22
1729950987.658,7.35
1729950987.754,1.9
1729950987.855,3.34
1729950987.955,2.74
1729950988.056,2.45
1729950988.161,6.68
1729950988.257,2.01
1729950988.359,3.89
1729950988.46,3.7
1729950988.56,3.27
1729950988.663,6.16
1729950988.761,2.91
1729950988.861,2.76
1729950988.962,1.99
1729950989.062,3.54
1729950989.163,3.46
1729950989.264,2.95
1729950989.365,3.49
1729950989.464,2.26
1729950989.566,2.68
1729950989.666,2.75
1729950989.768,2.84
1729950989.869,2.92
1729950989.97,3.98
1729950990.069,2.37
1729950990.169,1.55
1729950990.271,2.95
1729950990.372,3.39
1729950990.472,3.51
1729950990.574,4.76
1729950990.673,2.54
1729950990.776,3.87
1729950990.877,3.88
1729950990.978,4.07
1729950991.079,5.04
1729950991.179,4.27
1729950991.281,6.44
1729950991.384,8.14
1729950991.487,11.1
1729950991.588,11.6
1729950991.689,11.5
1729950991.791,12.1
1729950991.892,13.8
1729950991.992,13.4
1729950992.096,15.1
1729950992.197,15.3
1729950992.289,8.3
1729950992.385,2.76
1729950992.487,4.08
1729950992.586,3.39
1729950992.688,3.81
1729950992.79,4.18
1729950992.888,3.1
1729950992.992,7.13
1729950993.088,2.25
1729950993.19,3.8
1729950993.29,2.55
1729950993.392,4.24
1729950993.498,9.23
1729950993.593,3.87
1729950993.696,5.49
1729950993.793,2.47
1729950993.9,8.55
1729950993.996,4.17
1729950994.098,4.47
1729950994.197,4.05
1729950994.297,3.13
1729950994.401,7.16
1729950994.498,2.86
1729950994.601,4.85
1729950994.701,3.99
1729950994.801,3.77
1729950994.906,7.47
1729950995.001,2.17
1729950995.105,4.97
1729950995.204,3.67
1729950995.304,3.95
1729950995.409,8.39
1729950995.505,3.63
1729950995.608,5.16
1729950995.706,2.76
1729950995.808,3.9
1729950995.913,9.33
1729950996.008,3.19
1729950996.109,4.34
1729950996.211,5.26
1729950996.311,4.35
1729950996.412,5.11
1729950996.511,3.89
1729950996.613,4.55
1729950996.72,9.65
1729950996.816,5.92
1729950996.919,7.21
1729950997.017,4.89
1729950997.121,7.65
1729950997.222,7.62
1729950997.322,6.97
1729950997.428,12.2
1729950997.528,12.4
1729950997.629,12.4
1729950997.73,12.2
1729950997.83,12.4
1729950997.932,14.1
1729950998.035,16.2
1729950998.13,10.8
