Time,Delay
1729950878.491,2.72
1729950878.589,2.7
1729950878.688,0.84
1729950878.788,1.18
1729950878.888,0.973
1729950878.989,1.22
1729950879.09,2.01
1729950879.19,1.62
1729950879.292,1.93
1729950879.391,0.914
1729950879.496,1.46
1729950879.598,2.51
1729950879.698,2.02
1729950879.798,1.66
1729950879.899,1.38
1729950879.998,0.79
1729950880.103,1.11
1729950880.206,2.63
1729950880.305,1.22
1729950880.407,2.82
1729950880.508,2.17
1729950880.607,1.62
1729950880.709,2.19
1729950880.809,1.03
1729950880.912,4.87
1729950881.011,1.9
1729950881.112,2.18
1729950881.213,2.77
1729950881.315,3.36
1729950881.418,5.79
1729950881.518,3.86
1729950881.617,3.07
1729950881.717,2.72
1729950881.82,5.21
1729950881.92,5.01
1729950882.02,4.67
1729950882.121,4.49
1729950882.222,5.61
1729950882.325,6.12
1729950882.426,7.3
1729950882.526,6.46
1729950882.627,6.86
1729950882.728,7.32
1729950882.831,9.36
1729950882.931,9.47
1729950883.029,6.77
1729950883.126,2.72
1729950883.225,1.21
1729950883.327,2.57
1729950883.427,1.48
1729950883.527,0.85
1729950883.632,1.22
1729950883.733,1.56
1729950883.833,1.04
1729950883.934,1.72
1729950884.035,1.59
1729950884.136,1.14
1729950884.236,1.18
1729950884.337,1.43
1729950884.44,3.91
1729950884.538,2.16
1729950884.639,1.64
1729950884.74,1.57
1729950884.839,1.04
1729950884.943,3.66
1729950885.041,0.821
1729950885.144,0.925
1729950885.248,1.02
1729950885.349,2.01
1729950885.449,1.29
1729950885.551,2.59
1729950885.65,1.26
1729950885.751,2.09
1729950885.853,2.93
1729950885.954,4.44
1729950886.053,2.55
1729950886.152,1.36
1729950886.255,3.6
1729950886.354,1.6
1729950886.458,5.09
1729950886.556,2.55
1729950886.657,1.27
1729950886.758,2.46
1729950886.857,1.11
1729950886.962,4.92
1729950887.058,1.56
1729950887.159,1.79
1729950887.262,3.37
1729950887.359,0.88
1729950887.467,4.07
1729950887.567,2.88
1729950887.666,1.5
1729950887.767,1.59
1729950887.87,3.37
1729950887.97,2.62
1729950888.07,1.94
1729950888.169,0.955
1729950888.27,1.49
1729950888.374,5.01
1729950888.472,3.08
1729950888.575,4.62
1729950888.676,5.13
1729950888.776,4.4
1729950888.878,5.94
1729950888.978,6.28
1729950889.08,7.77
1729950889.182,8.03
1729950889.282,8.37
1729950889.384,9.32
1729950889.488,12.4
1729950889.577,1.0
