Time,F4S1Bitrate,F4S1Jitter,F4S1Datagrams,F4S1Delay,F4C1Bitrate,F4C1Jitter,F4C1Datagrams,F4C1Delay,F4F2Bitrate,F4F2Jitter,F4F2Datagrams,F4F2Delay,F4F1Bitrate,F4F1Jitter,F4F1Datagrams,F4F1Delay,F2F1Bitrate,F2F1Jitter,F2F1Datagrams,F2F1Delay,F2S1Bitrate,F2S1Jitter,F2S1Datagrams,F2S1Delay,F2F4Bitrate,F2F4Jitter,F2F4Datagrams,F2F4Delay,F2C1Bitrate,F2C1Jitter,F2C1Datagrams,F2C1Delay,F1S1Bitrate,F1S1Jitter,F1S1Datagrams,F1S1Delay,F1F4Bitrate,F1F4Jitter,F1F4Datagrams,F1F4Delay,F1F2Bitrate,F1F2Jitter,F1F2Datagrams,F1F2Delay,F1C1Bitrate,F1C1Jitter,F1C1Datagrams,F1C1Delay,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay,S1F4Bitrate,S1F4Jitter,S1F4Datagrams,S1F4Delay,S1F2Bitrate,S1F2Jitter,S1F2Datagrams,S1F2Delay,S1F1Bitrate,S1F1Jitter,S1F1Datagrams,S1F1Delay,S1C1Bitrate,S1C1Jitter,S1C1Datagrams,S1C1Delay
1729950879.56,40.0,0.95,0.0,2.03,8.01,1.28,0.0,1.65,19.2,1.407,0.0,5.37,20.8,0.698,0.0,4.57,20.8,0.831,0.0,1.87,40.0,1.13,0.0,1.55,20.8,1.676,0.0,2.87,8.0,1.583,0.0,2.6,41.6,0.949,0.0,0.923,20.8,1.075,0.0,2.44,19.2,0.734,0.0,5.78,8.0,1.153,0.0,2.02,19.2,0.632,0.0,1.43,38.4,1.082,0.0,4.12,19.2,0.884,0.0,2.6,19.2,1.577,0.0,7.39,20.8,1.064,0.0,2.51,20.8,1.466,0.0,4.24,19.2,0.735,0.0,4.7,8.0,2.032,0.0,2.66
1729950879.66,40.0,0.808,0.0,2.71,8.0,1.531,0.0,0.852,20.8,1.693,0.0,5.9,19.2,0.618,0.0,5.58,19.2,0.842,0.0,1.408,40.0,1.161,0.0,2.29,19.2,1.825,0.0,2.15,8.0,1.834,0.0,7.26,38.4,0.816,0.0,1.2,20.8,0.876,0.0,2.52,19.2,0.795,0.0,2.83,6.4,1.273,0.0,2.14,20.8,0.719,0.0,3.83,41.6,1.148,0.0,3.79,20.8,1.04,0.0,2.74,20.8,1.623,0.0,11.4,19.2,1.177,0.0,2.02,19.2,1.945,0.0,5.44,20.8,0.684,0.0,5.94,7.99,2.07,0.0,1.49
1729950879.76,40.0,0.744,0.0,1.26,7.99,1.247,0.0,0.7,19.2,1.829,0.0,3.55,20.8,0.654,0.0,6.59,19.2,0.581,0.0,0.946,40.0,1.194,0.0,1.52,19.2,1.906,0.0,2.27,8.0,2.219,0.0,3.74,40.0,0.746,0.0,1.44,19.2,0.805,0.0,1.74,20.8,0.866,0.0,3.68,8.0,1.524,0.0,0.906,20.8,0.721,0.0,1.73,38.4,1.168,0.0,3.49,19.2,1.121,0.0,2.02,19.2,1.275,0.0,10.5,20.8,1.006,0.0,1.66,20.8,1.8,0.0,3.13,20.8,0.556,0.0,7.18,8.0,2.229,0.0,2.13
1729950879.86,38.4,0.679,0.0,2.87,6.4,1.032,0.0,0.785,19.2,1.644,0.0,5.26,19.2,0.742,0.0,7.7,20.8,0.803,0.0,1.07,40.0,1.249,0.0,3.0,20.8,1.856,0.0,1.76,8.0,1.913,0.0,2.72,40.0,0.731,0.0,1.18,20.8,0.876,0.0,1.46,20.8,0.92,0.0,2.75,8.0,1.526,0.0,1.13,19.2,0.897,0.0,0.737,41.6,1.119,0.0,4.7,20.8,0.961,0.0,3.42,20.8,1.256,0.0,12.7,19.2,1.082,0.0,1.38,19.2,1.812,0.0,6.125,19.2,0.525,0.0,9.6,8.01,2.357,0.0,1.57
1729950879.96,41.6,0.872,0.0,1.71,9.6,0.967,0.0,0.802,19.2,1.782,0.0,8.62,20.8,0.777,0.0,7.39,19.2,0.619,0.0,0.938,40.0,1.151,0.0,3.14,19.2,1.984,0.0,4.34,8.0,1.704,0.0,4.32,40.0,0.844,0.0,1.15,19.2,0.87,0.0,1.18,19.2,0.809,0.0,2.99,8.0,1.249,0.0,1.01,20.8,0.65,0.0,1.15,38.4,0.964,0.0,2.43,19.2,0.884,0.0,4.55,20.8,1.456,0.0,12.0,20.8,1.056,0.0,0.79,20.8,1.765,0.0,9.12,19.2,0.699,0.0,9.36,8.0,2.614,0.0,2.51
1729950880.06,40.0,0.836,0.0,2.06,6.41,0.818,0.0,1.136,20.8,1.372,0.0,6.65,19.2,0.652,0.0,8.015,20.8,0.556,0.0,1.654,40.0,1.073,0.0,2.73,20.8,1.407,0.0,2.33,8.0,1.519,0.0,5.575,40.0,0.876,0.0,1.66,19.2,0.978,0.0,1.8,19.2,0.742,0.0,4.32,7.99,1.129,0.0,0.948,19.2,0.595,0.0,1.78,41.6,1.111,0.0,3.17,20.8,0.701,0.0,3.58,19.2,1.446,0.0,13.8,19.2,1.179,0.0,1.11,19.2,1.617,0.0,7.02,20.8,0.623,0.0,1.14,8.0,1.987,0.0,2.81
1729950880.16,38.4,0.718,0.0,2.6,7.98,0.792,0.0,1.47,19.2,1.248,0.0,5.53,20.8,0.735,0.0,8.64,20.8,0.55,0.0,2.37,40.0,1.208,0.0,3.69,19.2,1.869,0.0,2.61,8.0,1.462,0.0,6.83,40.0,0.826,0.0,1.18,20.8,0.829,0.0,2.17,19.2,0.893,0.0,3.0,8.0,1.005,0.0,0.885,20.8,0.705,0.0,1.22,40.0,1.13,0.0,2.17,19.2,1.037,0.0,2.34,20.8,1.568,0.0,13.9,20.8,1.166,0.0,2.63,20.8,1.445,0.0,3.28,19.2,0.59,0.0,1.43,8.0,1.931,0.0,1.49
1729950880.26,40.0,0.623,0.0,1.46,8.01,0.822,0.0,4.6,20.8,1.486,0.0,5.6,19.2,0.633,0.0,8.65,19.2,0.451,0.0,0.872,40.0,1.139,0.0,1.72,19.2,1.626,0.0,4.29,8.0,1.535,0.0,3.83,38.4,0.425,0.0,3.99,20.8,0.713,0.0,1.84,19.2,0.869,0.0,3.05,8.0,0.988,0.0,0.947,19.2,0.755,0.0,1.7,40.0,1.15,0.0,2.5,20.8,1.036,0.0,2.48,20.8,1.304,0.0,14.0,19.2,0.966,0.0,1.22,19.2,1.155,0.0,5.77,20.8,0.542,0.0,0.973,8.0,1.851,0.0,2.87
1729950880.36,40.0,0.512,0.0,1.375,7.99,0.882,0.0,1.79,19.2,1.053,0.0,5.98,20.8,0.739,0.0,8.66,20.8,0.526,0.0,2.72,41.6,1.071,0.0,3.31,20.8,1.491,0.0,6.27,8.0,1.577,0.0,2.49,41.7,0.502,0.0,0.885,19.2,0.591,0.0,1.56,20.8,0.769,0.0,3.39,8.0,0.964,0.0,1.35,19.2,0.766,0.0,0.772,40.0,1.02,0.0,3.5,19.2,0.817,0.0,5.78,19.2,1.264,0.0,1.9,20.8,0.748,0.0,1.695,20.8,1.495,0.0,8.435,19.2,0.593,0.0,1.27,8.0,1.686,0.0,1.56
1729950880.46,40.0,0.379,0.0,1.29,8.0,0.986,0.0,1.3,20.8,1.231,0.0,6.36,19.2,0.716,0.0,6.65,19.2,0.6,0.0,5.66,40.0,1.005,0.0,2.73,20.8,1.41,0.0,4.02,8.0,1.797,0.0,3.15,40.0,0.417,0.0,1.28,19.2,0.586,0.0,1.28,19.2,0.645,0.0,5.51,8.0,1.026,0.0,0.869,20.8,0.592,0.0,1.21,40.0,0.851,0.0,1.72,19.2,0.692,0.0,3.4,20.8,1.112,0.0,2.56,19.2,0.664,0.0,2.17,19.2,1.328,0.0,11.1,20.8,0.724,0.0,0.718,8.0,1.71,0.0,2.8
