Time,F4C1Bitrate,F4C1Jitter,F4C1Datagrams,F4C1Delay,F4S1Bitrate,F4S1Jitter,F4S1Datagrams,F4S1Delay,F4F1Bitrate,F4F1Jitter,F4F1Datagrams,F4F1Delay,F4F2Bitrate,F4F2Jitter,F4F2Datagrams,F4F2Delay,F2F4Bitrate,F2F4Jitter,F2F4Datagrams,F2F4Delay,F2S1Bitrate,F2S1Jitter,F2S1Datagrams,F2S1Delay,F2C1Bitrate,F2C1Jitter,F2C1Datagrams,F2C1Delay,F2F1Bitrate,F2F1Jitter,F2F1Datagrams,F2F1Delay,F1F4Bitrate,F1F4Jitter,F1F4Datagrams,F1F4Delay,F1S1Bitrate,F1S1Jitter,F1S1Datagrams,F1S1Delay,F1F2Bitrate,F1F2Jitter,F1F2Datagrams,F1F2Delay,F1C1Bitrate,F1C1Jitter,F1C1Datagrams,F1C1Delay,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,S1F2Bitrate,S1F2Jitter,S1F2Datagrams,S1F2Delay,S1F1Bitrate,S1F1Jitter,S1F1Datagrams,S1F1Delay,S1C1Bitrate,S1C1Jitter,S1C1Datagrams,S1C1Delay,S1F4Bitrate,S1F4Jitter,S1F4Datagrams,S1F4Delay
1729951380.77,6.4,1.267,0.0,0.85,40.0,0.772,0.0,2.53,19.2,0.686,0.0,2.76,20.8,1.412,0.0,2.24,20.8,1.209,0.0,3.55,38.4,1.363,0.0,3.52,8.0,2.275,0.0,3.14,20.8,1.284,0.0,1.79,20.8,1.008,0.0,3.25,40.0,0.613,0.0,1.2,19.2,1.114,0.0,1.59,7.99,1.073,0.0,6.19,19.3,0.663,0.0,3.58,19.2,1.392,0.0,2.78,19.2,0.868,0.0,0.793,38.4,1.31,0.0,12.3,19.2,1.242,0.0,6.02,19.0,0.888,0.0,2.39,8.0,2.614,0.0,1.95,19.2,1.012,0.0,6.18
1729951380.87,8.0,1.301,0.0,0.903,38.4,0.511,0.0,3.33,20.8,0.848,0.0,3.105,19.2,1.459,0.0,2.97,19.2,1.225,0.0,3.89,38.4,1.246,0.0,4.11,8.0,2.402,0.0,4.75,19.2,1.048,0.0,1.28,19.2,0.976,0.0,1.85,40.0,0.521,0.0,1.15,20.8,1.054,0.0,1.02,8.0,1.146,0.0,3.65,20.8,0.844,0.0,2.71,19.2,1.422,0.0,3.93,20.8,0.894,0.0,1.34,40.0,1.299,0.0,2.28,19.2,1.27,0.0,3.58,21.0,0.827,0.0,2.03,6.4,2.577,0.0,3.83,20.8,0.954,0.0,7.91
1729951380.97,8.0,1.385,0.0,1.47,40.0,0.448,0.0,4.3,19.2,0.81,0.0,3.45,20.8,1.386,0.0,2.31,20.8,1.537,0.0,5.2,41.6,1.315,0.0,2.0,6.4,2.673,0.0,3.2,20.8,0.97,0.0,2.4,20.8,0.881,0.0,0.721,40.0,0.578,0.0,1.21,19.2,0.938,0.0,0.746,8.01,1.142,0.0,4.68,19.1,0.74,0.0,3.63,20.8,1.475,0.0,1.88,20.8,0.968,0.0,0.971,40.0,1.395,0.0,3.56,20.8,1.389,0.0,6.02,19.2,0.925,0.0,1.27,8.01,2.558,0.0,5.97,20.8,0.843,0.0,9.48
1729951381.07,8.0,1.607,0.0,1.77,41.6,0.605,0.0,4.29,19.2,0.902,0.0,1.77,19.1,1.543,0.0,3.22,19.2,1.447,0.0,3.78,38.4,1.187,0.0,3.43,9.6,2.748,0.0,2.965,19.2,1.116,0.0,1.27,19.2,0.937,0.0,0.876,38.4,0.562,0.0,1.25,20.8,0.905,0.0,1.16,7.99,1.278,0.0,5.63,20.9,0.853,0.0,3.43,20.8,1.615,0.0,2.46,19.2,1.073,0.0,1.126,40.0,1.415,0.0,2.0,20.8,1.464,0.0,5.81,20.8,0.925,0.0,1.0,7.99,2.137,0.0,4.66,19.2,0.859,0.0,0.932
1729951381.17,8.0,1.674,0.0,0.945,41.6,0.461,0.0,4.73,20.8,0.795,0.0,2.71,19.2,1.426,0.0,2.15,20.8,1.163,0.0,4.92,40.0,1.265,0.0,2.03,8.0,2.56,0.0,2.73,19.2,0.973,0.0,2.9,19.2,1.083,0.0,1.03,41.6,0.615,0.0,1.7,19.2,1.013,0.0,0.841,8.01,1.319,0.0,4.92,19.2,0.758,0.0,2.95,19.2,1.586,0.0,4.13,19.2,1.018,0.0,1.28,40.0,1.181,0.0,1.63,19.2,1.604,0.0,5.95,19.2,0.736,0.0,0.833,8.0,1.86,0.0,6.81,20.8,0.971,0.0,1.1
1729951381.27,8.01,1.431,0.0,1.75,38.4,0.638,0.0,4.55,20.8,0.838,0.0,3.99,20.8,1.506,0.0,3.35,20.8,1.252,0.0,4.79,40.0,1.202,0.0,5.12,6.4,2.2,0.0,5.19,20.8,0.991,0.0,1.54,20.8,1.146,0.0,1.43,40.0,0.854,0.0,2.01,19.2,0.909,0.0,0.969,7.99,1.436,0.0,6.55,20.8,0.797,0.0,4.41,20.8,1.289,0.0,2.8,20.8,0.897,0.0,0.81,38.4,1.216,0.0,2.78,19.2,1.486,0.0,7.11,20.8,1.067,0.0,2.6,7.98,1.515,0.0,5.23,19.2,0.971,0.0,1.39
1729951381.37,8.0,1.315,0.0,1.1,41.6,0.495,0.0,5.43,19.2,0.978,0.0,3.425,20.8,1.536,0.0,5.63,19.2,1.347,0.0,5.22,40.0,0.926,0.0,2.55,9.6,2.507,0.0,1.56,20.8,0.907,0.0,2.59,19.2,1.041,0.0,1.39,40.0,0.615,0.0,1.8,20.7,0.811,0.0,1.37,8.0,1.508,0.0,5.68,19.2,0.889,0.0,2.65,19.2,1.272,0.0,4.19,19.2,0.823,0.0,0.879,41.6,0.973,0.0,3.3,20.8,1.593,0.0,4.34,19.2,1.107,0.0,1.62,8.02,1.445,0.0,8.05,20.8,0.984,0.0,2.04
1729951381.47,8.0,1.316,0.0,1.65,40.0,0.51,0.0,6.31,20.8,0.927,0.0,2.86,19.2,1.431,0.0,2.51,20.8,1.651,0.0,6.43,41.6,0.947,0.0,5.67,6.41,2.455,0.0,2.71,20.8,0.781,0.0,5.13,20.8,0.95,0.0,1.1,40.0,0.678,0.0,1.59,20.8,0.804,0.0,1.17,8.0,1.293,0.0,7.21,20.8,0.858,0.0,4.27,20.8,1.478,0.0,2.65,20.8,0.997,0.0,0.924,40.0,0.961,0.0,3.21,20.8,1.539,0.0,7.19,19.2,1.058,0.0,1.62,8.0,1.554,0.0,9.8,19.2,0.933,0.0,1.23
1729951381.57,8.0,1.281,0.0,1.293,38.4,0.631,0.0,7.33,19.2,0.933,0.0,2.67,20.8,1.535,0.0,2.97,19.2,1.613,0.0,4.56,40.0,1.06,0.0,8.49,9.59,2.553,0.0,2.39,19.2,0.828,0.0,4.505,19.2,0.884,0.0,1.66,38.4,0.602,0.0,2.15,19.2,0.779,0.0,0.986,7.98,1.322,0.0,8.56,19.2,0.885,0.0,3.54,19.2,1.838,0.0,3.78,19.2,1.28,0.0,0.968,41.6,1.162,0.0,2.38,19.1,1.469,0.0,3.54,20.8,0.992,0.0,1.505,8.0,1.738,0.0,10.3,20.8,0.932,0.0,1.98
1729951381.67,8.01,1.257,0.0,0.936,41.6,0.475,0.0,7.81,20.8,0.865,0.0,3.77,19.2,1.31,0.0,2.19,20.8,1.504,0.0,6.55,41.6,1.051,0.0,8.75,6.4,2.418,0.0,2.07,20.8,0.88,0.0,3.88,20.8,1.127,0.0,0.991,41.6,0.662,0.0,3.06,20.8,0.665,0.0,2.03,8.02,1.122,0.0,9.38,20.8,0.729,0.0,3.77,20.8,1.801,0.0,4.28,20.8,1.073,0.0,1.28,40.0,0.934,0.0,2.43,19.3,1.489,0.0,5.87,20.8,0.872,0.0,1.39,8.0,1.834,0.0,10.8,19.2,1.027,0.0,3.54
1729951381.77,7.99,1.234,0.0,1.95,40.0,0.512,0.0,8.8,19.2,0.867,0.0,3.77,20.8,1.317,0.0,5.55,19.2,1.433,0.0,5.97,40.0,0.805,0.0,7.52,8.0,2.602,0.0,3.17,19.2,0.869,0.0,5.06,19.2,1.066,0.0,1.85,38.4,0.713,0.0,1.64,19.2,0.78,0.0,0.984,8.0,1.351,0.0,1.45,19.2,0.902,0.0,4.33,19.2,1.687,0.0,2.63,19.2,0.944,0.0,1.22,40.0,0.839,0.0,2.89,20.8,1.342,0.0,3.32,19.2,1.076,0.0,1.86,8.0,2.149,0.0,12.3,20.8,1.017,0.0,2.19
