['abnormal_start', 't_span', 'band']
[1729945911.279563, 3.5241344960590983, 568.0085714618762]
[1729945935.489073, 3.4712702615220814, 582.9658589694887]
[1729945943.709505, 3.6422801424325524, 588.8568181618253]
[1729945952.40199, 3.5107220845597937, 579.8678914331801]
[1729945957.35191, 3.8061387890136285, 568.9945632921984]
[1729945969.009869, 3.285777090629422, 526.9784774906416]
[1729945982.357795, 3.2416640363518896, 594.4358008948249]
[1729946049.071845, 3.581230027182498, 548.8523959724495]
[1729946065.727487, 3.1086001093483064, 539.9002972277344]
[1729946112.569749, 3.2261328572597487, 560.1911850562279]
[1729946120.437336, 3.167240296480948, 534.9997495492925]
[1729946179.16425, 3.76706109773054, 534.6885544076604]
[1729946226.1571, 3.6818071516614994, 553.1922965979041]
[1729946246.217988, 3.4171563999024785, 567.8860527314971]
[1729946261.193839, 3.204953734778298, 531.8707076820816]
[1729946266.135957, 3.299399967675349, 527.2709702812231]
[1729946287.711623, 3.383086696727223, 545.8249730044797]
[1729946314.589548, 3.3291241666248252, 582.6752994197684]
[1729946368.475473, 3.9191147882645994, 562.2303457004539]['abnormal_start', 't_span', 'band']
[1729946409.052313, 3.104421100480282, 599.3090573853142]
[1729946455.48737, 3.5117791041777204, 587.793869675643]
[1729946468.662617, 3.4335274865548624, 534.3226388486023]
[1729946492.387081, 3.098497246393994, 563.8815827825393]
[1729946499.639155, 3.1445946081117877, 558.0237904533116]
[1729946512.548522, 3.3830996212618945, 543.0026410799564]
[1729946531.508826, 3.328307868478337, 581.3089830524627]
[1729946537.084777, 3.7492395806423056, 528.3997438525242]
[1729946557.511185, 3.7679388760388415, 571.2664453839847]
[1729946577.556907, 3.512550040556824, 507.575225883617]
[1729946626.909837, 3.8186980236381833, 545.9636298409666]
[1729946655.739643, 3.2809096762000918, 585.6183873926335]
[1729946666.678232, 3.5819153579076293, 561.0926164126964]
[1729946730.42818, 3.1483300323565135, 527.5757839118897]
[1729946751.76243, 3.5249481131424636, 571.1636642519086]
[1729946761.5453, 3.385380012864572, 531.7372110629359]
[1729946766.780096, 3.05667173605923, 527.4092611604096]
[1729946777.991352, 3.494926205642412, 559.2279824621116]
[1729946782.628844, 3.170028558830402, 519.2730754311903]
[1729946816.407388, 3.695977742366477, 550.1117712861246]
[1729946827.763798, 3.5983535563089153, 558.1479986046361]
[1729946834.707909, 3.395274585603339, 523.5549024343684]
[1729946856.381547, 3.3941451319452627, 574.6842726968607]
