['abnormal_start', 't_span', 't_delay']
[1729947722.382552, 3.4352236378200742, 16.47918046196954]
[1729947769.852684, 3.7991611047128977, 12.885904851463069]
[1729947794.839949, 3.1726490119657513, 17.241437998064868]
[1729947812.28065, 3.5445698883317336, 10.746666283376992]
[1729947832.102282, 3.6583269752149326, 16.955540695004963]
[1729947838.813065, 3.851383426648052, 10.438368542665554]
[1729947844.017528, 3.6004833613009493, 12.182087314977025]
[1729947883.435241, 3.585931094683062, 10.170190792392095]
[1729947942.477732, 3.4090280590353927, 12.751692091413203]
[1729947969.482865, 3.8219893208399043, 17.478835221362427]
[1729948014.639746, 3.9955972218745797, 13.607459145108436]
[1729948020.381754, 3.235607008413269, 16.345108770191054]
[1729948043.903633, 3.593651635440799, 13.788121875775413]
[1729948055.752941, 3.519991936190262, 18.239476485434544]
[1729948065.631197, 3.627307682350382, 18.706248324255615]
[1729948078.516231, 3.744871431214938, 13.79673342809096]
[1729948085.515591, 3.832756457209378, 14.013285275540692]
[1729948115.150474, 3.4452192244342807, 14.9030460398486]
[1729948121.242315, 3.5077734306209285, 18.587732872457536]
[1729948136.413714, 3.7283799584989223, 14.392233433172898]
[1729948144.390398, 3.8839313737967274, 10.57692752075577]['abnormal_start', 't_span', 't_delay']
[1729948196.309325, 3.1260450062541727, 15.998764210190576]
[1729948215.109384, 3.8127256943776926, 17.639387817268805]
[1729948232.193272, 3.497009171321717, 17.754177667794195]
[1729948251.16282, 3.226512032490289, 14.786991070562255]
[1729948298.61871, 3.5252677027670383, 11.864447797801866]
[1729948311.105606, 3.3431870436495483, 11.982446167473288]
[1729948349.362141, 3.2681809819324052, 12.856191831962196]
[1729948371.314306, 3.7990328100840483, 12.425495523736704]
[1729948418.143988, 3.443327718587276, 10.916247428378076]
[1729948446.372946, 3.422282545932936, 19.298113869768297]
[1729948467.67242, 3.8760843635662807, 10.00666747176593]
[1729948490.435524, 3.6818220489122604, 11.467189255082584]
[1729948518.608311, 3.6525998767620287, 19.916111569978607]
[1729948534.63466, 3.5898440107204395, 17.121376875572892]
[1729948555.005262, 3.7541983725197916, 15.834893460220476]
[1729948630.550472, 3.3211441260925354, 12.778760000521041]
[1729948658.871084, 3.852568817122622, 19.254566276422544]
[1729948669.180627, 3.6963003589604893, 18.481950354054796]
