['abnormal_start', 't_span', 'loss']
[1729949100.670603, 3.0393503739023293, 25.593116168605572]
[1729949115.385706, 3.983179799975124, 24.81188618050071]
[1729949123.522543, 3.2837836704723307, 25.938106369386432]
[1729949154.109621, 3.3019664776142705, 29.708775778383142]
[1729949161.559032, 3.0909209592571383, 22.912188613066824]
[1729949168.599263, 3.0168905056991626, 29.072117513646802]
[1729949178.676972, 3.3905265691944795, 27.165207774362685]
[1729949205.748098, 3.6681115357448806, 27.067648873647247]
[1729949222.287642, 3.093540171493318, 21.57889687697472]
[1729949256.48208, 3.0487128799234617, 22.827816394622413]
[1729949277.910579, 3.8784830651687976, 27.594641289843743]
[1729949322.720139, 3.3686218535806707, 23.055131132294747]
[1729949366.016965, 3.1124375025644313, 22.030303974947245]
[1729949373.390693, 3.275096817552365, 21.000872611557597]
[1729949392.44176, 3.099354348704633, 21.435952476350025]
[1729949420.432312, 3.527515021612716, 28.763091120508307]
[1729949428.908945, 3.1149516905934655, 27.925033784968505]
[1729949449.102545, 3.913551024768022, 29.720316112924884]
[1729949455.464535, 3.145857094738777, 26.42143099006067]
[1729949464.76675, 3.3041785500131238, 24.11503812117033]
[1729949472.723682, 3.654232801061636, 24.350161258538552]
[1729949484.244843, 3.8358411738451337, 24.44363167240975]
[1729949495.444497, 3.72269425679558, 26.982393334530872]
[1729949510.239109, 3.4959423320597747, 22.37378735718735]
[1729949517.992391, 3.944617250802927, 24.000955656132888]
[1729949557.84986, 3.9793057364236812, 24.393768203307392]
[1729949582.41794, 3.7321469778820617, 24.102688012303396]['abnormal_start', 't_span', 'loss']
[1729949602.536915, 3.722636772766727, 25.33047361933749]
[1729949609.413799, 3.43743647784565, 22.60501010071897]
[1729949614.995973, 3.430798452023139, 28.87239520554131]
[1729949669.577621, 3.0027067594523986, 20.35699109849414]
[1729949681.147857, 3.5816311072705562, 23.06622070071215]
[1729949707.52819, 3.8952010304594853, 26.906400106615628]
[1729949715.176578, 3.72236395955147, 24.639646573018883]
[1729949720.149007, 3.312169706189173, 20.67915948093067]
[1729949739.740309, 3.0028038118776887, 26.80860523793621]
[1729949783.466902, 3.421409107571683, 27.996574452353727]
[1729949789.033351, 3.0407323620342446, 28.441288676275523]
[1729949810.951704, 3.6194234066820155, 24.168392640239134]
[1729949819.927501, 3.582631883919098, 29.463488165641017]
[1729949836.073256, 3.3791350258956423, 25.069770470410063]
[1729949875.577088, 3.005151541297796, 28.174781349120245]
[1729949907.087938, 3.1268797966823936, 24.224717757339757]
[1729949929.689768, 3.057375829223253, 22.703988579700937]
[1729949961.95101, 3.3776395925660796, 21.817267322283207]
[1729949996.643268, 3.088716183280416, 24.70807312701819]
[1729950008.390485, 3.9860898894011387, 22.808825923265683]
[1729950033.359592, 3.5691082206300995, 21.768105476077285]
[1729950074.548126, 3.1420388581161336, 28.42095599070403]
[1729950079.535449, 3.3186008561836706, 29.15986721681275]
